	Calb2_tdTpositive_cell_10	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_28	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39
2610002M06Rik	79.56	0.18	0.15	48.54	40.32	0.18	0.0	0.0	0.54	0.44	16.25	0.92	24.06	0.74	3.22	34.18	24.52	0.0	0.33	14.01	0.15	10.83	2.89	96.11	21.91	69.76
2700089E24Rik	347.39	297.78	375.38	536.93	321.69	242.58	62.27	61.8	121.52	417.3	508.55	290.21	597.28	531.24	172.29	296.42	94.5	73.76	24.41	45.32	65.6	13.36	108.78	267.9	337.86	317.71
2900056M20Rik	25.93	0.37	69.78	0.0	0.08	150.3	1.65	0.12	44.28	61.43	45.72	10.74	10.91	54.16	30.17	119.22	79.36	42.89	0.06	6.25	0.72	65.47	0.0	21.62	28.88	40.2
A830082K12Rik	24.59	127.99	17.75	168.96	0.0	14.55	39.15	4.08	1.89	2.54	39.41	5.51	12.94	158.92	10.51	12.37	7.63	6.05	0.64	1.61	0.78	6.06	2.02	0.3	5.75	13.35
Abi2	269.06	275.66	506.33	298.73	326.12	482.99	97.8	46.17	266.59	454.77	352.44	232.25	293.81	373.62	245.8	208.41	507.97	272.1	147.48	587.69	232.08	184.7	279.12	678.99	384.95	800.25
Acsl4	115.89	79.95	170.18	61.44	45.46	92.49	15.24	12.96	35.96	162.37	213.88	48.92	59.02	26.04	94.02	114.01	1.81	43.51	9.65	15.58	3.15	24.73	38.11	52.19	59.87	112.48
Adam22	79.99	94.31	79.91	81.97	23.33	38.33	38.32	35.08	14.67	61.96	58.17	1.98	45.72	55.9	116.17	139.98	37.62	29.24	8.39	2.28	29.69	24.59	0.13	76.45	134.21	86.59
Adrbk2	45.04	0.23	48.59	0.28	3.43	4.71	0.14	47.39	23.81	0.34	16.83	0.17	0.0	0.0	10.3	17.85	14.56	0.61	2.05	0.13	7.29	33.1	0.07	14.06	27.71	17.48
Bex2	1513.36	792.81	656.14	905.11	578.59	798.36	1042.96	156.6	264.4	809.45	1015.49	258.57	968.1	942.04	745.07	389.85	348.68	586.74	220.45	413.71	113.69	389.66	522.88	516.62	609.56	737.23
Braf	45.06	348.77	164.49	152.43	75.2	256.24	9.44	17.62	31.94	124.3	120.09	39.34	63.35	242.5	139.06	339.38	83.27	21.55	10.39	10.58	37.55	24.62	13.03	110.82	136.54	134.06
Cacna1e	58.67	108.49	46.47	12.67	52.02	49.27	15.5	7.74	18.03	8.01	35.89	4.39	22.71	25.39	40.92	63.72	11.16	0.2	0.26	8.71	19.56	11.51	4.16	100.81	59.45	60.01
Cadm1	197.45	36.06	40.48	4.87	72.34	46.09	62.74	52.1	17.0	95.27	92.23	31.66	91.16	4.98	138.35	77.6	160.1	91.91	55.37	11.91	31.59	91.23	29.46	115.53	178.3	57.06
Calm2	17572.6	20813.5	20740.74	18187.15	24749.41	21064.56	19971.06	20654.99	19749.13	18742.78	18187.15	14259.36	18784.2	20660.56	17350.63	18004.95	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	23557.63	19735.95	19191.1
Crls1	65.48	0.24	89.42	0.27	13.21	20.83	4.96	0.0	0.22	44.99	25.25	21.78	0.0	0.0	16.48	36.88	0.18	8.29	0.0	2.27	0.0	0.19	0.0	0.98	25.19	0.31
Dnajb9	0.31	87.36	0.0	0.0	0.0	39.84	0.0	0.0	0.19	82.26	37.3	0.0	0.35	177.16	45.18	15.19	0.15	0.0	71.42	0.0	0.0	0.99	47.22	5.85	1.98	0.0
Efha2	617.21	305.0	582.74	298.65	458.45	495.13	26.26	73.03	227.46	389.56	766.93	60.76	204.97	366.48	688.13	923.36	318.73	230.62	112.79	211.87	103.48	114.77	52.2	341.78	985.5	650.63
Eif4enif1	52.38	38.91	0.24	81.48	9.7	0.0	0.0	0.0	0.0	9.37	18.83	72.85	149.83	0.17	26.9	40.6	0.0	114.27	63.5	0.0	0.0	0.0	25.54	0.0	12.23	123.15
Eps15	330.88	123.49	46.37	394.56	495.85	299.97	56.68	61.2	368.14	175.04	100.6	318.76	170.71	40.4	36.75	321.98	326.26	90.34	178.84	58.95	128.57	84.74	184.94	295.82	21.89	545.61
Gabra4	206.15	154.79	166.53	288.45	60.9	56.92	11.44	53.58	15.41	80.85	71.33	56.73	243.11	150.2	78.16	122.32	112.82	58.75	1.27	51.06	34.13	17.42	72.67	94.75	94.53	48.0
Gm14430	0.65	15.53	17.21	27.41	0.16	8.97	0.0	0.0	0.04	14.15	6.69	0.0	0.1	0.0	5.62	4.14	2.35	0.0	13.98	0.21	0.0	0.0	0.0	0.86	0.69	40.68
Gm14434	0.65	15.53	17.21	27.41	0.16	8.97	0.0	0.0	0.04	14.15	6.69	0.0	0.1	0.0	5.62	4.14	2.35	0.0	13.98	0.21	0.0	0.0	0.0	0.86	0.69	40.68
Gm4724	0.65	15.53	17.21	27.41	0.16	8.97	0.0	0.0	0.04	14.15	6.69	0.0	0.1	0.0	5.62	4.14	2.35	0.0	13.98	0.21	0.0	0.0	0.0	0.86	0.69	40.68
Gmfb	170.3	0.35	14.3	195.84	49.39	166.15	56.07	32.93	0.08	83.01	92.94	18.07	160.95	140.42	73.36	256.33	38.36	0.0	11.99	68.26	118.57	26.57	60.57	29.67	79.9	127.61
Gnl3l	145.99	245.38	187.2	168.13	137.75	208.87	93.55	20.24	40.13	178.48	298.57	11.1	146.83	136.24	188.94	244.48	30.12	9.44	90.06	181.22	35.1	39.37	35.89	197.02	154.25	179.2
Grin2b	421.03	183.57	149.79	188.7	261.35	191.92	136.14	168.66	295.67	208.4	165.96	117.11	268.38	465.23	150.7	321.05	186.82	118.88	55.51	128.86	70.16	73.91	69.08	172.54	207.83	254.9
Gsk3b	285.96	241.7	309.67	442.96	300.97	356.76	66.53	57.2	173.67	361.55	407.83	63.96	244.56	294.3	277.31	763.9	122.97	11.94	36.18	179.81	69.88	38.51	61.55	370.11	321.56	628.95
Guk1	178.38	0.0	0.0	0.48	0.0	0.0	161.0	0.0	1.57	27.2	174.63	0.0	0.36	180.31	40.66	27.66	0.32	3.79	49.96	0.0	89.47	2.61	0.0	0.43	26.48	92.97
Impad1	0.74	0.31	1.57	40.17	28.47	0.0	0.0	0.0	11.22	0.06	5.58	0.0	0.18	0.0	10.7	14.97	52.51	25.21	0.0	0.0	0.0	0.18	0.0	0.0	0.0	64.23
Lgr4	32.51	21.75	9.64	23.27	27.48	3.07	0.05	0.0	1.1	0.05	55.8	0.15	43.85	15.15	31.19	28.95	6.95	0.0	0.05	1.97	2.07	0.36	0.0	0.08	16.09	27.64
Morf4l2	817.19	440.49	504.65	548.71	490.68	664.67	784.61	309.94	494.1	829.21	710.46	411.88	774.82	776.32	570.21	713.98	255.83	342.39	391.52	443.63	498.01	492.12	547.18	429.8	887.26	812.1
Mrpl15	33.9	1.31	43.84	10.04	44.52	0.78	33.63	53.99	16.3	69.07	30.25	0.22	2.74	2.85	58.52	26.46	0.81	31.58	39.78	1.69	3.28	0.04	1.52	21.32	13.47	15.05
Myef2	549.74	304.4	187.45	472.95	422.02	240.06	79.08	85.54	72.38	271.11	547.42	125.47	150.9	261.46	308.68	562.0	92.83	26.84	23.29	188.41	124.7	102.73	55.59	166.78	272.56	280.83
Ncs1	156.33	85.82	85.11	229.18	324.85	198.31	24.7	57.25	68.04	234.75	53.86	8.98	93.23	207.61	73.01	435.28	58.08	24.6	14.68	23.32	108.98	19.15	11.29	0.09	270.26	81.11
Nufip2	177.38	62.79	287.92	169.97	78.05	71.8	23.82	20.58	84.59	101.32	166.56	54.6	20.9	116.67	128.71	208.32	64.29	45.75	31.3	138.92	27.71	4.97	3.8	172.11	66.53	182.6
Paip1	85.59	109.56	336.58	305.34	363.09	125.55	25.32	1.98	45.96	270.03	289.45	19.2	137.71	252.28	182.37	350.07	90.06	51.35	33.4	56.3	16.16	55.56	5.61	188.23	196.52	262.79
Skil	258.01	178.62	180.68	205.51	158.9	186.76	61.43	58.7	64.91	185.62	328.01	20.54	109.19	165.06	118.12	241.18	96.06	119.25	39.49	95.68	29.73	57.9	13.91	126.54	156.54	116.45
