	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_5	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_41	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_174	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_11	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10
1810013D10Rik	0.0	0.0	0.0	0.0	0.0	87.44	0.0	1207.7	1119.06	155.25	0.0	0.0	149.24	0.0	1383.62	2.3	2.48	103.98	116.02	0.0	180.31	82.43	6.71	0.0	0.0	0.0	0.0	142.7	126.39
1810058I24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.7	507.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.72	67.64	0.0	0.0	51.76	0.45	0.0	1.19	250.66	0.0	30.54	84.64
2610019F03Rik	0.34	0.0	0.0	0.0	0.0	0.0	0.0	748.45	531.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	0.0	3.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.0
Adh5	862.05	0.0	0.0	0.0	0.0	1930.59	773.85	2174.29	2729.97	126.48	0.0	3.93	102.11	1151.2	0.0	2.09	0.3	26.24	180.28	97.82	146.7	144.01	152.19	2.05	1.58	0.0	0.0	221.97	224.45
Cript	471.83	0.0	0.0	0.38	0.0	0.0	0.0	2654.98	908.43	87.57	719.45	238.52	134.14	0.0	1.05	2.77	53.37	236.99	250.89	176.72	215.27	196.56	487.53	206.64	2.1	0.0	0.0	380.75	504.26
Ctsl	0.0	0.0	1.02	0.22	264.99	839.78	1135.85	876.25	2340.58	0.0	692.06	124.59	0.11	1239.46	0.92	1.61	172.12	31.45	463.68	158.27	154.82	264.11	543.77	302.01	0.61	0.0	0.0	99.02	137.54
Dnahc6	62.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.37	0.04	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14
Fbxo11	0.1	0.0	0.0	0.0	0.0	0.0	0.0	212.74	174.69	63.18	0.04	0.0	0.05	0.0	0.0	0.52	97.24	49.44	52.75	33.0	0.61	79.54	4.27	38.43	2.36	0.0	0.0	40.76	34.11
Gm10094	910.19	0.0	0.0	0.0	0.0	0.0	0.0	1174.56	2017.36	450.41	104.76	422.82	199.18	21.61	0.0	933.56	210.14	217.65	218.37	124.05	265.24	207.42	240.18	136.79	0.0	0.0	0.0	561.7	381.64
Gnb2l1	0.0	0.0	1086.71	818.01	0.0	0.0	0.85	1089.26	1862.87	335.44	545.12	126.98	250.56	790.5	0.0	6.88	177.27	132.11	363.2	165.05	288.18	271.88	412.41	49.04	935.37	9.26	0.0	405.15	305.49
Gpx1	550.06	0.65	0.0	1308.77	0.45	0.0	0.0	1086.29	587.3	0.0	0.31	22.98	0.0	72.85	0.0	3.12	113.93	103.26	90.62	62.1	117.44	73.16	112.56	0.51	2.36	0.0	0.0	244.87	277.69
Hnrnpa2b1	548.01	12.42	273.86	3.94	13.58	783.7	78.85	1640.82	1308.56	87.26	648.83	244.1	111.31	968.33	1523.72	252.14	109.79	249.16	524.69	95.05	658.29	510.59	133.84	186.1	435.16	869.98	1165.58	806.36	651.34
Kank3	443.76	222.43	0.0	0.16	0.35	0.0	0.0	805.38	758.46	0.0	46.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	9.07	0.0
