	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_43	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_9	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_1	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_55	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_89	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Sst_tdTpositive_cell_106
1110018G07Rik	0.0	0.0	0.0	0.0	70.26	64.39	0.0	11.27	22.28	13.9	44.53	17.95	47.76	57.69	0.06	84.75	74.88	5.88	28.02	11.18	21.96	34.23	45.02	25.16	28.5	47.37	89.14	60.73	107.46	60.15	47.84	45.11	34.26	61.91	13.12	90.85	0.0	22.4	13.3	0.19
Arhgef11	0.13	0.0	0.0	0.0	41.47	37.75	0.0	0.0	0.12	32.98	44.29	30.59	15.49	0.09	0.0	6.87	31.45	0.11	27.4	0.0	0.79	26.86	13.02	17.83	31.65	8.47	0.71	2.14	1.11	27.75	18.67	0.13	33.52	29.52	0.73	39.21	0.0	6.2	0.0	0.0
Armc1	0.24	0.09	0.0	0.0	68.19	163.46	0.0	156.41	0.45	90.49	85.89	118.08	103.36	103.23	3.72	69.34	81.43	11.85	50.13	37.85	82.47	31.08	125.09	49.24	124.24	89.0	39.71	53.56	11.49	44.36	180.54	58.96	173.71	53.58	53.64	75.27	0.0	23.37	78.66	0.12
Btbd11	0.0	10.72	0.0	0.0	142.01	214.53	0.0	3.91	1.24	39.99	58.31	65.95	38.89	83.07	1.0	122.2	131.57	22.89	80.9	73.98	35.23	133.87	93.63	65.77	126.11	145.56	23.42	117.55	71.66	41.54	115.76	124.49	122.61	92.95	3.84	90.05	0.0	131.43	88.63	0.0
Cxxc4	0.0	0.0	0.0	0.0	10.08	73.97	0.0	0.65	0.0	21.58	14.35	27.61	1.39	21.78	3.03	53.91	11.65	0.0	1.93	0.0	84.69	20.8	1.93	11.74	40.49	1.13	4.14	19.97	0.76	36.22	0.0	23.95	15.0	41.6	0.28	2.71	0.0	53.24	12.51	0.49
Dgkd	0.0	0.39	0.0	0.18	41.15	63.21	0.0	26.88	0.0	18.37	36.56	3.2	22.37	61.51	0.37	29.98	0.0	44.12	3.53	1.49	15.29	18.75	5.25	1.68	76.46	29.16	34.04	0.0	23.83	4.21	55.74	21.54	64.9	27.07	0.07	28.05	1.26	21.77	32.68	2.79
Etv6	0.03	0.02	0.0	0.0	1.46	55.61	0.0	2.83	1.23	9.46	23.19	14.25	2.97	14.46	4.44	5.28	54.69	43.78	0.28	0.0	0.87	21.44	33.49	27.83	4.92	7.42	3.9	17.3	68.94	47.96	20.71	40.87	13.81	10.72	0.03	1.0	0.0	10.16	9.89	0.12
Fntb	0.0	0.0	0.0	0.0	9.67	202.44	0.0	0.0	6.93	34.26	39.05	11.65	25.34	33.08	21.66	2.96	0.0	37.42	0.0	0.0	18.25	59.97	0.72	2.33	0.0	22.37	14.58	1.51	0.0	0.0	52.75	46.46	12.05	0.68	0.45	0.99	0.0	0.62	0.0	0.0
Gosr1	0.0	94.45	0.0	0.0	26.51	15.12	0.0	11.4	5.57	22.8	6.94	1.46	38.41	14.39	0.0	33.39	27.59	3.47	1.42	0.0	53.04	45.41	2.45	3.2	4.08	18.72	0.41	3.63	4.55	5.82	3.07	80.79	8.77	47.26	3.35	22.77	0.0	11.83	7.2	0.89
Kcnc3	0.0	0.0	0.0	0.0	8.14	17.17	0.0	0.36	0.02	4.92	11.9	7.36	9.13	6.09	0.1	6.42	11.75	4.5	0.32	1.69	0.17	3.4	6.02	0.07	16.02	8.31	1.07	7.85	0.15	0.46	8.91	8.27	19.09	2.49	0.67	8.74	0.0	6.44	2.45	0.0
