	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_161	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110020A21Rik	0.0	0.0	0.0	1.62	1.35	0.86
AW146020	0.0	0.0	0.0	5.05	5.38	5.97
Adam23	0.0	0.45	21.63	71.1	68.34	75.94
Adck2	0.0	0.0	0.0	14.22	15.66	15.45
Agap2	0.1	0.0	3.01	422.27	459.59	467.65
Akap10	0.0	0.0	0.0	24.04	20.03	24.05
Arcn1	0.0	0.0	0.99	89.7	84.64	85.58
Arhgdig	0.0	0.0	0.0	88.82	95.75	99.37
Arhgef4	0.0	0.0	0.0	188.52	191.15	191.05
Arntl	0.0	0.0	0.0	28.72	27.5	32.93
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B230120H23Rik	0.25	1.08	0.11	3.54	3.14	3.86
Bag4	0.24	0.0	0.0	40.98	42.74	39.35
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Carhsp1	27.1	0.0	0.0	35.55	41.12	40.06
Ccdc105	0.0	0.0	0.0	0.23	0.54	0.6
Cdk16	0.0	121.89	0.0	206.47	218.5	219.97
Cenpb	0.0	0.0	0.0	120.4	137.75	134.34
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Ckap4	0.0	0.0	0.0	19.09	18.54	21.09
Clec10a	0.0	0.0	0.0	0.9	0.56	0.99
Clip3	215.8	8.15	1.04	325.47	332.48	328.71
Clpb	0.0	0.0	0.08	26.35	25.52	25.42
Coq4	0.0	0.0	0.0	16.82	17.4	17.52
Cyb5b	0.0	0.0	0.09	103.68	103.32	101.13
D630041G03Rik	0.0	0.0	0.19	6.36	3.83	5.5
Dcaf7	0.3	0.0	0.07	130.19	133.24	130.66
Dos	0.0	0.0	0.13	216.16	237.15	220.77
EU599041	0.0	0.0	0.29	0.15	0.15	0.17
Egr2	0.0	0.0	0.0	21.44	16.45	5.9
Enox	1.1	2.32	1.5	5.72	4.12	4.5
Extl2	0.0	0.0	0.27	82.52	82.81	82.16
Fam125b	0.0	0.0	0.15	57.54	59.6	60.07
Fbxo36	0.0	0.0	0.0	4.06	5.1	4.42
Flad1	0.0	0.0	0.0	32.54	32.99	30.55
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Furin	0.0	0.0	0.0	18.09	20.87	17.74
Gm628	0.0	0.0	0.0	1.41	1.08	1.78
Gpr126	0.0	0.0	0.0	1.81	2.34	2.18
Gprin3	0.0	0.0	0.0	9.55	7.15	10.6
H2-D1	2.41	0.0	0.74	45.01	53.6	49.28
Habp4	0.0	0.0	0.0	188.43	207.17	194.28
Hace1	0.0	0.0	0.0	43.14	39.86	40.56
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.0	0.0	0.09	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.09	0.38	0.28	0.38
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Ift140	0.0	0.0	0.0	14.92	14.63	14.55
Itpr1	0.06	0.0	0.3	211.99	196.39	212.52
Kcnq5	0.0	0.0	0.05	44.09	42.45	44.67
Kcnt2	0.0	0.0	0.0	19.36	18.19	17.22
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khsrp	17.03	11.33	22.56	57.01	58.93	59.96
Kndc1	0.0	2.8	0.0	47.74	47.05	52.63
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lingo3	0.0	0.0	0.11	33.56	40.24	33.17
Lpcat1	0.0	0.0	0.0	31.04	33.54	37.1
Magee1	0.0	0.0	0.11	117.31	122.31	117.69
Mex3d	0.0	0.0	0.0	12.54	16.17	13.63
Mgat2	0.22	0.0	0.0	30.08	32.67	29.91
Mrps30	7.8	0.0	0.0	25.2	31.88	25.69
Mxd1	0.37	0.0	0.0	17.64	17.74	15.25
Ncor2	0.0	0.0	0.0	47.65	50.12	57.88
Ndor1	0.17	0.15	0.58	20.14	19.31	22.51
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlgn2	0.23	0.0	5.89	132.5	135.21	131.05
Npas4	0.0	0.0	0.0	49.87	29.46	33.15
Odc1	0.0	0.0	0.0	58.12	59.46	55.0
Ormdl3	0.0	0.0	0.0	55.18	59.41	54.34
Pde10a	0.0	0.0	0.0	105.5	95.25	101.22
Phf13	0.0	0.0	0.0	16.69	14.68	12.71
Phlda1	0.0	0.0	0.2	29.3	32.64	27.96
Pik3r2	0.37	0.72	0.0	97.28	109.77	104.18
Pink1	0.0	0.0	47.89	335.12	372.71	355.19
Plcd4	0.0	0.0	0.0	10.42	9.9	12.1
Plscr3	0.0	0.0	0.0	12.29	13.6	11.0
Poll	0.0	0.0	0.0	8.56	9.86	7.65
Ppp1r26	0.32	0.0	0.13	14.64	14.13	14.44
Pptc7	37.1	8.17	0.0	40.75	41.4	36.47
Ptchd2	0.2	0.0	0.0	12.18	13.0	15.12
Ptpn11	0.0	22.64	5.18	96.6	96.33	99.54
Pttg1ip	1.56	0.0	0.0	62.28	65.93	63.7
Qars	0.0	0.0	0.0	43.73	47.78	45.55
Rai1	0.32	0.0	0.0	31.99	33.71	35.59
Rmnd5b	1.2	0.0	0.0	61.33	59.51	60.53
Sash1	0.0	0.0	0.0	30.84	29.41	32.14
Scara3	0.0	0.0	0.0	20.09	21.7	23.66
Sema4f	0.0	0.0	2.8	34.99	35.97	35.47
Serpinf1	0.0	0.0	0.0	11.69	14.03	10.97
Slc25a47	0.0	0.0	0.0	2.52	2.5	3.19
Snx12	0.48	0.0	0.14	50.84	44.89	52.09
