	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_56	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTnegative_cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1110001A16Rik	65.2	52.61	44.49	14.35	65.79	0.0	0.0	0.43	0.77	0.0	0.0	98.68	95.78	0.18	112.31	39.72	0.0	135.3	0.0	98.27	54.31	1.46	66.84	0.0	104.45	48.17	97.05	159.49	63.72	20.02	147.68	35.62	11.1	66.28	36.53	133.44	64.1	0.0	58.24	67.62	64.25	62.38
2310030G06Rik	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.02	0.14	0.0	0.0	0.0	0.0	0.0	0.0	74.21	0.0	0.0	0.28	0.0	74.95	0.0	0.0	64.46	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.14	3.21	9.65	13.49
Add1	9.91	39.33	2.95	192.5	0.0	0.0	0.0	9.22	126.29	12.65	1.0	10.59	16.98	127.72	64.06	15.43	63.46	46.0	55.06	0.16	179.42	6.56	91.38	201.28	33.96	0.0	85.5	14.29	6.45	102.15	14.38	92.96	0.0	191.6	2.02	9.71	0.31	0.0	94.71	60.5	55.33	75.73
Amy2a2	0.47	0.13	0.14	0.21	0.43	0.0	0.0	0.04	0.2	0.2	0.04	0.27	0.06	0.0	0.2	0.18	0.31	0.31	0.17	0.33	0.34	0.21	0.42	0.04	0.06	0.14	0.76	0.15	0.09	0.37	0.51	0.09	0.24	0.0	0.08	0.23	1.13	0.0	0.33	0.24	0.11	0.21
Amy2a3	0.47	0.13	0.14	0.21	0.43	0.0	0.0	0.04	0.2	0.2	0.04	0.27	0.06	0.0	0.2	0.18	0.31	0.31	0.17	0.33	0.34	0.21	0.42	0.04	0.06	0.14	0.76	0.15	0.09	0.37	0.51	0.09	0.24	0.0	0.08	0.23	1.13	0.0	0.33	0.24	0.11	0.21
Amy2a4	0.47	0.13	0.14	0.21	0.43	0.0	0.0	0.04	0.2	0.2	0.04	0.27	0.06	0.0	0.2	0.18	0.31	0.31	0.17	0.33	0.34	0.21	0.42	0.04	0.06	0.14	0.76	0.15	0.09	0.37	0.51	0.09	0.24	0.0	0.08	0.23	1.13	0.0	0.33	0.24	0.11	0.21
Appl1	41.07	40.61	101.18	0.7	63.11	0.0	0.0	10.54	72.09	0.0	2.8	19.15	68.9	15.83	31.73	1.86	4.62	79.63	0.63	13.05	24.42	141.89	60.26	48.09	50.26	19.31	37.53	0.0	35.19	18.31	44.39	50.12	7.61	0.0	65.4	5.23	5.85	0.0	31.25	30.22	28.16	28.31
Armcx1	0.36	427.19	171.71	2.74	0.24	0.0	0.0	84.9	195.56	11.34	31.98	0.4	302.41	273.05	331.96	39.6	45.96	69.82	0.21	21.53	108.5	386.61	247.15	0.0	181.85	254.54	51.86	48.59	9.98	85.29	143.58	99.15	165.76	1.25	179.9	227.3	193.1	0.0	185.52	100.68	109.56	108.6
Atad3a	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.78	47.53	69.23	0.0	0.0	0.0	0.0	0.0	0.0	105.65	43.9	0.0	0.0	0.0	0.05	56.96	30.22	0.0	0.0	0.0	0.0	0.0	1.03	10.34	0.0	0.0	119.43	0.0	0.0	0.0	0.0	5.86	10.64	5.56	6.33
B4galnt1	0.0	0.0	0.0	0.0	207.66	0.0	0.0	24.14	39.92	0.0	0.0	1.31	0.99	0.0	5.39	15.34	0.0	0.0	0.0	0.0	1.41	0.0	0.0	47.64	91.56	0.0	0.0	5.92	0.0	33.59	46.97	31.92	0.0	0.0	0.0	31.65	5.88	0.0	18.48	6.04	14.58	19.75
Bbx	0.45	0.01	0.0	0.0	0.0	0.0	0.0	2.84	1.87	0.06	0.0	4.85	2.91	0.11	15.4	0.0	0.84	0.16	0.0	0.07	1.52	0.0	2.34	0.0	2.18	1.02	0.91	1.24	0.2	0.8	2.15	0.03	1.24	0.0	2.12	1.83	9.47	0.0	5.61	4.1	4.46	4.74
Bfar	0.0	67.48	162.68	0.0	0.0	0.0	0.0	263.38	24.06	0.0	141.15	0.0	66.93	258.71	0.17	173.05	247.75	47.94	186.06	89.19	49.78	81.31	130.2	127.37	1.58	0.0	31.27	382.45	46.52	4.43	0.0	6.68	0.2	0.0	111.84	179.02	0.39	0.0	28.61	69.95	58.21	58.98
