	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700054N08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.12	0.0	41.69	0.0	28.09	0.2	0.0	26.36	2.69	5.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	18.96	19.35	0.0	0.0	2.7	0.0	67.33	0.0	0.0	0.0	36.91	56.5	60.27	59.05
6230409E13Rik	0.0	0.0	0.0	0.0	16.06	0.08	10.48	15.73	0.92	19.46	3.08	22.49	0.29	10.04	0.07	2.45	8.28	17.81	4.21	14.4	0.0	0.89	62.03	7.46	11.6	0.78	7.61	3.77	19.21	18.54	0.0	28.3	5.62	13.63	32.05	1.95	39.2	35.11	38.13
A130040M12Rik	0.15	0.34	6.62	0.0	7.8	0.16	9.35	10.4	16.61	1.33	4.89	0.51	20.36	1.46	21.77	2.3	12.71	0.0	0.77	15.61	0.0	5.39	2.76	11.02	0.27	5.11	1.32	2.38	13.81	0.17	7.25	67.11	7.25	8.83	15.95	0.0	35.33	34.07	33.17
AU022754	0.48	2.79	0.14	0.0	1.04	0.16	2.73	0.34	1.14	2.79	0.3	3.14	0.55	2.81	0.22	3.14	2.4	2.33	0.95	3.51	0.0	0.71	0.63	0.96	0.85	2.37	1.4	0.87	0.84	1.6	0.92	3.31	1.83	3.18	3.07	2.13	3.34	3.02	3.41
Ahcyl1	170.42	0.14	0.0	0.0	109.91	88.98	115.81	55.23	56.38	149.76	79.42	197.75	53.76	111.71	90.55	53.09	208.27	114.46	86.28	325.94	92.16	89.83	174.85	180.09	156.55	117.65	108.84	172.17	144.56	275.38	106.95	178.97	138.51	150.06	53.24	120.02	271.11	260.93	276.26
Amy2a2	0.05	0.1	0.08	0.0	0.2	0.0	0.14	0.04	0.05	0.29	0.0	0.48	0.0	0.4	0.06	0.15	0.18	0.29	0.04	0.14	0.07	0.29	0.14	0.07	0.14	0.7	0.24	0.23	0.14	0.16	0.12	0.41	0.41	0.0	0.23	0.09	0.26	0.19	0.21
Amy2a3	0.05	0.1	0.08	0.0	0.2	0.0	0.14	0.04	0.05	0.29	0.0	0.48	0.0	0.4	0.06	0.15	0.18	0.29	0.04	0.14	0.07	0.29	0.14	0.07	0.14	0.7	0.24	0.23	0.14	0.16	0.12	0.41	0.41	0.0	0.23	0.09	0.26	0.19	0.21
Amy2a4	0.05	0.1	0.08	0.0	0.2	0.0	0.14	0.04	0.05	0.29	0.0	0.48	0.0	0.4	0.06	0.15	0.18	0.29	0.04	0.14	0.07	0.29	0.14	0.07	0.14	0.7	0.24	0.23	0.14	0.16	0.12	0.41	0.41	0.0	0.23	0.09	0.26	0.19	0.21
Atg9a	0.0	0.0	0.0	0.0	15.03	2.96	15.53	23.53	27.66	25.91	24.34	17.74	30.65	25.3	17.59	43.35	14.41	36.13	20.71	97.18	18.71	0.0	20.59	18.32	28.54	30.64	58.96	31.28	61.64	0.0	23.75	91.98	17.78	18.55	18.91	44.34	96.67	101.26	102.1
BC029722	0.0	0.0	0.0	0.0	36.14	0.47	0.0	14.48	3.85	1.22	0.0	0.58	25.67	5.21	0.0	0.81	19.08	59.52	1.01	12.81	38.61	0.98	0.68	9.74	13.08	3.3	3.58	15.36	2.62	1.98	4.95	87.06	1.99	11.84	10.5	0.29	81.51	86.83	77.47
