	Cux2_tdTnegative_cell_12	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610030E20Rik	5.18	0.73	6.83	14.31	12.93	13.89
2310014L17Rik	0.0	0.6	0.82	4.8	4.32	5.71
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930539E08Rik	4.14	6.57	8.24	9.63	8.55	9.86
4933408N05Rik	0.0	1.01	1.59	2.7	2.05	2.9
A830093I24Rik	0.0	0.0	0.02	4.75	3.89	6.42
Abl1	0.0	0.0	1.94	27.23	27.98	27.08
Add1	0.0	46.33	15.87	265.4	270.28	268.92
Agap1	0.0	6.01	0.63	35.1	34.98	36.53
Arrb2	0.0	6.87	0.0	44.78	44.35	40.46
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Atrn	0.0	4.85	3.7	85.45	83.79	91.7
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccdc9	0.0	0.0	0.0	44.1	43.99	40.77
Ccrn4l	0.0	0.0	0.0	41.67	44.57	39.11
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clp1	0.0	0.0	0.0	9.55	8.95	8.74
Dgkh	0.0	8.72	4.37	25.91	19.89	27.73
Eef2	0.0	59.41	103.11	761.39	825.76	815.78
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm14405	0.0	0.38	0.0	0.62	1.38	1.14
Gm1568	0.0	0.0	0.0	8.99	10.45	10.71
Gtf2h1	0.0	1.84	31.86	36.68	36.3	31.98
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hivep3	0.0	0.0	1.65	18.82	17.25	20.23
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lrrc41	0.0	0.14	0.13	33.22	35.06	35.47
Mbd6	0.0	0.0	0.56	29.25	30.17	33.41
Mir3061	0.0	0.0	0.0	16.22	6.79	5.58
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nrm	0.0	0.0	0.0	3.96	4.05	4.65
Pdzk1	0.0	0.0	0.0	8.42	8.32	9.74
Pik3cd	0.0	0.0	0.0	16.92	15.47	15.82
Ppapdc1b	0.0	0.0	0.0	30.77	30.03	28.08
Pus3	0.0	0.0	0.0	11.38	10.01	11.29
Rell1	0.0	0.0	0.0	12.66	12.3	11.98
Rpusd4	0.0	0.0	0.0	9.01	9.53	8.73
Rsbn1l	0.0	2.37	0.27	13.97	12.85	14.07
Sar1a	0.0	0.0	19.58	122.53	128.09	123.09
Shisa3	0.14	0.21	0.41	1.13	1.59	1.33
Siah3	0.0	0.0	0.0	4.26	4.96	3.7
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smox	0.0	0.0	0.0	37.56	38.31	40.37
Taok2	0.0	2.33	0.75	75.09	76.41	76.63
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d9b	0.0	0.0	4.45	102.92	106.91	109.57
Tom1l2	0.0	5.52	28.42	168.3	164.9	170.24
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube4b	0.0	7.44	2.17	67.23	68.41	62.94
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr90	0.0	0.0	0.0	11.27	11.47	12.22
Xbp1	0.0	34.25	66.1	102.75	92.1	84.98
Ybx1	1.86	62.4	22.91	108.32	112.35	110.68
Zdhhc1	0.0	0.0	0.0	37.76	39.37	38.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zswim3	0.0	0.0	0.0	9.91	9.01	7.09
mt_AK131586	3744.02	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
