	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_73	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_24	Nr5a1_tdTpositive_cell_27	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500015A07Rik	0.0	0.0	93.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.11	0.0	0.0	10.51	5.33	5.17	5.06
2310009B15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.76	0.0	0.0	0.0	0.0	0.0	34.22	0.0	0.0	0.0	54.68	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	4.56	10.21	12.88	11.1
2310044H10Rik	0.0	0.0	0.06	16.28	2.32	1.55	0.67	0.0	0.0	0.0	0.0	0.0	0.2	0.1	4.62	1.94	52.39	0.83	1.07	0.98	2.4	5.0	4.59	102.68	1.56	0.36	1.59	0.0	0.0	0.0	8.27	37.79	0.47	1.04	29.73	12.24	0.0	7.12	215.98	240.68	232.45
4732415M23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.41	0.0	0.0	0.0	2.83	3.24	4.6
9330133O14Rik	0.0	0.0	50.42	0.0	0.17	1.01	62.7	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.2	0.0	118.48	0.0	86.89	4.53	42.36	62.7	0.07	59.01	0.0	9.17	0.12	62.39	19.48	77.43	56.93	0.68	63.8	0.05	0.0	0.0	0.0	17.44	7.77	7.0	8.22
Aldh18a1	0.0	0.0	6.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.0	61.65	0.0	89.97	36.76	0.02	0.03	44.54	2.76	79.46	0.0	0.0	0.0	0.27	0.0	90.39	0.0	55.27	0.12	0.13	0.22	11.11	5.64	17.74	17.08	16.68
Atat1	0.0	183.84	16.77	0.0	0.0	208.73	0.0	3.78	0.0	0.0	0.0	0.0	166.83	169.89	0.0	0.2	286.32	11.95	0.0	0.16	0.09	82.15	0.0	125.64	199.74	156.01	0.0	199.09	0.0	46.8	179.12	0.0	0.0	24.91	0.32	0.79	0.0	51.77	51.87	54.26	54.54
Bsn	2.94	26.77	47.41	11.33	37.28	11.89	49.79	36.31	0.71	0.03	0.04	0.0	11.07	7.74	24.58	27.65	105.16	26.3	47.88	33.45	33.03	43.2	9.28	90.96	3.63	0.17	70.35	5.8	0.08	84.97	32.27	1.0	36.05	33.56	113.34	5.41	1.84	12.76	89.93	87.69	106.31
Camta1	63.37	80.57	51.79	0.0	60.6	45.94	0.69	47.72	48.17	0.0	0.24	0.0	36.18	129.81	8.36	185.49	147.82	78.88	0.06	38.69	61.37	72.62	86.77	138.57	75.57	47.57	0.0	46.76	55.28	114.9	59.55	64.41	69.28	2.68	30.89	0.0	7.28	62.12	87.9	82.51	86.09
Cds1	0.19	0.0	1.0	164.34	163.31	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.24	88.9	0.11	5.41	111.6	0.0	50.15	56.77	111.65	9.71	5.95	197.4	0.0	10.42	0.0	0.0	3.43	17.19	49.99	11.73	56.76	0.38	4.42	0.0	19.26	17.93	80.33	82.7	80.85
