	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Gad2_tdTpositive_cell_13	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
2610524H06Rik	0.0	0.0	0.0	0.0	50.02	0.32	0.0	6.34	13.58	12.95	62.23	6.27	2.27	57.36	18.58	5.97	2.38	69.45	8.59	74.91	0.1	21.68	1.8	59.23	13.02	16.62	0.5
4932438A13Rik	0.0	0.0	0.0	0.07	12.72	0.0	9.3	10.4	21.78	12.41	13.45	11.81	0.0	14.58	20.33	7.39	18.5	13.85	1.0	5.56	10.83	18.46	10.12	10.47	62.29	8.44	0.0
4933403F05Rik	0.0	0.0	0.0	0.0	48.62	0.0	11.38	7.7	18.82	23.05	38.4	35.25	4.49	27.07	45.36	50.67	20.21	22.33	21.51	38.02	16.2	45.48	28.82	7.01	55.79	30.34	0.0
6330439K17Rik	0.08	0.0	0.0	0.07	71.81	0.0	22.42	27.9	53.3	72.33	78.0	57.58	1.56	0.77	42.83	39.77	55.72	8.0	68.11	51.75	16.77	105.98	21.84	63.11	76.41	25.42	0.63
Agap3	0.0	0.0	0.0	1.98	1.27	0.0	4.96	0.0	18.36	5.39	5.53	31.01	3.84	0.0	19.02	7.17	0.63	12.61	1.72	4.39	4.37	0.0	14.73	0.0	21.02	9.16	0.0
Ankrd55	0.0	0.0	0.0	0.08	73.7	0.0	0.09	67.19	0.23	43.98	163.35	50.39	0.0	0.54	43.03	33.95	9.61	23.84	51.52	74.37	0.84	0.19	0.8	20.74	70.66	22.51	0.0
Astn1	0.26	0.0	0.0	0.0	34.43	0.0	47.4	33.73	26.98	66.9	24.68	13.44	0.0	49.35	5.13	4.91	18.14	34.32	50.11	25.76	22.89	42.07	75.2	56.93	113.14	46.66	0.0
Bcat1	0.06	0.0	0.0	38.09	142.97	0.0	41.42	61.89	55.2	83.07	48.04	139.48	24.38	39.28	145.52	111.05	71.13	46.58	21.52	154.01	40.98	52.99	156.83	86.1	64.7	97.57	0.0
Dcp2	0.32	0.0	0.1	6.84	0.67	0.49	0.0	0.32	0.19	10.09	2.62	12.46	0.11	0.03	2.74	5.02	0.94	0.28	2.46	3.96	0.05	10.31	11.3	4.78	8.27	4.45	0.76
Dennd1b	0.12	0.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0	18.72	30.94	19.83	27.99	0.05	12.71	8.62	28.85	1.11	14.3	0.06	0.0	29.14	36.52	5.22	27.41	23.02	0.0
