	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_53	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_190	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_60	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_89	Sst_tdTpositive_cell_92	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310009A05Rik	0.0	0.0	448.85	0.0	27.03	0.0	67.79	58.13	19.65	35.73	83.46	86.96	0.0	80.74	0.0	148.8	0.0	112.41	0.0	0.0	0.0	47.38	82.19	82.19	14.97	19.14	18.33
2310020H05Rik	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.27	0.44
2310034G01Rik	0.0	0.0	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	1.56	2.08	1.07
4833418N02Rik	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	1.18	1.14
4930467E23Rik	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	1.41	1.22	1.73
A830093I24Rik	0.12	0.0	25.16	0.0	0.0	0.34	0.09	0.04	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.08	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	4.75	3.89	6.42
AB124611	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.47	0.71
Adcy9	0.0	0.0	36.39	0.0	0.0	0.0	0.0	41.84	0.0	0.0	0.0	0.05	0.0	0.0	0.0	2.66	0.0	0.0	0.0	0.0	0.0	0.0	15.85	7.65	38.42	37.86	41.92
Adprhl2	0.0	2.34	69.03	0.0	0.0	0.0	0.0	0.0	0.0	45.12	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.51	3.89	25.62	29.26	27.27
Alx4	0.14	0.33	17.75	0.1	0.65	0.48	0.48	0.17	0.22	0.19	0.0	0.25	0.16	0.26	0.25	0.15	0.22	0.3	0.62	0.35	0.27	0.98	0.29	0.23	1.44	0.95	1.11
Anxa5	30.83	0.0	229.04	50.76	95.13	0.0	0.0	0.0	83.3	241.71	145.34	142.59	142.93	377.04	70.81	238.01	0.0	0.0	0.0	0.32	1.86	0.27	49.96	47.76	55.77	60.64	54.35
Apaf1	0.0	0.0	24.09	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	4.29	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.21	7.55	7.54	6.56
Apool	0.0	0.0	176.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.61	0.11	0.0	0.0	0.0	0.0	0.0	0.0	15.68	17.33	6.01	4.87	5.55
B3galt4	36.84	0.0	91.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	5.54	0.45	5.88	6.79	7.7
B4galt5	4.39	0.0	32.92	15.33	0.1	0.23	4.75	19.94	1.35	1.98	0.05	1.83	7.41	0.0	3.56	7.37	2.86	2.81	0.15	2.1	0.62	5.61	2.11	3.12	26.52	28.02	29.16
Cachd1	0.0	0.0	1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.21	8.1	8.24	7.81
Cadm3	3.18	31.62	39.26	16.05	3.95	2.59	1.43	11.1	15.86	1.85	6.16	0.0	27.19	4.44	13.76	9.33	8.11	0.13	0.43	0.66	2.9	3.67	5.42	8.21	266.15	258.6	271.92
Ccl27b	0.14	3.3	17.01	22.17	0.0	0.0	21.49	31.22	0.0	0.77	0.0	0.29	1.65	0.13	0.0	15.83	0.0	0.0	0.0	10.5	0.0	3.13	76.52	71.98	30.63	28.29	22.96
Ccna2	0.0	0.0	20.41	0.71	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	13.88	0.27	1.21	2.38	2.69	2.51
Cdkl4	53.13	0.0	50.32	0.0	0.0	2.69	100.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.1	0.0	0.0	0.0	0.0	1.44	0.0	40.68	29.69	18.63	17.77	16.35
Chga	83.26	59.59	360.64	74.7	122.2	0.0	338.14	54.66	41.62	145.25	91.82	0.0	130.77	57.4	132.51	71.97	156.85	283.25	0.0	65.07	111.43	44.54	12.93	21.43	171.57	179.76	168.57
Crip2	3.35	238.24	1212.48	254.26	0.0	0.0	99.88	79.94	391.56	449.07	389.15	38.0	751.11	459.97	122.26	143.12	0.0	0.0	0.0	0.0	10.86	99.5	806.71	835.95	143.4	161.38	154.88
Crybb3	0.0	0.0	70.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.49	1.48	2.16	2.09
Cspg5	1.15	5.76	79.66	3.05	37.0	22.23	7.13	12.4	18.19	9.24	3.78	3.77	1.02	4.95	16.49	15.43	8.44	32.18	6.05	0.0	32.97	4.16	16.72	15.24	163.54	180.07	172.69
Ctnnbip1	0.28	5.39	61.0	44.56	0.0	0.0	0.0	0.0	27.26	9.83	3.34	0.0	9.23	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	1.09	4.59	6.38	31.48	35.98	31.26
Ctsz	0.0	0.0	517.49	0.0	246.39	0.0	0.0	0.0	350.72	70.76	75.93	0.17	194.55	73.6	0.0	0.28	118.76	226.62	187.8	0.0	0.0	0.34	169.02	168.78	45.87	49.77	46.83
Cyfip1	0.0	7.29	135.36	0.54	0.06	8.88	0.0	53.93	24.1	0.0	4.56	15.82	1.63	0.08	5.5	4.98	36.4	4.93	45.74	0.59	0.0	16.51	18.67	18.73	40.27	40.61	40.5
D7Ertd143e	0.0	0.0	4.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Diexf	0.0	0.0	16.76	0.0	0.0	0.0	14.64	0.0	8.69	0.0	0.0	0.0	0.0	0.0	0.0	14.86	1.51	0.0	0.0	0.0	0.09	0.0	0.86	2.85	9.29	8.68	8.12
Dnahc5	0.0	0.0	8.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.31	1.59	1.27	1.46
Dnaic1	0.0	0.0	3.63	0.0	6.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.98	2.41	2.5	2.42
Dnajb5	0.0	0.0	61.05	2.89	0.0	0.0	0.0	46.05	0.11	0.0	0.0	0.0	0.24	2.5	17.96	36.43	0.0	0.0	0.0	0.0	0.0	2.84	25.59	16.46	140.11	132.47	105.89
Egfem1	0.0	0.0	14.36	0.0	15.43	0.0	0.62	0.0	59.34	6.29	0.0	27.84	61.06	7.98	3.42	0.41	0.0	0.0	0.0	0.22	0.0	34.73	1.43	1.52	5.51	4.43	5.83
Egln3	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44	10.01	9.21
Eif2ak4	0.0	0.0	45.08	0.0	0.0	5.46	0.0	0.0	3.57	0.13	0.0	0.0	0.42	7.84	0.0	0.06	0.0	26.93	0.0	0.0	3.94	0.0	3.12	2.1	15.52	15.63	15.03
Eif2b2	0.0	0.0	92.82	0.0	71.21	0.0	0.0	64.1	0.0	17.31	0.14	0.0	14.0	51.43	0.0	0.19	45.03	0.0	0.0	0.0	0.0	46.4	28.45	37.46	34.98	36.35	38.14
Epb4.1	0.0	0.0	13.4	0.0	0.0	0.0	0.0	0.0	0.0	2.02	0.0	0.0	0.49	0.21	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	3.04	3.06	19.44	16.96	18.44
Fam134a	60.65	0.49	0.0	87.25	18.43	54.82	5.12	122.8	224.98	34.37	37.96	0.0	0.0	55.51	36.16	14.16	7.12	80.69	7.82	0.0	0.0	36.71	41.65	34.82	190.64	202.99	193.58
Fam36a	10.01	67.42	446.61	111.21	81.94	0.0	31.49	0.0	113.73	47.08	57.46	141.59	77.35	67.21	47.48	82.74	88.63	0.0	17.16	47.1	0.0	1.17	76.79	103.65	77.0	72.89	75.0
Fank1	0.0	0.0	56.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	1.6	4.47	4.78	4.56
Fbxo10	0.0	0.0	31.55	6.66	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.74	25.53	24.77	25.14
Fcrls	0.0	0.0	18.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	1.05	34.27	31.96	34.25
Ghrl	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.58	3.37	4.57
Gm13306	0.14	3.3	17.01	22.17	0.0	0.0	21.49	31.22	0.0	0.77	0.0	0.29	1.65	0.13	0.0	15.83	0.0	0.0	0.0	10.5	0.0	3.13	76.52	71.98	30.63	28.29	22.96
Gm2115	0.0	0.0	24.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.24	12.74	15.97
Gm2506	0.14	3.3	17.01	22.17	0.0	0.0	21.49	31.22	0.0	0.77	0.0	0.29	1.65	0.13	0.0	15.83	0.0	0.0	0.0	10.5	0.0	3.13	76.52	71.98	30.63	28.29	22.96
Gm2518	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.38	0.18	0.37
Gm962	0.0	0.0	13.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	3.33	3.16
Gnas	195.26	603.83	573.07	605.55	792.29	35.98	482.21	451.64	331.81	462.03	533.22	211.03	484.95	337.93	883.51	250.34	566.52	436.34	127.34	54.97	501.55	744.32	615.46	622.11	1669.79	1750.51	1663.43
Gpr180	0.0	0.0	0.03	0.0	0.17	1.77	0.3	0.15	0.17	0.25	0.08	0.59	0.17	0.19	0.0	0.78	15.44	0.4	0.94	0.73	0.68	0.17	1.33	4.57	20.98	19.71	20.62
Hoxd8	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hps1	0.0	0.0	2.67	0.0	1.65	0.0	0.09	0.08	5.23	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.76	12.86	13.87	13.5
Hrk	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.04	0.0	0.0	0.15	0.0	0.0	0.0	4.31	2.24	27.79	26.86	26.7
Igsf21	0.0	0.0	23.41	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	11.79	15.23	58.91	64.14	70.63
Ing4	6.35	0.0	247.56	101.4	107.04	0.0	0.0	0.0	46.67	69.1	2.01	0.0	0.0	10.99	181.23	49.42	0.0	116.12	16.04	0.0	0.0	58.27	38.45	39.02	47.79	49.06	44.91
Ints1	0.0	0.0	17.45	3.17	0.0	0.0	0.0	1.36	0.0	10.65	8.44	0.62	3.24	2.32	0.0	4.34	0.0	0.0	0.0	0.0	0.0	0.0	2.15	2.12	40.11	41.85	42.62
Ints5	0.0	0.0	55.73	0.0	0.0	0.0	0.0	0.4	28.64	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	40.33	1.98	3.15	17.06	18.81	15.83
Kcnh1	0.0	0.0	31.13	0.0	0.0	0.0	0.0	0.0	25.3	0.0	0.0	0.0	0.04	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	5.29	12.44	41.47	42.25	45.66
Kcnh3	0.0	0.0	6.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.58	113.3	118.14	114.28
Kcnj1	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.03	0.09	0.11
Lancl2	44.03	0.0	71.44	24.57	62.41	0.0	0.0	13.88	21.22	4.21	1.86	6.02	28.42	32.67	42.56	0.32	17.27	0.0	0.0	0.0	0.29	48.44	46.89	44.48	77.76	75.63	63.63
Limd2	0.24	0.0	9.05	0.0	27.1	0.0	0.0	0.04	15.56	0.0	0.0	1.19	0.1	0.0	0.0	0.07	0.35	0.0	0.28	0.18	0.0	0.0	9.2	10.22	39.83	44.35	41.74
Lipt2	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	4.06	7.27	7.38	8.26
Lrfn3	0.0	0.0	3.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.36	20.54	21.55	19.57
Lrriq1	0.0	0.0	21.08	22.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	1.51	1.33	0.69	1.68
Lsr	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.57	6.46	7.54
Ly6e	78.37	83.64	169.01	21.28	145.42	211.57	258.05	92.97	304.91	130.03	215.33	0.13	231.34	231.16	74.64	343.12	105.44	0.0	0.0	400.95	72.74	80.29	361.74	366.06	157.25	163.58	168.45
Mak	0.0	0.0	21.91	0.0	0.0	0.0	0.0	2.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.16	0.0	0.0	0.0	0.0	3.75	3.25	3.2	2.93	3.16
Mfhas1	0.0	10.55	0.0	0.63	0.32	0.0	0.0	0.0	0.0	2.64	12.7	19.59	5.18	0.0	3.91	0.0	5.61	0.75	0.0	10.19	2.44	0.14	5.15	5.25	20.47	19.59	19.15
Mir1839	0.0	0.0	24.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.55	5.58
Mlf2	102.41	80.45	221.87	88.33	72.73	0.0	0.35	96.76	114.94	8.72	6.28	18.08	77.23	38.2	22.42	51.49	75.73	170.26	0.0	0.0	0.0	66.53	46.39	63.06	601.77	641.42	627.04
Myo19	0.0	0.0	19.56	0.04	0.0	0.0	0.0	0.06	0.13	0.08	7.03	0.18	0.11	0.07	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	2.04	1.25	7.05	7.18	7.28
Nanos3	0.0	0.91	25.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.53	1.16
Nfib	0.0	0.0	12.74	0.0	0.05	0.12	0.0	0.03	0.0	0.08	0.0	0.0	0.03	0.0	0.05	0.24	0.0	0.0	0.0	0.0	0.0	0.0	218.53	203.8	26.19	24.58	27.07
Nid2	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.99	2.01	2.41
