	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chat_tdTpositive_cell_2	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_9	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_44	Scnn1a.Tg3_tdTnegative_cell_14	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23
2310004I24Rik	2.77	382.74	4.34	144.73	0.0	57.92	1.77	87.07	6.94	159.38	121.86	0.0	1.12	0.0	178.2	77.1	0.41	0.0	10.37	0.0	0.0	0.0	0.0	0.0	182.23	117.51	10.76
2900011O08Rik	279.93	1140.5	459.71	541.87	0.0	86.45	162.93	66.51	219.19	704.4	310.05	0.0	72.85	277.38	620.41	0.0	376.63	118.73	180.85	0.12	0.0	0.16	0.0	188.99	472.15	359.7	182.02
6330403K07Rik	234.33	324.76	215.6	295.5	0.0	16.06	1.37	0.3	368.06	91.06	67.79	0.27	218.96	0.0	751.7	55.24	469.24	71.83	148.75	0.0	0.0	0.0	0.0	0.39	735.12	407.22	348.19
9130011J15Rik	221.88	311.81	98.01	128.14	0.0	225.66	118.96	121.14	109.44	0.15	277.85	0.0	45.48	0.0	131.51	127.58	127.72	140.89	137.51	0.0	0.59	0.0	0.0	0.0	477.51	0.86	85.03
Capza1	170.83	627.88	0.31	189.5	0.0	12.27	331.84	163.46	120.36	118.92	170.03	0.0	30.75	0.0	185.94	356.54	130.62	222.29	179.48	0.0	0.0	0.0	0.0	0.0	271.59	231.53	101.38
Cnr1	10009.06	712.02	788.29	14271.7	0.0	18446.25	9089.03	33283.94	19184.04	19801.43	16437.47	2040.5	17862.67	3106.57	19681.78	17646.7	12520.63	22064.64	33041.05	194.72	0.0	0.06	0.0	12766.46	14288.55	25768.68	23267.78
Crmp1	128.04	0.21	0.0	117.33	0.0	81.93	53.25	89.18	2.62	127.92	154.31	0.0	0.0	0.0	198.95	4.25	45.04	79.18	34.83	0.0	0.0	0.0	0.0	0.0	170.83	0.0	131.32
Cyp2b23	0.2	0.28	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0
Eif1a	104.43	195.64	0.0	73.59	0.18	105.24	38.81	60.72	8.82	219.27	205.2	0.0	0.0	1.09	18.05	131.79	93.8	151.18	65.72	0.0	0.0	0.0	0.0	0.0	131.03	137.0	71.03
Elmod1	262.3	145.28	33.64	213.52	0.0	124.64	28.83	53.27	106.74	116.59	227.15	16.8	111.93	32.24	280.71	9.58	82.01	92.18	35.29	0.0	0.0	0.0	0.0	266.21	214.71	39.77	139.96
Gdap1l1	63.83	256.04	85.22	236.69	0.0	80.06	0.0	75.46	28.58	81.37	157.57	0.0	0.25	68.77	303.46	45.31	69.83	133.11	92.21	0.0	0.0	0.0	0.0	2.89	124.13	96.31	207.35
Glmn	96.22	138.91	0.0	12.14	0.0	46.02	0.0	81.38	0.0	0.0	82.47	0.0	0.0	0.0	98.49	0.0	0.34	0.0	30.07	0.0	0.0	0.0	0.0	0.0	148.2	0.0	0.0
Ift46	194.31	167.71	1.79	132.67	3.27	30.99	0.8	36.05	57.68	191.68	151.63	0.89	90.81	1.39	1.05	125.69	131.47	33.66	25.92	1.11	0.22	3.83	0.16	149.91	91.51	40.15	54.66
Matr3	615.95	1368.79	389.09	532.47	0.12	383.98	491.9	474.05	570.13	1008.26	832.64	632.37	580.86	2.69	734.18	643.28	671.5	491.6	389.56	283.07	197.67	326.96	1.27	255.02	346.51	159.47	472.46
Mcts1	105.08	737.51	0.59	469.72	0.0	226.83	325.25	158.23	68.21	461.05	241.11	0.51	0.0	0.0	0.0	458.58	321.7	287.04	254.16	0.0	0.0	0.0	0.0	251.22	779.43	92.44	397.5
Med1	204.95	300.78	74.32	214.11	0.0	193.23	148.97	107.04	63.45	125.54	168.84	16.43	167.82	119.55	198.28	75.48	114.0	162.22	94.22	14.25	1.58	0.13	13.67	159.78	192.39	67.75	77.57
Nrxn2	4.26	9.9	0.08	2.47	0.0	0.86	1.47	0.52	0.8	0.32	3.06	1.11	2.98	0.07	4.89	2.51	0.8	2.9	0.21	0.0	0.0	0.0	0.0	3.85	1.29	1.11	0.58
Pan3	11.29	155.81	14.03	73.14	0.0	75.45	78.85	40.27	36.47	42.99	26.24	2.36	27.58	44.58	30.58	10.31	37.89	8.3	24.15	8.02	83.53	0.0	0.0	45.59	26.45	70.47	14.31
Polr2f	162.12	634.58	0.0	131.54	1.11	191.71	134.19	104.15	96.75	179.75	192.9	0.0	83.83	0.0	105.27	0.57	134.56	109.92	206.88	0.0	0.0	0.0	171.12	178.12	284.7	186.18	124.31
Ptov1	70.56	62.78	0.0	57.52	0.0	31.4	0.23	0.13	0.0	32.17	0.0	0.68	0.0	0.0	0.71	74.02	0.49	0.0	0.0	0.0	0.0	0.0	0.0	8.32	1.42	3.91	0.0
Rab11a	101.0	434.24	0.0	140.95	0.0	58.09	23.58	125.56	87.59	97.25	205.06	0.0	0.0	0.36	0.19	54.46	37.73	81.17	63.0	0.0	0.0	0.0	0.0	9.61	128.85	5.44	264.81
Rab3gap2	0.57	43.04	3.18	31.93	0.0	0.69	2.26	2.26	12.57	5.32	58.33	0.0	50.41	0.0	23.81	39.59	0.38	7.6	7.21	0.0	0.0	0.0	0.0	0.26	55.77	0.07	45.29
Ranbp6	2.93	177.16	0.0	11.89	0.0	113.9	10.1	129.47	48.46	13.9	237.74	0.0	24.28	0.0	39.65	99.78	175.04	119.4	20.59	9.51	0.0	0.0	0.0	14.77	247.64	94.41	74.18
Sod2	336.83	327.95	265.03	301.78	1.9	427.08	453.52	303.12	228.06	327.98	352.87	108.71	184.38	25.65	375.87	272.21	173.93	137.77	298.01	7.3	27.32	5.04	3.18	65.41	442.11	333.12	216.39
Spock2	2.59	72.1	1.01	68.76	0.53	36.76	1.21	24.47	6.57	46.98	3.36	51.12	0.25	6.91	33.65	32.19	21.73	26.65	19.28	0.21	0.14	0.1	0.12	0.55	98.65	19.11	42.72
Srsf1	14.44	224.45	1.34	0.37	0.0	2.29	82.08	31.18	36.85	48.72	63.08	0.48	0.38	0.0	0.07	0.5	44.21	18.75	35.19	0.0	0.0	0.0	0.19	0.97	75.1	7.66	32.3
Stra8	0.32	0.39	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0
Tmem159	224.87	395.52	0.0	0.14	0.0	0.0	0.0	0.0	0.0	112.61	0.0	0.0	115.64	0.0	135.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.58	0.0	103.42
Tram1	71.36	117.77	5.75	49.98	0.0	34.83	0.0	0.26	56.15	97.71	86.59	0.0	0.0	0.0	132.89	0.0	34.62	22.25	14.09	0.0	0.0	0.0	0.0	0.0	83.51	1.51	35.95
Ube2e1	44.79	375.24	0.0	200.53	0.0	182.03	296.18	14.11	140.63	181.22	83.08	0.0	22.53	0.0	277.47	357.8	46.16	83.43	116.76	0.2	0.0	0.0	0.0	0.0	1.57	96.22	0.0
Zfand1	91.47	327.01	0.0	150.57	0.0	196.0	0.0	41.59	202.06	0.0	20.94	0.0	120.57	0.0	300.64	166.91	110.25	0.0	82.76	0.0	0.0	0.0	0.0	0.0	353.58	0.0	79.66
