	Calb2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_123	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_135	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700008O03Rik	0.0	0.59	0.0	0.0	0.38	0.0	0.0	20.72	0.0	0.0	0.54	0.67	0.0	0.0	0.38	0.55	0.31	0.31	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.45	0.0	0.0	0.0	0.67	0.6	1.02	1.63	0.0	0.0	0.0	0.81	2.07	0.0	0.0	0.28	0.0	0.34	1.18	1.59	0.0	0.0	4.3	0.65	0.0	0.34	0.51	0.0	0.0	0.84	2.12	1.89	3.0
2610301G19Rik	0.0	0.0	0.0	0.0	0.35	0.86	0.09	76.96	15.17	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	21.13	0.0	0.0	44.77	0.0	0.22	0.0	0.0	0.0	46.14	0.0	0.0	0.0	0.0	0.0	13.91	10.38	6.38	3.01	11.44	9.98	18.94	7.62	5.96	3.82	12.65	9.7	4.01	4.33	4.54	0.7	0.46	0.06	1.75	0.0	0.0	0.0	0.0	61.22	63.56	61.78
4933431G14Rik	0.0	0.0	0.0	0.0	0.0	0.0	52.69	85.05	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.98	2.61	7.32	1.05	1.23	0.0	0.0	0.0	0.75	1.92	3.26	1.46	5.91	0.0	6.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69	1.07	0.6	0.8
9430008C03Rik	0.24	5.28	3.4	2.94	3.94	0.45	2.53	68.65	2.31	0.72	4.38	1.16	0.0	7.88	1.71	3.89	0.59	5.41	2.31	0.53	1.13	2.41	3.28	0.0	1.37	0.86	1.66	0.72	1.94	1.48	0.56	2.14	3.19	8.33	9.11	1.97	10.26	2.06	6.85	3.09	1.44	5.76	6.12	7.91	4.63	43.93	0.58	0.72	2.85	3.85	2.48	25.81	1.68	0.72	4.68	9.17	8.49	9.03
A230057D06Rik	1.45	0.0	0.79	1.42	91.29	1.31	1.61	83.05	3.14	0.22	18.54	14.04	2.55	0.0	0.76	3.0	0.27	0.59	18.6	56.64	70.27	0.66	0.24	0.0	0.0	0.28	0.14	1.49	0.7	0.0	0.0	14.26	2.58	5.04	4.96	2.29	11.05	3.95	10.97	4.93	8.11	4.67	9.76	4.84	7.1	1.14	0.0	0.29	1.73	82.73	223.79	0.0	36.98	0.0	1.86	9.49	7.06	9.89
AA415398	0.0	0.0	0.0	0.0	68.7	0.0	0.0	62.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52	0.0	0.53	3.36	5.2	0.0	0.0	0.0	0.0	0.08	1.27	0.37	1.29	44.02	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.21	6.1	6.79
Abcb10	0.0	0.0	0.0	30.76	0.38	0.07	2.56	0.58	0.0	0.1	0.0	0.0	0.0	2.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.99	0.82	0.0	0.0	0.0	0.0	0.0	3.05	0.0	0.0	4.28	0.0	4.76	0.0	0.06	0.0	0.41	0.79	2.08	0.0	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.53	18.62	18.24
Agphd1	0.1	0.14	0.0	0.0	0.41	0.13	0.22	7.76	0.0	47.73	0.1	0.24	0.21	0.05	0.0	0.15	0.21	0.13	0.26	0.07	0.21	0.4	0.26	0.0	0.0	0.3	0.0	0.18	0.47	0.19	0.0	0.44	0.37	0.05	2.7	0.11	0.29	2.99	0.11	0.2	0.29	0.15	1.71	0.45	0.74	0.17	0.0	0.25	0.0	0.05	0.08	0.26	0.07	0.0	0.0	2.11	2.19	1.82
Anapc7	0.11	0.0	0.0	29.03	0.0	0.0	18.74	132.74	0.0	0.0	0.51	0.0	0.0	49.4	0.0	0.0	0.0	0.0	0.0	0.0	112.8	0.0	0.0	0.0	6.16	0.14	0.0	50.14	0.0	0.0	0.0	0.0	16.0	10.15	11.44	13.28	6.76	12.65	22.74	5.82	14.63	2.66	7.92	6.13	4.17	55.26	0.0	1.36	0.0	0.09	0.0	0.0	0.0	0.0	23.58	29.78	31.67	28.68
Arih1	1.45	99.41	0.36	0.19	0.6	0.0	7.16	8.61	8.46	0.14	0.9	0.0	0.87	1.31	1.57	51.25	0.0	0.08	3.85	45.16	0.0	0.4	1.57	98.64	0.05	3.28	1.16	0.18	4.97	0.99	4.55	1.03	12.04	10.11	7.6	3.88	4.41	5.11	6.96	5.54	4.66	8.16	15.11	11.15	6.66	8.03	14.28	10.76	27.94	23.33	6.18	3.41	1.96	0.0	11.02	45.7	44.14	45.02
