	Ctgf_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_65	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1520402A15Rik	0.0	0.0	0.0	20.66	20.51	19.73
1700047I17Rik2	2.63	10.84	5.13	17.56	16.4	17.92
2310079F23Rik	0.0	0.0	0.0	4.16	4.48	4.42
2610027L16Rik	0.4	0.0	0.29	8.48	9.03	7.62
4930503B20Rik	0.0	0.0	0.0	0.0	0.09	0.21
6030468B19Rik	0.0	0.0	0.0	0.09	0.18	0.19
A830019L24Rik	0.0	0.0	0.0	0.6	0.74	0.5
A930011G23Rik	0.0	0.0	0.0	0.82	1.08	0.82
Adamts16	0.0	0.0	0.0	3.08	3.26	3.44
Ahdc1	0.31	2.29	0.7	21.02	21.81	21.88
Akap1	0.0	25.27	0.0	33.56	35.31	33.31
Ap2a1	0.0	0.0	11.07	210.18	226.06	220.98
Arap1	0.0	0.0	0.0	8.4	7.5	7.94
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Baiap2l2	0.0	0.0	0.0	2.34	3.74	2.67
Begain	0.0	1.93	12.78	103.74	126.52	123.92
C1qtnf4	0.0	1.3	0.0	181.7	250.29	223.5
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Cbx7	0.0	1.2	0.39	41.34	45.24	42.5
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cpeb4	0.0	0.0	0.0	62.11	56.91	61.65
Crb2	0.0	0.0	0.0	2.19	2.67	2.67
Ctr9	0.64	0.0	0.0	36.47	38.44	34.89
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dcaf15	0.0	0.19	0.0	19.57	22.94	23.19
Ddn	0.0	22.17	0.0	810.02	858.91	858.46
Dpp8	0.0	0.0	9.86	130.84	120.47	130.76
Dvl1	0.0	3.23	0.0	70.36	75.03	72.98
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
E030019B06Rik	0.0	0.0	0.0	1.85	1.52	1.48
E2f8	0.0	0.0	0.0	0.36	0.58	0.55
Fam113b	0.0	0.0	0.17	5.82	5.98	5.16
Fam177a	2.63	10.84	5.13	17.56	16.4	17.92
Fbrs	0.0	0.0	7.01	35.66	34.04	33.97
Fcho1	0.13	0.0	3.13	83.46	84.64	85.05
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fstl4	0.0	0.0	0.0	16.09	13.78	16.47
Gal3st3	0.66	2.88	2.73	43.95	47.28	43.78
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gipc1	1.85	44.5	1.17	73.83	85.57	79.88
Gm17830	0.0	0.0	0.0	0.1	0.15	0.19
Heatr5a	1.19	0.43	0.4	5.65	5.04	5.79
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hp	0.0	0.0	0.0	0.3	0.21	0.24
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Itga3	0.0	0.0	0.0	11.08	10.87	10.83
Itgax	0.0	0.0	0.0	0.1	0.15	0.19
Itpk1	0.0	0.0	0.12	38.87	41.54	45.24
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lix1l	0.0	3.98	0.0	22.74	21.94	19.84
Loxl4	0.0	0.0	0.0	0.13	0.12	0.17
Lrfn1	0.0	0.0	0.22	42.71	49.13	45.11
Lrig3	0.0	0.0	0.0	1.33	1.6	1.68
Med25	0.0	0.0	0.0	59.42	67.15	67.28
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mthfr	0.0	0.0	0.0	16.49	17.06	15.82
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Notch4	0.0	0.0	0.0	2.58	3.06	2.82
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Ocel1	0.0	0.0	2.1	6.57	9.03	9.27
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Paf1	0.0	0.0	0.0	63.06	68.82	63.51
Parp9	0.0	0.0	0.0	2.15	2.22	2.35
Pgrmc2	0.0	2.16	0.0	62.84	62.1	60.62
Pold2	0.0	0.0	0.0	17.33	18.65	14.24
Ppp1r18	0.0	0.0	0.0	6.34	7.47	6.54
Prtg	0.0	0.0	0.0	1.22	1.12	1.24
Rai1	0.0	22.77	12.18	31.99	33.71	35.59
Rapgef1	0.0	17.18	0.0	59.62	59.34	62.33
Rbfa	0.0	0.0	0.0	40.14	46.2	43.45
Repin1	0.0	4.98	6.93	31.19	32.22	32.44
Rgs22	0.0	0.0	0.0	0.49	0.55	0.48
Rhbdf1	0.0	0.0	0.0	9.49	10.06	11.6
Rnd1	5.31	4.38	1.63	25.31	23.14	23.7
Rps6ka1	0.0	0.0	8.35	9.98	11.18	10.7
Rps6ka4	0.0	27.02	0.0	41.49	40.5	37.81
Sema7a	0.0	2.9	0.46	137.6	140.51	143.05
Setbp1	0.0	0.0	0.6	12.73	11.74	13.66
Sfswap	0.0	0.0	1.26	47.3	47.44	50.34
Ssh2	0.0	6.19	0.78	15.14	14.22	15.58
Taf3	0.0	0.0	0.0	8.7	8.65	8.56
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tjp2	0.0	0.0	0.0	17.17	16.31	18.99
Tle3	0.0	0.0	0.0	17.78	20.27	19.26
Tmem189	0.0	0.52	4.31	59.64	61.57	62.78
Traf3ip2	0.0	0.0	0.0	3.29	3.42	4.08
Trim41	0.0	0.0	3.93	34.73	37.37	39.45
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttpal	0.0	10.75	0.33	48.18	48.03	44.14
Tubb2b	0.0	0.0	0.0	145.03	151.02	154.92
Txndc5	0.0	36.83	0.0	55.42	59.07	52.19
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
