	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_40	Ndnf_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_2
0610009O20Rik	0.0	81.04	195.27	0.15	98.56	0.0	66.43	0.0	100.0	0.0	1.07	0.0	0.0	0.0	32.42
1520402A15Rik	0.0	0.0	106.3	0.0	0.0	0.0	0.0	0.0	0.0	36.01	0.0	4.47	0.0	0.0	20.51
2310035C23Rik	0.0	53.51	74.48	28.78	62.36	0.0	0.07	87.71	78.97	0.0	78.64	0.18	0.0	42.58	38.81
4930525G20Rik	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	1.61
4933432B09Rik	2.38	0.1	42.47	0.34	0.3	0.23	0.75	0.17	2.75	0.72	0.03	0.94	0.14	0.31	4.74
5031425E22Rik	0.0	2.82	47.74	0.0	1.24	0.0	0.0	30.17	0.0	0.0	0.0	0.0	0.0	7.89	13.56
5830418P13Rik	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48
6720456H20Rik	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	46.27	0.0	0.0	0.0	0.0	0.0	11.4
A930001N09Rik	0.25	4.78	97.47	18.15	8.0	0.55	0.0	0.05	17.71	9.95	42.73	0.03	56.25	0.08	20.79
AI597479	146.74	0.0	244.27	0.61	77.82	0.0	0.11	0.0	30.07	0.0	0.0	0.0	0.0	0.0	29.62
Adm	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	2.74
Aga	0.0	0.0	209.74	107.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.22
Als2	4.31	6.04	73.88	12.66	170.33	1.04	10.78	18.08	50.66	8.12	5.86	5.82	7.92	25.73	26.07
Anapc5	0.23	34.65	301.81	68.85	6.83	0.14	93.44	58.78	160.76	15.76	82.49	28.74	0.11	1.4	156.65
Apba2	0.0	29.19	559.97	82.79	18.39	0.0	0.22	0.0	231.71	42.16	0.85	30.46	3.47	39.88	137.5
Arl6ip4	0.0	157.24	103.58	55.06	0.0	0.0	0.0	196.93	93.03	0.0	0.0	0.0	0.0	0.0	56.45
Armc5	0.0	0.0	15.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.04
Bglap2	0.0	0.0	5.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C030044B11Rik	0.45	0.0	86.9	0.0	90.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0
Cacng5	0.0	0.0	0.11	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.58
Capns1	28.69	0.0	221.3	91.71	130.11	180.2	222.92	13.88	137.31	214.49	0.2	124.7	0.21	24.3	188.72
Ccdc162	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.54
