	PvalbF.Gad2_tdTpositive_cell_23	Rbp4_tdTpositive_cell_89	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4933432B09Rik	0.0	0.0	0.0	5.87	4.74	5.87
9130015A21Rik	0.0	0.0	0.0	0.29	0.18	0.34
Ap2a1	0.27	0.0	2.87	210.18	226.06	220.98
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C230024C17	0.0	0.0	0.0	0.65	0.81	0.87
C2cd4b	0.0	0.0	0.0	7.9	8.39	7.45
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chst10	19.11	0.12	11.95	53.78	51.9	52.82
Ctns	0.0	0.0	0.0	13.1	13.57	13.97
D10Bwg1379e	0.38	0.0	15.79	35.07	27.29	36.81
Dlgap3	0.12	0.0	0.08	226.76	237.6	239.55
Fam203a	0.17	0.0	2.46	10.21	12.33	12.35
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Galnt4	0.0	0.0	0.0	2.55	2.08	2.43
Gatad2a	0.0	0.0	8.58	11.48	11.97	12.09
Gm19522	0.0	0.0	0.0	0.98	1.54	1.61
Gm5741	0.0	0.0	0.0	2.01	0.63	2.07
Golga5	0.51	12.8	0.0	25.49	30.03	28.82
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hspa1b	0.0	0.0	0.0	11.17	8.82	9.33
Ifi35	0.0	0.0	0.0	3.46	3.74	3.11
Iqce	1.66	0.0	0.0	17.59	18.54	18.74
Kcnq3	7.76	0.0	0.0	53.72	40.28	59.42
Kctd17	5.59	0.0	48.04	172.27	186.86	180.37
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lgals12	0.0	0.0	0.0	0.8	0.61	0.94
Lix1l	0.0	0.0	0.0	22.74	21.94	19.84
Lrrn1	0.0	0.0	0.0	49.23	49.43	49.52
Lsr	0.0	0.0	0.0	5.57	6.46	7.54
Mapk4	0.49	0.0	0.49	39.26	38.73	38.99
Mettl21d	0.0	0.0	0.0	23.79	25.65	20.61
Micall1	0.07	0.0	0.06	25.54	25.68	29.06
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nrl	0.0	0.0	0.0	0.62	0.63	0.54
Phospho1	0.0	0.0	0.0	29.65	34.22	30.08
Pnpla7	0.0	0.0	0.0	8.8	8.12	9.0
Ppm1g	0.0	0.0	0.0	70.74	76.25	69.34
Ptk2b	0.0	39.25	0.0	310.21	322.91	308.74
Rps6ka1	3.48	0.0	0.0	9.98	11.18	10.7
Sdk1	0.21	0.0	0.0	3.72	3.28	3.47
Skap1	0.0	0.0	0.0	1.94	1.92	1.67
Slc30a1	0.0	0.0	0.0	24.51	25.28	23.17
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smagp	0.0	0.0	0.0	2.23	1.6	1.89
Spred3	0.0	0.0	0.0	30.71	29.41	30.6
Sprr2a1	0.06	0.0	0.0	0.08	0.25	0.13
Sprr2a2	0.06	0.0	0.0	0.08	0.25	0.13
St3gal3	0.82	0.0	0.15	41.35	41.45	41.69
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem88b	7.06	0.0	5.46	48.45	52.52	56.97
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube2c	1.54	0.0	0.94	4.67	6.1	6.13
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zfp664	0.0	0.0	5.22	74.37	72.05	69.74
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
