	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_62	Ndnf_tdTpositive_cell_7	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_16	Vip_tdTpositive_cell_7
9130227L01Rik	0.0	0.41	1.09	0.94	0.07	0.0	0.75	0.0	11.62	0.34	0.0	0.58	0.62
Amy2a2	0.0	0.1	0.41	0.5	0.04	0.0	0.72	0.11	0.67	0.08	0.0	0.1	0.16
Amy2a3	0.0	0.1	0.41	0.5	0.04	0.0	0.72	0.11	0.67	0.08	0.0	0.1	0.16
Amy2a4	0.0	0.1	0.41	0.5	0.04	0.0	0.72	0.11	0.67	0.08	0.0	0.1	0.16
Cd3d	0.53	2.56	10.96	8.82	5.22	0.85	10.22	0.51	10.29	0.7	1.83	8.8	10.4
D630013N20Rik	0.0	0.57	0.3	0.69	0.52	0.18	2.19	0.43	4.36	0.66	0.0	2.86	1.4
Eif2ak2	15.54	34.35	90.59	55.02	39.88	19.2	54.88	30.06	135.88	31.01	19.14	136.71	51.59
Gm10516	0.72	1.59	1.31	3.63	0.86	0.0	2.04	1.41	5.14	1.09	0.0	1.38	0.95
Gm15800	0.0	0.66	100.42	95.03	61.46	0.0	120.42	0.04	120.54	0.04	0.05	80.05	70.07
Hnrnpd	0.07	1.55	67.35	20.32	19.2	0.06	165.57	0.35	292.32	0.01	0.0	34.36	198.44
Rtp3	0.0	0.0	0.43	1.24	0.85	0.14	3.14	0.0	12.25	0.0	0.0	0.22	1.51
Srsf5	1003.84	1365.24	1929.97	1235.63	1464.65	2145.19	1478.33	2150.86	1761.41	1718.19	2399.93	1773.88	1381.32
Tmem167	0.0	1.25	84.09	12.45	7.8	0.14	97.72	0.8	218.85	12.88	0.0	21.98	9.76
Trub1	1.92	4.12	5.29	147.74	3.06	0.13	3.81	3.26	309.35	1.24	5.52	4.82	93.44
Zfp345	0.27	1.02	1.86	1.87	1.38	0.41	1.52	0.76	7.07	0.5	0.0	4.39	0.8
