	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007P08Rik	0.0	0.0	0.0	0.0	26.88	0.0	0.0	0.0	0.0	0.0	99.95	0.12	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.21	0.0	0.1	0.0	0.0	26.43	0.0	0.0	0.1	14.41	0.0	9.87	0.0	0.0	0.0	14.42	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	7.12	1.82	0.0	0.0	0.08	0.0	0.0	0.0	1.71	0.0	0.0	1.97	14.12	3.73	0.0	2.93	5.55	4.77	2.81	2.79	10.93	10.13	11.71
1500002O10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.46	0.11	0.47
2310067B10Rik	0.76	0.0	0.27	0.32	0.0	19.53	0.29	0.24	39.01	0.0	95.57	0.39	0.25	0.2	0.73	0.09	8.62	8.73	34.74	36.08	0.49	11.89	0.19	0.29	0.71	25.53	0.24	0.13	10.59	9.9	6.46	1.37	0.51	11.41	21.59	1.82	0.56	0.25	0.33	0.71	0.43	0.28	44.13	0.78	0.0	14.44	2.44	2.67	0.06	0.06	36.78	0.45	2.5	19.89	1.05	0.19	0.62	10.16	0.3	0.02	3.38	6.84	7.31	4.2	4.09	6.47	39.04	41.23	42.57
2700081O15Rik	0.0	0.0	14.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.17	5.93	0.0	0.0	0.0	0.0	0.0	1.82	0.0	0.0	0.0	0.0	0.0	2.15	0.0	10.63	3.53	0.04	0.0	0.94	20.78	0.0	20.94	2.9	0.0	13.26	0.0	0.0	0.61	0.29	0.0	14.26	1.29	0.0	0.0	0.0	0.0	3.14	0.0	0.0	13.85	0.0	0.0	0.7	0.0	0.0	0.23	0.0	10.19	0.05	0.28	2.68	0.0	0.83	0.14	0.97	25.18	28.18	27.6
2700099C18Rik	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.0	0.0	0.0	27.04	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	11.68	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.74	0.48	2.22	0.84	2.28	1.49	1.21
2810471M01Rik	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.17	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.07	0.07
5730522E02Rik	0.0	0.0	24.27	0.0	0.0	0.0	2.37	0.0	0.0	0.0	134.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.66	0.0	0.0	0.0	0.0	4.61	7.37	10.74	0.19	0.0	0.0	0.3	0.0	2.66	0.0	0.0	0.0	0.0	0.0	9.89	4.97	5.83	10.95	14.79	24.19	17.43	4.0	3.34	5.49
5830418K08Rik	0.34	4.18	0.64	0.0	6.51	2.6	10.54	0.92	20.94	0.37	70.91	4.0	0.0	0.0	1.02	0.0	0.0	1.87	0.01	0.0	0.0	0.95	5.1	1.58	0.0	0.0	0.93	2.28	2.11	2.16	2.42	0.0	0.0	0.03	0.0	0.28	0.88	0.0	11.83	3.25	0.0	0.0	0.28	0.0	0.0	0.29	1.41	4.62	9.85	5.25	4.23	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.95	1.42	6.78	9.78	3.39	3.32	2.56	11.26	8.58	11.26
6530418L21Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.06	0.0	0.12	6.48	0.11	0.0	0.13	0.0	0.0	0.0	0.03	0.08	0.13	0.0	0.15	0.08	0.16	0.0	0.05	0.09	0.07	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.07	6.0	0.0	0.09	0.06	0.0	0.0	0.0	0.0	0.0	6.45	20.4	0.0	0.0	0.05	0.06	0.0	0.0	0.0	0.0	0.09	0.0	0.26	0.1	31.07	39.3	30.62	28.86	23.51	20.58	62.45	58.55	56.76
9130221H12Rik	0.0	0.0	0.0	0.0	0.0	0.0	17.57	0.0	0.0	0.0	84.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.04	0.0	0.0	3.29	0.0	0.0	28.23	0.0	4.31	0.0	0.0	0.0	0.0	1.13	0.35	0.0	0.5	0.81	2.06	11.45	12.86	13.24
