	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1300018I17Rik	35.47	0.49	0.0	0.0	7.02	0.0	0.07	0.0	96.12	0.0	0.0	0.0	0.0	0.0	0.28	0.03	0.04	0.0	0.0	0.0	6.94	47.1	0.0	0.0	38.39	0.0	60.35	0.0	0.0	2.24	0.0	0.0	0.0	18.76	0.0	7.04	0.0	0.0	9.03	0.0	3.29	0.73	20.69	0.08	50.79	0.0	0.0	6.62	3.65	5.0	43.83	49.49	52.89
1700025G04Rik	3.75	7.74	0.1	0.0	0.0	0.0	8.82	27.94	20.16	0.0	0.0	0.0	0.0	0.0	4.72	5.34	0.04	0.82	0.06	12.04	7.81	3.29	3.55	2.86	0.77	2.08	8.61	0.0	2.35	7.9	1.95	0.0	0.03	0.34	3.54	2.6	24.33	0.0	6.81	12.35	4.0	0.0	4.33	0.02	13.2	0.8	1.15	2.67	2.91	2.49	29.94	27.1	29.87
1700047I17Rik2	6.75	0.66	5.1	2.63	0.52	0.11	5.1	16.25	31.83	10.18	0.15	3.42	0.0	0.0	0.75	4.6	0.97	5.07	14.74	10.07	22.21	2.3	7.08	10.01	12.78	5.51	4.19	4.03	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	12.08	16.78	18.26	23.92	11.71	8.08	15.19	9.76	6.64	1.29	9.26	13.41	19.02	17.56	16.4	17.92
4933431E20Rik	3.46	5.47	0.0	0.0	0.07	0.0	9.28	3.15	159.5	31.09	0.0	0.0	0.0	0.0	4.39	1.98	19.23	38.43	48.67	5.01	26.41	9.64	27.28	10.14	12.64	31.16	5.92	5.58	4.89	27.95	5.73	31.47	5.66	9.9	1.05	5.41	27.09	20.49	7.41	16.95	4.47	6.25	13.37	25.99	2.27	9.18	12.28	26.6	21.06	15.71	54.37	54.31	53.33
Acsl5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.03	0.0	0.0	0.15	0.0	0.0	9.8	4.13	0.0	0.0	12.18	22.8	57.5	0.1	52.5	33.96	0.0	4.36	0.0	0.0	38.9	0.0	0.0	0.45	61.05	13.28	41.16	29.96	0.0	5.0	32.53	0.0	9.7	0.0	0.0	6.99	0.0	0.0	33.53	23.18	33.04	24.18	57.38	59.45	53.79
Actr3	63.34	37.35	0.0	0.0	0.0	0.0	79.09	104.08	119.16	0.2	107.0	3.17	0.0	0.0	56.59	84.78	94.85	17.76	58.93	138.65	92.49	13.87	60.22	18.44	0.0	78.54	22.15	2.07	0.0	0.0	0.0	0.0	37.92	58.32	147.46	102.57	112.79	51.64	64.24	41.17	30.0	0.13	60.25	42.09	52.69	61.42	108.46	83.83	58.22	48.12	195.76	189.66	180.15
Aida	25.46	0.38	0.84	0.35	1.62	1.01	0.67	0.45	120.36	4.16	0.42	0.45	0.62	0.0	0.69	33.14	0.53	0.57	8.31	0.93	0.46	14.74	51.39	0.93	0.74	0.52	0.39	0.19	24.35	22.36	0.77	0.14	0.66	31.72	0.34	0.9	2.24	43.32	19.88	20.21	6.33	0.37	45.47	0.35	0.18	9.38	0.79	15.35	21.16	10.25	36.55	33.92	32.54
Amy2a2	0.3	0.17	0.0	0.0	0.12	0.0	0.15	0.15	0.49	0.51	0.0	0.04	0.0	0.0	0.13	0.13	0.22	0.1	0.09	0.08	0.17	0.12	0.09	0.2	0.14	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.22	0.25	0.02	0.0	0.06	0.09	0.08	0.12	0.12	0.13	0.22	0.24	0.21	0.26	0.19	0.21
Amy2a3	0.3	0.17	0.0	0.0	0.12	0.0	0.15	0.15	0.49	0.51	0.0	0.04	0.0	0.0	0.13	0.13	0.22	0.1	0.09	0.08	0.17	0.12	0.09	0.2	0.14	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.22	0.25	0.02	0.0	0.06	0.09	0.08	0.12	0.12	0.13	0.22	0.24	0.21	0.26	0.19	0.21
Amy2a4	0.3	0.17	0.0	0.0	0.12	0.0	0.15	0.15	0.49	0.51	0.0	0.04	0.0	0.0	0.13	0.13	0.22	0.1	0.09	0.08	0.17	0.12	0.09	0.2	0.14	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.22	0.25	0.02	0.0	0.06	0.09	0.08	0.12	0.12	0.13	0.22	0.24	0.21	0.26	0.19	0.21
Ank2	110.54	65.47	0.06	0.0	0.0	0.0	17.03	63.24	231.35	56.71	0.0	0.0	0.0	0.0	38.62	97.73	78.68	81.86	75.14	83.24	49.39	40.42	34.59	78.2	90.27	47.79	80.64	66.14	69.83	59.61	95.79	111.73	57.48	68.48	27.01	12.58	19.13	55.18	147.24	20.58	43.85	44.31	64.9	28.79	85.84	8.69	54.19	121.04	155.83	138.01	250.02	222.38	264.29
