	Slc17a6_tdTpositive_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110002L01Rik	0.0	0.0	3.86	3.46	4.92
1190003J15Rik	0.0	0.0	1.07	1.58	1.42
1600015I10Rik	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.11	0.0	0.11
1700024P03Rik	0.0	0.0	0.21	0.0	0.21
2700089E24Rik	85.17	65.6	130.06	125.42	120.35
4930403N07Rik	0.0	0.0	0.04	0.04	0.04
4930413G21Rik	0.0	0.0	17.4	23.64	23.18
4930419G24Rik	0.0	0.0	0.19	0.18	0.2
4930447C04Rik	0.0	0.0	10.29	7.15	11.48
4930555B11Rik	0.0	0.0	0.07	0.0	0.07
4931423N10Rik	0.0	0.0	0.22	0.2	0.22
9230009I02Rik	0.0	0.0	0.75	0.16	0.45
9230104L09Rik	0.0	0.0	0.16	0.0	0.16
A930041C12Rik	0.0	0.0	0.19	0.18	0.2
Adamdec1	0.0	0.0	0.04	0.0	0.04
Adcy5	0.0	0.0	139.88	145.98	149.99
Agfg1	0.0	0.0	57.55	52.63	54.25
Agtr1a	0.0	0.0	0.66	0.45	0.85
Akr1c12	0.0	0.0	0.08	0.0	0.08
Alg6	2.19	0.07	9.63	9.73	9.54
Alkbh6	3.22	0.0	48.78	50.39	53.04
Apob	0.0	0.0	0.01	0.0	0.01
Atp8b3	0.0	0.0	0.04	0.04	0.09
B4galt6	0.35	0.14	78.47	74.46	73.74
Blk	0.0	0.0	0.04	0.04	0.04
Bptf	2.15	3.73	28.88	26.3	30.01
Brd1	3.83	0.0	30.53	33.71	28.77
C8b	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.1	0.09	0.1
Camkk1	2.36	21.23	101.21	102.79	94.75
Capn13	0.0	0.0	0.04	0.0	0.04
Cep110	0.0	0.0	6.99	6.26	8.11
Ces1a	0.0	0.0	0.05	0.05	0.05
Chml	0.0	0.0	6.6	6.02	6.63
Clec12b	0.0	0.0	0.07	0.0	0.07
Clp1	0.0	0.0	9.55	8.95	8.74
Csf3r	0.89	0.31	4.21	3.81	5.47
D6Mm5e	0.0	0.0	0.1	0.09	0.1
Daam1	0.0	0.0	34.26	31.25	35.77
Dnajc5b	0.0	0.0	0.11	0.0	0.11
Dspp	0.0	0.0	0.11	0.1	0.11
Dus1l	0.0	0.0	30.01	29.33	31.51
Dusp7	3.07	20.22	56.88	61.62	57.76
Dyrk4	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.1	0.09	0.1
Ep300	0.07	0.0	26.42	24.38	26.16
Fhod3	0.0	23.27	31.94	31.54	32.71
Fndc3c1	0.0	0.0	0.02	0.0	0.02
Foxi1	0.0	0.0	0.04	0.04	0.09
Fundc1	43.21	0.23	51.03	46.3	44.05
Gdf6	0.0	0.0	0.03	0.03	0.06
Glipr1l1	0.0	0.0	0.23	0.0	0.23
Glud1	0.0	0.0	180.31	196.86	186.58
Gm14015	0.0	0.21	0.55	0.48	0.54
Gm1647	0.0	0.0	0.14	0.0	0.14
Gm9961	0.0	0.0	0.19	0.18	0.2
Gnl1	0.0	5.61	139.48	150.8	141.26
Hal	0.0	0.0	0.04	0.0	0.04
Hhla1	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.07	0.07	0.07
Htra2	32.94	0.0	32.07	37.85	34.39
Htt	1.78	0.0	46.12	42.17	48.51
Inhbc	0.0	0.0	0.05	0.05	0.1
Itgb3	0.0	0.0	2.24	2.51	2.6
Kcns2	0.0	0.1	19.88	19.16	22.8
Kel	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.11	0.1	0.11
Lmtk3	0.72	0.45	112.57	125.74	129.11
Ltf	0.0	0.0	0.04	0.0	0.04
Lynx1	51.93	0.0	249.12	247.11	249.79
Mkln1	0.0	0.11	39.53	32.65	37.85
Mms19	0.0	0.0	26.59	26.33	25.8
Msh4	0.0	0.0	0.03	0.03	0.06
Muc4	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.07	0.0	0.07
Nfe2l1	6.82	2.63	227.17	223.7	221.14
Nkx6-3	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.14	0.0	0.14
Pcdha4-g	0.0	0.0	0.84	1.36	2.18
Pfn3	0.0	0.0	0.19	0.18	0.2
Prokr2	0.0	0.0	1.52	1.67	1.73
Raet1d	0.0	0.0	0.16	0.0	0.16
Rev1	0.0	0.0	17.41	16.67	16.45
Rfxank	0.33	3.69	10.68	10.68	11.79
Rnase13	0.0	0.0	0.17	0.0	0.17
Rnf11	167.27	0.0	267.55	268.6	261.45
Sct	0.0	0.0	0.21	0.0	0.21
Serinc5	0.0	0.0	47.51	47.26	50.14
Slc38a6	1.75	1.15	8.69	8.46	9.48
Slc4a1	0.0	0.0	0.02	0.0	0.02
Slco6c1	0.0	0.0	0.04	0.04	0.04
Specc1l	0.0	0.07	28.51	27.24	28.03
Stom	0.0	0.0	10.99	11.15	10.18
Syde2	0.0	0.0	1.8	2.05	1.97
Syt12	3.1	3.19	27.22	27.84	28.06
Tac4	0.0	0.0	0.08	0.0	0.08
Tas2r137	0.0	0.0	0.1	0.1	0.1
Tbc1d9	0.0	40.29	61.21	62.36	62.69
Tfcp2	0.37	0.14	16.65	17.53	18.51
Tmem229b	0.0	0.0	21.07	19.71	21.31
Trhr2	0.0	0.0	5.38	4.43	7.17
Ttc39d	0.0	0.0	0.05	0.05	0.05
Usp26	0.0	0.0	0.02	0.0	0.02
Vax2os2	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.11	0.0	0.11
Vmn1r45	0.0	0.0	0.03	0.03	0.06
Vmn2r11	0.0	0.0	0.04	0.0	0.04
Vmn2r118	0.0	0.0	0.04	0.04	0.09
Wdr70	0.87	0.0	10.89	11.87	11.61
Zfp781	10.56	12.75	18.46	13.57	19.27
Zp3r	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.1	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	13.32	9032.87	8417.95	8583.15
