	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810422O20Rik	0.0	0.0	0.0	5.55	5.48	4.03
4930471M23Rik	0.0	0.0	0.0	21.61	23.1	24.25
4933411K20Rik	0.0	0.0	0.0	16.99	17.29	18.39
7530416G11Rik	0.0	0.0	0.0	0.35	0.0	0.27
A330050B17Rik	1.33	0.0	1.73	4.99	4.82	5.88
AY074887	3.08	2.92	2.13	13.24	12.48	12.87
Actg2	0.0	0.0	0.0	0.5	0.14	0.16
Amy2a2	0.13	0.0	0.0	0.26	0.19	0.21
Amy2a3	0.13	0.0	0.0	0.26	0.19	0.21
Amy2a4	0.13	0.0	0.0	0.26	0.19	0.21
Ap3s2	0.64	0.0	0.35	38.41	38.56	36.63
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bin3	0.0	0.0	0.0	13.53	12.61	11.18
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccl27b	0.0	0.0	0.0	30.63	28.29	22.96
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdc25c	0.0	0.0	0.0	0.31	0.55	0.42
Cdk20	0.0	0.0	0.0	11.58	9.01	11.34
Cenpt	0.0	0.0	0.0	16.48	15.74	16.09
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Dync1li2	0.0	0.0	0.0	163.9	162.52	165.81
Eif4enif1	0.0	0.0	0.0	36.71	34.91	35.48
Fam110b	0.0	0.0	0.0	31.62	35.21	33.05
Fbxl5	0.0	0.0	0.0	86.23	81.05	82.24
Fkrp	0.0	0.0	0.0	48.84	57.36	51.14
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gamt	0.0	0.0	0.0	22.92	29.52	26.92
Gm10635	0.07	0.0	0.0	2.45	1.99	1.65
Gm13306	0.0	0.0	0.0	30.63	28.29	22.96
Gm2506	0.0	0.0	0.0	30.63	28.29	22.96
Hectd2	0.0	0.0	0.0	13.96	11.7	12.97
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Inpp5e	0.0	0.0	0.0	20.77	20.23	19.18
Inpp5j	0.0	0.0	0.0	41.26	48.03	45.5
Ip6k1	0.12	0.0	0.0	145.75	151.74	145.31
Itga9	0.0	0.0	0.0	3.97	3.89	3.97
Kbtbd4	0.0	0.0	0.0	25.55	26.93	25.25
Kcnj11	0.0	0.0	0.0	37.29	38.71	40.33
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lipo1	0.0	0.0	0.0	7.02	7.06	6.92
Lrrfip2	0.0	0.0	0.0	24.5	24.87	24.53
Matk	0.0	0.0	0.0	183.11	197.53	192.68
Mtrr	0.37	0.1	0.0	7.68	8.1	7.11
Muted	0.0	0.0	0.0	18.49	20.17	19.14
Mypop	0.0	0.0	0.0	40.58	46.49	45.49
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlrp1b	0.0	0.0	0.0	0.69	0.49	0.69
Nop2	0.0	0.0	0.0	20.47	23.45	22.12
Oxct1	30.68	0.46	0.0	237.85	234.89	230.25
Pcdhb2	0.0	0.0	0.0	2.62	2.61	3.14
Ppih	0.0	0.96	0.0	18.1	20.39	19.24
Ppp2r5c	0.0	0.0	130.48	167.49	163.49	158.91
Ptpmt1	0.0	14.98	0.0	39.42	39.68	37.64
Rbm34	8.54	13.71	7.67	15.54	16.14	15.95
Rpl12	0.0	0.0	0.0	410.23	455.55	428.14
Rps6ka2	0.0	0.0	0.0	48.29	46.96	47.75
Sergef	0.0	0.0	0.0	28.32	29.19	27.61
Sgtb	0.0	0.0	0.0	141.85	138.92	138.37
Slitrk3	0.0	0.0	0.0	44.44	42.16	45.93
Snord116	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	1.22	1.15	1.9
Srrm4	0.0	0.0	0.0	18.15	20.23	20.38
Stx2	0.0	0.0	0.0	16.58	16.28	17.15
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tiam2	0.0	0.0	0.0	26.82	29.06	26.66
Tmem19	0.0	0.0	0.0	31.67	30.93	32.02
Tmem38b	0.0	0.0	0.0	9.24	10.06	7.83
Tnfrsf18	0.0	0.0	0.0	8.53	7.37	7.89
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Upk1a	0.0	0.0	0.0	1.0	0.87	0.47
Usp35	0.0	0.0	0.0	15.54	17.32	15.84
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zfp53	0.0	0.0	0.0	3.75	3.26	3.81
Zfp941	0.4	0.8	0.0	21.75	19.86	21.36
Zkscan6	0.0	0.0	0.0	12.94	15.98	13.4
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c8_LSU-rRNA_Hsa	4.64	0.0	26.24	27.25	25.98	46.28
mt_AK131586	3491.17	6370.03	4908.34	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
