	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2510003E04Rik	0.0	0.0	28.73	30.61	178.04	190.65	180.04
5730494N06Rik	0.66	1.88	26.14	27.08	39.61	38.28	36.33
6330407J23Rik	0.0	0.0	11.56	10.05	49.96	45.74	58.4
Abr	0.0	0.0	16.7	13.25	272.97	271.82	286.04
Adam11	0.18	0.16	4.8	5.44	100.2	105.1	100.46
Adap1	0.0	0.0	14.97	17.28	195.41	208.11	199.98
Adcy1	163.6	0.0	51.82	57.0	224.96	212.91	233.52
Akirin1	0.0	0.0	10.74	9.85	70.97	75.53	68.13
Amigo1	0.0	0.0	12.59	8.12	58.86	60.1	60.6
Ankrd13d	0.0	0.0	6.03	5.22	58.38	59.24	61.04
Ankrd34a	0.0	0.0	3.93	5.78	57.01	57.85	56.25
Apc2	0.0	0.0	0.55	1.24	49.75	52.05	53.73
Arhgdig	0.0	0.0	15.6	27.21	88.82	95.75	99.37
Arhgef17	0.0	0.0	3.67	2.67	53.82	58.08	58.26
Arid1b	0.06	0.0	14.58	10.59	20.92	20.89	22.57
Asb5	0.0	0.0	0.19	1.56	0.57	0.71	0.85
Atrn	0.28	0.04	12.82	13.32	85.45	83.79	91.7
BC005537	0.0	0.0	20.38	19.22	152.76	160.06	152.41
BC018242	0.0	0.0	4.24	4.13	148.85	160.32	156.13
Baz2a	0.0	0.04	4.11	3.97	27.57	27.42	26.18
Bcl2l2	0.0	0.0	15.27	7.39	106.04	105.91	103.99
Boc	0.0	0.0	0.0	0.31	12.25	13.07	13.82
C130074G19Rik	0.0	0.0	0.17	1.12	49.03	50.81	49.79
C2cd2l	0.0	0.0	2.06	1.19	101.81	111.13	100.46
C8b	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Cab39	0.0	0.0	32.85	26.07	153.97	150.03	150.81
Cadm2	0.0	0.0	54.68	37.39	83.14	65.9	81.87
Car11	0.0	0.0	8.46	7.13	214.47	236.01	224.75
Cdk16	0.0	0.11	14.87	14.81	206.47	218.5	219.97
Celsr2	0.0	0.0	14.23	13.58	73.45	73.3	82.99
Chrd	0.0	0.0	3.46	2.43	27.09	30.65	28.33
Coro2b	0.0	0.0	12.66	14.93	118.73	124.35	130.21
Csnk1a1	0.0	46.83	66.5	64.85	245.55	230.34	231.46
Cyth1	0.0	0.0	2.0	3.22	67.03	75.5	69.5
Cyth2	0.0	0.0	10.53	16.93	68.24	74.9	71.28
Darc	0.0	0.0	14.34	12.05	64.58	73.04	73.14
Dcaf6	0.0	1.46	19.87	25.96	80.08	75.12	71.58
Dpf1	0.0	0.0	19.86	16.23	47.74	50.08	44.62
Dync1h1	14.95	0.0	18.71	22.35	143.44	143.12	153.5
Edf1	0.0	0.0	53.61	83.97	216.08	240.69	221.66
Eid1	0.0	0.0	29.61	24.07	219.68	227.68	212.38
Fam160a2	0.0	0.0	5.33	6.6	24.28	25.16	25.64
Fam5b	0.0	0.0	5.13	7.65	67.67	69.72	71.26
Fancg	0.0	0.0	0.0	3.57	10.15	10.8	12.89
Foxi1	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gabrb3	0.0	0.0	100.98	70.63	154.37	138.99	149.04
Gdf6	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Get4	0.0	0.0	4.56	4.58	55.98	62.01	56.66
Gm14430	0.0	0.25	4.14	4.22	7.67	5.07	7.49
Gm14431	0.34	0.0	0.99	1.65	8.87	7.17	8.34
Gm14434	0.0	0.25	4.14	4.22	7.67	5.07	7.49
Gm4724	0.0	0.25	4.14	4.22	7.67	5.07	7.49
Gm8898	0.34	0.0	0.99	1.65	8.87	7.17	8.34
Gnl1	0.0	0.0	4.82	5.19	139.48	150.8	141.26
Gpr26	0.0	0.0	1.7	1.74	67.54	58.53	83.82
Grm4	0.0	0.0	1.0	1.05	17.66	17.01	18.6
Hhla1	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.12	0.04	0.04	0.09
Htr5b	0.0	0.0	1.95	0.0	1.53	2.28	1.89
Inhbc	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Itgal	0.0	0.0	0.0	0.0	0.56	0.64	0.54
Kcnj9	0.0	0.0	8.36	18.54	121.29	116.59	115.73
Kcnn1	0.08	0.62	0.75	1.57	9.26	11.18	10.81
Kera	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kpna6	0.0	0.0	5.06	5.83	51.29	52.26	49.38
LOC626049	0.0	0.0	0.76	0.0	1.35	0.54	0.59
Lpcat4	2.91	0.0	23.76	25.43	125.99	137.81	128.9
Lrrc19	0.0	0.0	0.11	0.0	0.04	0.1	0.07
Map3k5	0.0	0.0	29.28	21.66	26.04	25.01	25.24
Mapk1	0.0	164.73	89.68	80.82	371.72	366.39	352.91
Mapk8ip2	0.0	0.0	15.1	17.68	190.79	206.07	202.05
Mast1	0.0	0.0	2.22	2.38	57.59	61.96	60.11
Mgat3	0.0	0.0	13.37	8.93	99.56	101.36	101.11
Mgat5b	0.0	0.0	0.42	0.89	55.22	54.09	52.11
Mllt6	0.12	0.0	1.9	0.94	61.9	66.63	68.89
Msh4	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mxi1	0.0	0.0	21.36	14.52	35.92	35.55	32.05
Nbea	0.0	0.0	21.99	19.1	86.62	79.29	87.87
Ncor1	5.39	28.08	34.72	20.57	87.37	80.71	92.95
