	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_119	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_71	Nos1_tdTpositive_cell_65	Pvalb_tdTpositive_cell_23	Scnn1a.Tg3_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_33	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_29
1110034B05Rik	0.0	0.0	195.95	0.0	128.78	0.0	47.78	0.0	69.27	27.63	81.98	10.93	90.34	102.12	0.0
1300015D01Rik	0.22	0.0	0.16	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1600002H07Rik	2.31	3.05	5.37	2.77	10.38	0.9	2.9	0.14	2.23	4.52	3.34	3.31	0.66	2.66	0.0
2210013O21Rik	0.19	0.0	310.36	386.68	491.16	181.26	73.66	0.0	304.29	82.59	242.94	0.0	40.74	225.71	179.49
2210403K04Rik	116.73	0.0	406.63	107.19	337.0	91.89	283.96	0.0	174.14	180.15	145.26	420.56	228.09	139.45	0.0
2310003F16Rik	140.86	537.79	456.93	72.79	442.6	0.0	357.82	0.0	215.26	69.07	149.69	807.97	177.26	268.95	252.37
2700050L05Rik	0.0	0.0	95.75	25.66	59.54	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.81	95.27
4922501L14Rik	0.0	0.0	0.0	0.0	72.67	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5830415F09Rik	0.0	0.0	183.55	0.0	174.1	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acpl2	137.76	0.0	184.08	0.0	154.64	0.0	52.38	0.0	0.0	0.0	0.0	0.1	0.71	5.3	0.0
Adar	8.69	9.28	153.09	64.0	70.27	28.78	55.43	0.0	4.55	22.6	8.31	67.7	79.16	7.15	42.26
Ap3m2	237.48	34.6	332.07	89.87	571.25	501.7	82.71	0.0	201.95	172.21	0.15	150.39	88.34	0.0	0.0
Apol7b	0.45	0.0	1.04	0.0	0.31	0.0	0.2	0.0	0.0	0.03	0.56	0.07	0.0	0.0	0.0
Apol7e	0.45	0.0	1.04	0.0	0.31	0.0	0.2	0.0	0.0	0.03	0.56	0.07	0.0	0.0	0.0
