	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003F12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	0.0	0.0	0.0	0.0	0.0	6.01	4.35	5.2
1700047I17Rik2	6.05	0.81	0.31	86.64	0.64	138.63	16.78	0.76	7.99	1.16	7.53	0.4	2.34	17.42	1.39	1.52	0.0	0.87	6.42	0.48	2.02	7.93	10.17	11.25	13.41	14.19	19.02	17.56	16.4	17.92
2610017I09Rik	0.0	0.0	0.0	0.94	0.0	0.0	585.83	1.35	0.64	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.78	189.11	243.78	100.69	107.58	110.7	78.4	79.08	77.97
2900092D14Rik	0.32	0.38	0.0	0.0	0.0	0.0	79.64	0.24	0.62	0.0	0.42	0.16	0.0	0.0	0.15	0.0	0.0	0.72	0.0	0.65	0.0	21.4	14.12	31.69	35.08	19.77	18.7	19.53	17.76	16.49
4632434I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.19	0.62
4930402H24Rik	2.51	3.6	3.1	3.83	1.21	11.5	30.74	6.46	6.23	2.77	9.07	6.69	8.84	2.3	1.82	2.54	8.05	4.03	9.57	1.32	0.46	16.3	11.37	25.43	16.24	16.28	19.48	57.24	53.15	63.64
Abcb7	0.5	0.31	0.34	0.98	0.11	1.27	8.75	1.72	0.83	0.0	0.48	0.19	1.24	0.29	0.32	0.23	23.68	1.73	0.1	0.39	0.01	12.75	7.51	7.6	12.62	8.46	12.07	21.61	19.14	20.22
Ablim3	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	2.14	1.4	3.32	3.68	16.42	18.67	15.08
Adcy8	0.0	0.0	0.0	0.0	0.0	0.0	6.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	1.82	4.97	1.17	0.47	1.91	17.69	19.45	16.65
Alcam	0.0	0.0	0.0	0.0	0.12	0.0	38.89	0.14	0.06	0.0	0.13	0.07	0.0	0.0	0.24	0.0	0.0	0.2	0.12	0.0	0.0	10.25	3.84	0.39	3.16	2.13	1.32	100.71	94.97	94.18
Anks1b	0.0	0.0	0.0	0.1	0.0	0.0	57.45	0.15	0.07	0.0	0.28	0.15	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.05	43.15	60.85	39.65	38.52	38.4	136.15	132.0	139.16
