	Calb2_tdTpositive_cell_5	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_9	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_5	Nos1_tdTpositive_cell_7	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_11	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_54	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_38	Sst_tdTpositive_cell_23	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_53
1600010M07Rik	14.51	0.0	0.0	6.17	3.18	0.0	0.0	0.0	1.7	1.93	0.0	0.0	0.88	0.0	2.11	0.0	0.0	6.46	0.0	0.0	3.76
1700029F09Rik	0.0	0.0	147.95	117.36	82.62	0.0	0.0	0.0	112.27	0.13	0.61	0.0	0.0	0.0	0.0	0.0	0.0	97.14	123.65	0.0	0.26
2700070H01Rik	9.86	0.0	7.42	2.13	2.47	0.0	1.97	1.66	4.18	2.58	3.73	4.14	2.16	1.87	6.1	6.9	4.51	6.68	7.72	0.0	9.27
3110052M02Rik	0.04	0.0	0.0	0.0	0.0	0.0	0.0	11.68	0.0	0.03	0.0	5.8	4.54	13.07	21.85	75.24	91.7	90.1	0.0	0.0	0.0
9530091C08Rik	7.29	0.0	3.69	4.79	4.66	1.41	18.89	27.86	34.48	5.46	14.78	3.8	6.52	3.48	55.2	4.41	19.75	61.11	4.59	0.0	13.02
AA536875	1.5	0.0	3.55	3.55	1.35	0.0	0.49	1.4	1.87	0.49	2.17	1.46	2.57	1.46	4.38	2.22	0.53	3.88	0.47	0.0	1.5
Alg2	197.39	0.0	133.24	67.95	133.58	0.0	0.0	115.37	105.37	105.18	6.43	47.59	140.25	255.59	127.12	83.74	156.96	127.83	128.12	829.3	485.73
Als2cl	0.48	0.0	0.38	0.0	0.3	0.0	0.18	0.09	1.15	0.34	0.74	0.32	0.11	0.0	0.93	0.87	0.59	1.87	0.09	0.0	0.31
Alyref2	5.66	0.0	0.28	6.38	0.36	0.0	0.0	0.0	1.56	10.32	5.07	0.0	0.4	3.85	1.72	20.41	0.83	56.16	1.12	0.6	0.39
Ap1b1	0.08	0.0	20.23	31.55	39.74	0.0	28.4	90.63	24.41	73.35	33.21	30.68	7.29	17.5	2.64	159.65	71.01	153.75	1.72	0.0	0.71
Arpc3	444.44	0.0	0.0	0.0	106.35	0.0	0.0	85.36	217.03	72.25	71.25	123.35	92.3	0.0	12.82	127.39	4.48	132.49	259.94	0.0	0.2
Bod1	0.0	0.0	0.26	51.26	40.34	0.0	0.0	89.94	0.0	0.0	67.24	37.76	0.0	107.06	87.77	19.54	0.0	91.44	0.0	0.0	0.0
Ccdc163	0.0	0.0	0.0	0.0	31.64	0.0	54.55	0.74	0.0	4.08	26.27	0.0	2.54	0.0	0.0	157.74	3.5	114.48	103.71	0.0	0.0
Cd38	1.21	0.16	1.71	1.24	1.81	0.0	0.26	1.26	1.56	1.62	1.61	2.45	2.54	2.94	3.02	3.41	3.38	3.42	1.73	0.07	2.46
Cdc25c	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.28	0.0	0.0	0.0
Ddb1	16.6	0.57	111.55	262.32	124.49	0.0	38.13	20.41	84.77	101.82	60.69	106.79	98.46	69.38	190.9	125.65	3.33	178.12	1.53	0.0	47.36
Dip2b	138.39	0.0	149.24	186.85	79.21	0.0	78.14	80.46	79.68	59.14	21.86	45.93	26.69	30.73	71.56	32.62	159.49	62.97	56.52	0.05	88.97
Dlgap1	21.48	0.1	94.25	7.38	6.73	0.0	55.63	95.14	81.46	31.69	52.31	51.78	64.15	102.14	41.15	269.49	56.8	206.34	69.55	335.85	60.51
Dnm1	3.48	0.0	104.15	46.1	18.04	0.0	12.92	11.82	0.51	18.81	43.75	24.92	61.46	0.56	4.48	107.29	1.77	65.37	18.09	0.0	57.88
Dpf2	162.48	0.0	224.68	128.7	48.96	0.0	0.77	0.32	0.18	31.8	253.12	94.9	1.67	130.11	0.79	276.91	100.87	295.72	0.75	0.0	0.12
Eml1	0.0	0.0	0.0	0.0	56.62	0.0	0.0	0.0	1.85	0.02	0.0	0.0	0.26	41.89	0.0	119.79	0.0	123.43	0.0	0.0	0.0
Eml2	0.0	0.0	174.58	0.0	7.03	0.0	10.49	0.19	0.0	3.21	40.13	6.6	0.0	2.37	1.63	135.48	0.0	0.0	0.0	0.0	0.0
Exoc6b	0.03	0.0	0.0	18.4	51.77	0.0	0.0	10.25	0.0	2.23	0.0	0.0	0.0	0.1	0.06	84.84	11.59	71.52	6.9	0.0	0.29
Far2	111.46	0.0	97.77	57.97	38.45	0.0	0.0	29.82	45.0	8.24	33.68	107.3	0.89	37.67	13.9	108.2	2.87	134.76	0.1	0.0	0.0
Gabre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.35	0.0	0.0	0.89
Gale	0.21	0.0	0.0	0.0	78.18	0.0	0.0	0.0	0.0	0.21	73.63	2.18	0.0	100.46	2.22	135.63	0.0	0.0	0.22	0.0	0.0
Gpr22	0.0	0.0	9.91	189.04	124.71	0.0	82.6	51.47	109.67	73.62	86.06	30.78	53.79	320.29	269.31	302.36	0.11	217.07	26.13	0.0	18.14
Hccs	0.0	0.0	0.0	68.74	75.8	0.0	0.0	0.0	0.0	99.69	34.43	0.0	0.0	0.0	19.35	0.31	0.0	55.59	0.0	0.0	10.84
Hecw1	5.11	0.0	34.56	0.18	4.82	0.0	0.0	0.45	19.69	0.27	18.92	12.99	0.21	16.64	0.0	4.08	11.59	20.47	0.42	0.08	0.05
Hist1h2ao	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37	0.0	2.22	0.0	0.0	12.13	0.0	0.0	22.38	0.0	14.82	0.0	0.0	0.0
Hmgb3	0.0	0.0	0.0	0.0	171.43	0.0	140.92	24.06	220.92	89.21	72.79	9.08	0.0	182.71	0.0	144.71	0.32	128.52	27.9	0.23	381.47
Icmt	0.03	0.0	0.0	0.0	8.85	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	20.56	0.0	77.76	0.0	117.48	0.0	0.0	0.0
Ifnar1	41.2	1.56	38.55	87.93	46.94	5.43	16.65	25.79	75.87	30.57	36.11	32.08	31.32	54.73	103.02	75.48	63.45	80.95	57.97	5.31	140.98
Ift81	0.0	0.0	240.12	0.0	44.73	0.0	0.0	0.0	20.16	7.23	0.0	0.0	31.81	81.58	102.38	74.92	0.0	12.08	76.45	0.0	92.24
