	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_44	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_28	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_42	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_47	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_16	Slc17a6_tdTpositive_cell_18
0610007L01Rik	3.93	0.08	0.06	1.46	91.82	0.0	0.0	24.89	0.05	69.47	60.16	91.4	163.11	79.83	0.0	0.0	0.0	0.13	78.7	0.0	6.59	0.03	0.0	0.0	0.05	97.83	0.0	0.0	66.06	0.0	0.0	0.0	0.0
A230056P14Rik	0.72	119.98	0.07	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	4.37	159.87	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.99	0.15	8.94	7.46	0.0	0.0	193.67	0.0	0.0	0.0	0.0
A330069E16Rik	39.19	13.82	29.13	31.59	83.79	4.1	0.0	12.51	17.29	27.39	3.48	7.1	16.06	123.7	19.61	11.58	6.56	9.06	9.33	16.73	262.96	15.93	6.9	8.26	13.36	5.67	2.08	15.67	164.42	236.97	11.91	3.0	7.68
AW495222	0.0	0.06	178.32	77.11	292.01	0.0	0.0	173.85	0.0	41.96	0.1	155.65	0.0	0.0	0.0	0.0	0.0	1.51	127.77	0.0	113.95	197.93	0.0	131.86	0.19	0.0	0.0	0.0	219.54	0.0	0.0	0.0	0.0
Atg2b	28.87	57.45	85.02	47.33	61.02	0.0	0.0	18.18	44.26	30.54	76.07	61.0	15.08	63.06	39.58	30.52	5.02	35.37	15.41	67.02	92.66	11.22	37.0	33.73	26.62	4.01	51.3	33.89	68.45	21.0	0.0	0.0	0.19
Blzf1	17.93	59.62	115.9	83.6	183.2	0.0	0.0	87.23	0.24	71.0	87.67	228.47	64.36	73.27	4.98	183.82	0.0	0.12	0.09	69.96	0.0	67.39	20.8	41.04	0.0	26.65	0.0	0.0	95.2	0.0	0.0	0.0	123.23
Cav2	1.6	89.74	194.67	0.78	261.66	0.47	0.0	252.56	164.3	107.03	36.2	215.24	0.0	13.08	0.0	127.81	84.55	0.37	119.17	51.08	0.04	17.33	13.16	0.0	0.07	0.13	0.0	111.05	149.41	460.54	0.0	0.0	0.0
Cd3eap	85.9	15.54	12.28	62.62	2.17	0.7	0.67	3.92	53.18	1.14	26.52	4.08	1.01	103.87	11.89	90.79	1.77	5.69	1.51	2.44	38.86	83.13	4.07	5.36	2.53	0.72	196.45	110.93	47.57	2.63	0.93	1.4	0.99
Cirbp	30.68	163.43	50.42	145.94	458.71	0.0	0.0	706.69	34.91	0.14	93.22	322.89	0.0	7.19	0.0	29.74	227.96	0.0	271.05	296.34	130.09	28.7	115.7	103.97	7.38	233.34	161.54	0.0	112.14	0.0	0.0	0.0	109.94
Cntnap1	4.98	8.31	0.11	4.81	15.73	0.0	0.0	0.03	27.63	28.55	1.73	29.47	0.14	0.0	0.0	5.0	1.98	13.52	0.5	11.91	27.46	6.09	24.86	0.0	0.0	14.99	0.0	0.0	40.41	0.32	0.0	0.0	0.0
Cpsf7	18.82	62.67	30.6	58.57	51.23	0.0	0.0	77.44	87.4	3.34	22.24	122.29	17.25	16.18	0.0	11.22	0.0	0.0	4.56	0.21	9.27	5.84	44.73	19.13	86.25	100.28	0.74	30.52	109.81	220.9	0.0	0.0	0.0
Cse1l	112.64	91.94	170.74	73.82	298.99	0.0	115.82	157.08	279.43	133.73	124.14	185.37	34.03	235.12	96.2	144.5	11.21	14.66	217.22	0.15	135.17	194.58	91.58	98.82	19.03	119.59	228.59	23.88	246.74	0.0	0.0	0.0	142.0
Csrnp3	32.34	14.04	82.06	104.14	80.48	0.0	0.0	102.2	30.84	0.06	68.69	73.25	27.77	25.56	10.63	24.15	25.23	1.02	28.89	89.38	32.35	0.09	24.46	2.04	32.38	55.48	67.66	1.88	71.81	4.02	0.0	0.0	25.41
Ehf	0.0	0.0	0.05	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.03	0.0	0.05	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0
Elavl3	15.12	66.22	59.31	2.91	106.9	0.0	0.0	50.6	76.48	23.48	1.61	28.34	3.7	10.5	57.1	9.63	13.11	45.46	48.56	8.52	18.29	44.46	60.36	2.51	2.77	24.79	0.07	31.3	53.66	0.7	0.27	0.16	0.13
Elmod2	30.53	48.64	93.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.12	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.01	0.0	206.89	0.0	0.0	0.0	0.0
Elof1	138.5	200.92	231.86	147.27	228.48	0.0	0.0	13.31	214.22	72.62	200.96	108.94	135.09	285.13	46.44	101.61	23.84	7.66	151.53	172.1	245.01	76.68	92.49	149.29	121.34	0.33	485.68	3.42	202.72	0.0	0.0	0.0	47.83
Fbxl2	52.58	77.79	5.55	31.79	136.74	0.0	0.0	97.76	123.61	18.94	0.12	366.57	81.74	294.71	1.19	310.09	0.0	92.98	198.56	126.48	111.83	0.08	0.3	96.59	68.63	30.92	0.0	0.0	108.67	178.8	0.0	0.0	0.0
Ggps1	63.01	272.14	0.38	196.15	35.27	1.44	0.0	145.63	177.02	8.95	4.88	0.44	56.13	0.97	91.21	7.37	5.27	106.0	76.13	0.16	50.39	69.68	5.74	65.68	104.76	116.83	96.68	84.36	239.71	0.49	0.98	10.37	0.29
Glb1	0.06	3.04	0.04	0.0	163.59	0.0	0.0	0.0	0.08	101.56	12.4	181.3	318.01	223.33	0.0	7.13	97.35	0.59	0.0	189.31	0.05	168.43	0.0	0.0	28.6	167.9	0.0	0.0	176.13	0.0	0.0	0.0	0.0
Gls	194.07	129.24	42.85	21.32	77.52	5.72	0.19	267.17	12.11	118.4	24.68	350.79	262.44	61.07	11.59	158.64	70.73	64.5	63.19	30.32	35.03	135.47	38.44	207.1	36.47	149.61	0.0	3.59	279.69	50.51	0.68	0.22	25.05
Harbi1	0.47	0.07	0.11	0.0	0.08	0.0	0.0	0.53	13.07	0.49	0.06	0.14	0.0	165.39	0.04	47.23	0.25	0.0	0.1	0.24	178.31	0.06	0.09	0.0	1.04	190.35	0.0	0.23	198.82	0.0	0.0	0.0	0.3
Ipo4	97.36	53.11	17.52	1.78	142.67	0.0	0.0	91.12	0.0	15.33	2.12	0.05	0.2	0.0	10.36	0.0	36.19	98.5	17.22	0.17	40.47	10.26	3.66	0.06	0.57	150.21	23.48	0.0	149.76	0.0	0.93	0.0	0.0
Itch	37.6	0.02	88.56	10.21	32.18	0.0	0.0	130.99	77.92	0.03	0.33	0.31	3.1	62.8	0.0	1.97	0.0	0.17	23.63	70.3	49.3	13.08	69.17	7.08	7.83	0.0	0.0	66.71	40.54	21.28	0.0	0.0	84.31
Klf7	72.89	54.99	83.12	58.64	71.57	69.99	0.0	0.0	0.0	0.13	0.0	0.0	2.83	58.41	0.0	5.27	0.0	0.0	0.09	0.0	0.0	45.56	0.4	0.0	102.08	21.82	0.0	0.0	81.86	0.0	0.0	0.0	0.0
Lrrc49	174.04	142.41	123.35	156.61	118.86	0.0	0.0	2.76	205.73	112.0	196.97	215.97	210.38	99.19	49.55	115.16	58.01	118.52	0.61	1.13	21.15	85.28	109.83	78.58	56.02	165.04	96.22	9.37	182.34	43.34	0.0	0.0	66.39
Mob1b	8.24	64.03	0.0	0.0	0.06	0.0	0.0	0.0	0.06	0.05	0.0	96.95	0.46	13.22	0.0	0.0	0.0	0.0	7.41	0.03	32.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.64	7.55	0.0	0.0	0.0
