	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_25	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
9330179D12Rik	0.0	0.0	0.0	0.0	0.0	0.0	30.12	0.0	0.0	0.0	0.0	0.0	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.3	33.55	0.56	16.51	10.78	18.1	13.09	12.56
Adcy1	6.88	0.0	0.0	0.12	0.0	0.03	7.66	0.02	0.06	0.02	0.03	0.0	47.89	0.0	0.0	0.0	0.0	0.0	0.0	36.15	48.06	51.06	41.72	40.99	51.82	49.75	57.0
Aff4	3.78	0.0	0.0	0.0	0.06	0.66	26.28	0.05	3.78	0.02	0.08	0.0	24.98	0.05	4.06	0.0	0.0	0.0	0.0	8.72	12.86	15.51	9.05	6.52	10.77	7.97	8.76
B230209E15Rik	0.0	0.0	0.0	0.24	0.0	0.94	38.69	0.35	0.58	0.11	0.0	0.0	208.93	0.0	0.0	0.0	0.0	0.0	0.0	50.46	84.51	56.2	94.01	45.84	59.83	71.23	43.34
Camsap1	0.51	0.0	0.0	0.39	0.45	0.45	0.8	0.13	0.32	0.12	0.03	0.18	2.42	0.07	0.13	0.0	0.19	0.2	0.17	16.31	8.92	7.92	17.17	9.05	9.55	11.29	11.01
Capn5	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	6.2	3.76	6.0	3.55	2.61	5.84	2.71	1.72
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	93.01	0.0	0.0	0.0	0.0	0.0	54.65	0.0	0.0	0.0	0.0	0.0	0.0	114.56	132.22	74.98	103.08	54.7	61.27	76.52	71.98
Chd6	0.1	0.0	0.0	16.52	0.0	0.0	0.64	0.0	0.0	0.02	0.04	0.0	5.23	0.0	0.0	0.45	0.0	0.04	0.03	12.46	18.92	6.35	14.07	9.0	11.27	6.45	8.29
Chrm1	0.0	0.09	2.59	3.78	1.96	0.34	22.23	1.32	0.24	0.0	0.0	0.37	5.92	1.63	1.2	0.5	1.45	0.0	0.34	13.93	20.17	11.41	21.56	17.3	13.36	22.61	15.72
Ctdspl2	0.0	1.72	0.0	41.94	0.0	0.0	19.13	1.45	0.0	21.22	0.0	0.0	44.99	0.23	0.0	0.0	0.0	0.0	0.0	13.19	39.56	31.53	20.65	19.08	43.21	23.27	28.1
Fam179b	0.0	0.0	0.0	0.0	0.0	0.0	5.71	0.04	0.0	0.04	0.0	0.0	119.36	0.0	0.0	0.0	0.0	0.0	0.0	2.86	6.32	11.74	10.3	4.4	15.57	12.68	7.09
Gadd45g	0.0	0.0	0.0	0.0	0.0	0.0	7.42	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	37.73	28.86	9.77	17.6	4.94	9.44	3.29	8.65
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	93.01	0.0	0.0	0.0	0.0	0.0	54.65	0.0	0.0	0.0	0.0	0.0	0.0	114.56	132.22	74.98	103.08	54.7	61.27	76.52	71.98
Gm14430	0.0	0.0	0.0	0.04	0.0	0.23	1.12	0.0	0.21	0.03	0.0	0.0	0.69	0.0	0.0	0.0	0.09	0.0	0.0	6.07	7.0	6.89	5.17	1.83	4.14	5.97	4.22
