	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4931402G19Rik	0.28	0.0	0.24	0.07	0.12	0.0	1.4	0.27	0.52	0.75	0.0	0.0	1.75	0.14	0.03	0.73	0.69	0.64	0.19	0.0	0.0	0.5	0.75	0.0	0.4	0.64	0.27	0.25	0.07	0.4	0.05	0.15	0.12	0.56	0.16	0.0	0.0	0.13	0.0	0.13	0.29	0.58	0.0	0.13	0.15	0.49	0.09	0.0	0.19	0.13	0.23	0.38	0.14	0.15	0.12	0.12	0.0	0.21	0.0	0.6	0.0	0.26	0.16	0.06	0.39	0.12	0.35	0.87	0.09	0.23	0.18	0.33	0.0	0.42	0.79	1.36	1.14	1.05
4933402D24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.2	1.98	1.81	1.93
6330527O06Rik	0.0	0.0	0.0	0.0	0.0	0.0	2032.96	2084.66	1492.83	3045.49	2389.13	2801.26	2505.48	0.51	2073.94	1016.52	1543.3	2220.03	0.0	0.0	0.0	2809.44	1972.36	0.0	0.17	0.19	0.24	0.12	0.34	0.55	0.85	0.52	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	2101.26	1610.67	0.3	1485.16	2250.84	0.0	0.0	0.0	3176.18	0.0	49.06	0.0	0.0	0.0	0.0	0.08	0.0	0.0	900.08	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.48	0.0	0.16	0.0	0.0	397.52	475.81	515.09	202.59	206.17	203.58
AI317395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.29	1.22	1.05	1.42
BC030476	0.49	0.29	0.0	0.25	0.0	0.0	1.43	0.5	0.3	0.87	0.0	0.24	0.74	0.32	0.52	0.59	0.48	1.45	0.39	0.99	0.24	0.51	1.86	0.0	0.33	0.17	0.29	0.54	0.24	0.46	0.15	0.57	0.29	0.7	0.33	0.33	0.17	0.0	0.33	0.08	0.11	0.29	0.0	0.36	0.14	0.0	0.14	0.1	0.11	0.55	0.15	0.36	0.36	0.0	0.71	0.46	0.31	0.49	0.37	0.5	0.0	0.3	0.11	0.39	0.32	0.35	0.09	0.64	0.2	0.26	0.05	0.3	0.3	0.11	0.33	0.28	0.56	0.56
Baiap2l2	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	8.37	3.49	0.0	0.0	16.42	0.0	0.2	0.21	24.46	30.7	0.0	0.0	0.0	0.0	21.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.05	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	2.34	3.74	2.67
Bclaf1	106.47	32.54	11.77	171.66	57.39	43.28	216.67	246.76	124.75	463.46	236.72	181.94	622.53	149.61	195.95	142.82	239.82	455.03	209.35	0.0	64.58	196.13	262.75	0.0	146.39	137.37	155.59	102.94	90.52	158.06	93.26	159.1	133.08	95.86	83.88	112.79	121.12	74.55	56.01	129.62	63.31	195.93	298.36	105.72	215.8	282.13	116.84	89.08	95.76	357.51	150.83	23.43	44.85	69.24	40.05	112.25	119.65	86.7	142.86	177.91	0.0	62.89	217.52	75.73	228.91	61.96	47.62	244.9	118.58	84.91	52.68	142.61	161.82	106.92	90.59	67.16	58.2	66.55
Bzrap1	0.17	0.0	0.0	0.0	0.0	0.0	0.15	2.0	12.17	3.65	0.0	0.0	0.97	0.0	0.0	0.0	0.13	58.92	0.0	0.0	0.0	22.39	0.0	0.0	0.0	0.19	0.71	0.0	0.0	3.24	0.0	0.0	0.03	11.12	0.07	0.0	10.23	0.03	0.11	4.92	0.0	0.94	0.03	0.0	0.0	14.07	0.04	4.59	0.06	0.04	5.22	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	5.4	0.0	0.0	3.49	0.0	5.52	0.91	0.0	6.35	2.04	0.0	5.79	0.0	6.33	3.08	5.71	137.24	134.23	146.03
Cacna2d1	0.0	0.0	0.0	0.0	0.0	0.0	205.92	0.45	96.28	99.32	77.82	172.57	70.47	0.0	66.64	43.73	84.83	5.53	0.0	0.0	0.0	0.7	9.02	0.0	0.02	0.15	0.06	0.03	0.04	0.04	0.01	0.01	0.0	0.04	0.04	0.0	0.0	0.0	0.0	0.04	0.0	113.99	96.53	0.04	42.25	9.68	0.04	0.0	0.0	47.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	34.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.0	37.41	38.9	31.42	31.18	99.54	89.77	97.68
Cdk5r1	4.46	0.0	3.36	18.0	6.79	0.0	45.35	2.93	8.88	37.39	19.67	5.79	83.54	5.44	96.32	7.55	19.83	34.43	0.0	0.0	0.0	73.34	26.38	0.0	11.08	7.67	4.67	14.83	9.35	1.5	0.02	4.86	7.82	23.51	13.0	5.68	2.04	4.85	26.01	2.77	0.78	19.0	21.83	20.36	31.59	32.95	6.2	7.71	1.9	33.98	4.01	6.55	1.45	2.74	2.1	3.91	18.02	1.56	4.5	48.43	0.0	9.42	31.57	19.43	13.74	1.34	6.9	2.24	19.77	3.65	16.49	0.0	23.43	19.83	22.85	215.41	232.31	213.19
