	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_54	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_11	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A330023F24Rik	0.12	116.4	9.81	0.0	22.06	38.95	6.66	37.1	32.19	41.58	22.46	10.26	9.28	32.75	0.0	4.88	43.05	5.79	14.14	1.69	9.76	3.38	1.18	56.32	30.91	38.74	5.04	5.29	0.0	1.79	1.55	5.45	0.91	13.54	0.0	0.33	0.0	0.0	0.05	31.07	0.0	0.0	0.0	0.0	0.0	0.0	3.06	28.23	3.92	16.15	4.84	2.29	10.95	37.22	23.73	0.0	46.6	40.72	42.01
Abr	65.75	105.9	40.33	0.0	90.18	52.41	66.74	35.31	43.16	0.0	35.89	0.81	9.82	31.53	3.07	56.7	31.72	110.66	0.53	25.15	2.78	2.07	43.91	19.91	0.0	51.73	5.93	19.07	1.46	56.04	24.25	5.87	15.42	20.04	31.18	33.03	0.0	0.26	0.0	54.34	0.0	0.0	0.0	0.0	0.0	0.0	26.81	38.57	2.89	2.16	26.13	0.91	39.06	23.98	11.47	22.73	272.97	271.82	286.04
Aes	53.09	58.96	7.27	1.04	65.04	38.91	15.3	7.24	6.66	32.46	8.03	19.21	30.66	1.26	10.15	1.89	15.75	16.0	16.73	28.62	28.79	7.05	29.97	0.23	4.26	1.88	23.29	8.43	1.79	0.58	8.22	6.75	0.22	4.36	22.56	1.12	0.0	0.0	0.0	33.65	0.0	0.0	0.0	0.0	1.19	0.0	1.74	60.73	18.07	1.03	11.87	5.12	11.24	11.34	37.38	41.54	498.59	577.92	541.69
Als2cr4	40.85	89.99	39.08	0.0	0.58	0.0	73.54	0.0	37.14	97.2	165.26	47.27	0.0	0.04	67.82	0.09	81.05	46.92	30.63	0.0	54.21	16.69	61.65	74.11	0.0	0.15	0.0	156.13	0.0	0.0	162.96	53.32	89.12	0.3	121.64	41.06	167.43	0.38	0.0	116.09	0.0	0.0	0.0	0.0	0.0	0.0	150.55	222.98	52.28	0.0	64.79	0.16	39.14	80.95	39.92	84.76	30.73	30.96	27.25
Atp1b1	460.32	515.35	401.56	49.05	1232.5	854.64	425.41	1045.89	739.5	509.61	419.28	209.46	388.61	178.41	201.33	214.59	270.6	267.12	205.0	247.69	139.05	232.31	418.76	952.89	422.87	422.83	352.98	231.61	175.8	264.41	267.37	292.65	267.22	303.71	367.15	231.1	0.0	0.56	0.0	861.25	0.0	0.0	0.0	0.0	0.0	0.0	351.47	652.86	221.22	453.56	545.04	305.28	288.3	428.03	230.53	399.91	1639.11	1708.86	1616.5
Carkd	84.09	383.87	0.0	0.0	83.65	58.27	62.71	76.55	0.0	175.42	0.0	82.63	68.75	82.25	79.86	65.58	60.23	198.05	44.86	65.77	95.36	58.92	164.3	2.12	179.85	102.43	0.0	60.46	0.0	160.52	142.97	47.07	8.25	110.93	96.27	17.47	0.0	0.0	0.0	199.78	0.0	0.0	0.0	1066.75	0.0	0.82	65.34	118.63	89.33	1.27	0.0	142.36	82.53	292.59	101.99	246.7	55.83	61.53	58.32
Commd9	172.71	210.47	149.19	0.0	221.99	126.62	72.92	61.94	166.23	215.59	0.0	64.74	156.83	123.37	101.92	54.04	62.96	22.81	32.8	49.96	0.0	92.71	22.88	112.39	163.77	214.15	204.81	169.37	0.0	8.93	111.84	187.47	99.08	0.0	127.33	36.1	362.58	0.0	0.0	17.34	1.19	0.0	0.0	0.0	0.0	0.0	14.31	79.9	53.13	42.28	47.22	190.54	41.83	124.63	95.58	234.51	33.1	38.92	38.32
Cux1	8.6	11.09	1.38	0.12	0.0	9.29	0.26	0.19	0.0	110.9	51.91	6.62	0.49	1.51	0.28	51.24	17.17	4.06	31.07	39.05	3.63	1.65	78.32	1.41	0.0	11.57	7.69	73.05	0.0	0.0	73.03	0.0	40.48	41.17	4.05	0.0	0.0	0.0	0.0	16.18	0.0	0.0	0.0	0.0	0.0	0.0	44.94	9.35	21.43	0.0	0.0	5.03	0.4	14.99	4.01	1.91	46.16	46.79	50.09
Cyfip2	37.94	198.04	71.29	0.0	117.63	147.54	27.83	102.13	42.94	119.52	67.63	54.29	58.35	24.81	16.92	100.73	24.39	151.67	35.33	20.73	1.94	15.01	110.76	49.32	49.21	52.7	38.08	46.51	107.71	27.51	44.87	24.06	45.37	25.55	37.6	53.35	0.0	0.11	0.04	145.07	0.0	0.0	0.0	0.0	0.0	0.0	8.8	157.45	26.48	115.8	87.23	93.4	55.53	85.46	78.26	97.5	420.97	405.91	440.68
Derl1	0.43	143.99	20.18	0.0	7.66	0.0	0.0	4.09	130.35	135.48	0.96	11.72	12.68	20.88	4.39	59.91	0.0	62.11	26.69	0.0	0.75	0.0	3.15	57.43	0.0	34.07	12.4	2.5	0.45	0.0	0.6	9.69	2.5	43.12	0.0	0.23	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.81	30.26	0.07	0.0	0.0	12.47	27.4	0.06	0.0	58.33	49.5	53.94	49.46
Dnm1	22.71	105.01	32.91	0.0	140.37	106.96	35.17	26.37	162.17	0.67	32.14	13.97	13.5	18.81	0.03	0.57	22.74	15.88	17.51	2.08	1.36	36.06	21.22	0.63	0.09	39.54	0.76	28.7	0.37	5.09	16.71	9.78	1.46	0.72	19.87	20.33	0.0	0.18	0.0	88.95	0.0	0.0	0.0	0.0	0.0	0.0	44.55	27.11	0.3	18.09	18.91	8.02	9.23	44.14	31.16	28.98	785.48	840.55	821.55
Dyrk1a	19.71	53.9	31.52	74.59	50.42	37.93	13.4	18.5	4.19	91.92	26.12	8.81	41.99	23.41	13.56	55.36	47.42	24.07	14.38	19.75	41.95	34.41	19.3	27.08	3.34	23.52	5.87	25.22	76.59	28.19	15.08	16.8	17.92	54.71	23.76	21.74	46.39	0.0	0.0	46.29	0.47	0.0	0.17	8.56	0.0	0.0	59.74	111.59	51.53	0.75	17.41	21.68	4.9	21.66	16.34	8.05	31.51	32.78	33.92
Fam118a	39.31	126.69	1.65	0.0	0.84	0.54	0.0	0.33	0.0	1.51	0.75	13.87	1.34	0.64	119.05	0.5	4.79	0.26	38.41	25.78	23.67	0.29	67.82	48.01	0.33	64.01	7.91	0.32	0.48	31.4	53.25	0.38	0.79	32.83	0.13	0.63	1.24	1.33	0.29	0.13	3.68	5.58	0.57	0.24	0.47	6.7	0.29	102.53	0.55	0.78	0.44	74.62	1.34	35.97	24.04	157.96	20.61	20.95	18.05
Fam171b	18.41	64.98	39.85	0.0	60.47	7.82	119.01	63.02	11.02	47.08	20.38	48.22	8.61	30.25	1.61	33.62	0.0	37.83	0.0	0.28	0.0	0.08	24.21	0.88	0.0	19.08	0.09	1.63	0.07	0.08	44.07	60.34	1.54	18.95	0.0	1.59	0.0	0.2	0.0	40.77	0.0	0.0	0.0	0.0	0.0	0.36	10.76	7.6	3.89	25.46	63.23	64.32	2.27	22.66	34.31	14.13	165.86	156.72	169.74
Foxp1	6.39	48.24	0.09	0.0	2.38	0.0	10.55	0.58	0.0	42.62	25.34	24.55	0.16	0.12	13.68	0.34	0.39	0.0	0.17	7.11	0.74	17.88	25.9	23.51	2.95	10.54	0.0	0.0	0.03	0.03	6.55	0.0	0.22	0.81	5.6	1.16	0.0	0.0	0.0	0.13	0.0	82.16	0.0	0.57	0.0	0.0	1.58	7.85	0.03	0.1	10.28	1.05	4.44	0.0	1.01	0.0	40.99	39.15	40.35
Gas7	6.59	92.42	8.02	0.0	38.14	18.73	12.9	26.89	6.79	64.43	68.02	12.61	5.66	3.27	1.68	2.26	22.17	15.54	32.09	85.43	44.78	2.21	16.04	77.6	54.49	70.87	15.85	1.19	0.0	0.29	14.51	0.91	15.07	22.75	4.58	0.92	1.55	0.0	0.0	61.39	0.0	0.0	0.0	0.0	0.0	0.0	9.6	18.9	0.23	81.47	73.34	13.92	23.62	1.75	2.82	31.12	186.15	181.08	185.5
Gm14430	8.29	23.07	2.27	0.0	17.47	1.79	7.41	19.54	0.0	0.0	13.78	6.19	5.76	15.98	0.27	6.16	4.55	5.5	2.84	13.27	0.0	0.37	0.47	11.48	0.0	11.84	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	0.22	12.18	0.0	0.0	0.01	15.13	0.0	0.0	0.0	0.37	0.0	0.0	2.39	3.11	0.82	0.0	0.0	0.0	4.29	0.72	0.0	18.35	7.67	5.07	7.49
Gm14434	8.29	23.07	2.27	0.0	17.47	1.79	7.41	19.54	0.0	0.0	13.78	6.19	5.76	15.98	0.27	6.16	4.55	5.5	2.84	13.27	0.0	0.37	0.47	11.48	0.0	11.84	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	0.22	12.18	0.0	0.0	0.01	15.13	0.0	0.0	0.0	0.37	0.0	0.0	2.39	3.11	0.82	0.0	0.0	0.0	4.29	0.72	0.0	18.35	7.67	5.07	7.49
Gm166	0.0	69.05	0.0	0.0	69.53	0.0	67.18	0.0	0.0	0.0	0.0	5.54	0.0	21.55	0.06	0.0	0.15	0.0	0.0	15.91	0.0	0.0	0.0	38.81	0.0	11.98	3.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.84	44.62	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	5.05	5.42	4.43
Gm4724	8.29	23.07	2.27	0.0	17.47	1.79	7.41	19.54	0.0	0.0	13.78	6.19	5.76	15.98	0.27	6.16	4.55	5.5	2.84	13.27	0.0	0.37	0.47	11.48	0.0	11.84	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	0.22	12.18	0.0	0.0	0.01	15.13	0.0	0.0	0.0	0.37	0.0	0.0	2.39	3.11	0.82	0.0	0.0	0.0	4.29	0.72	0.0	18.35	7.67	5.07	7.49
Hpca	16.22	419.46	0.0	0.0	319.73	421.49	41.19	209.6	179.95	166.15	72.84	30.98	67.51	0.47	0.16	1.89	101.61	2.69	85.12	0.63	3.54	72.81	0.0	322.23	235.67	271.43	0.0	0.0	0.0	1.02	0.28	76.57	0.2	2.01	0.0	0.0	0.0	0.0	0.0	55.36	0.0	0.0	0.0	0.0	0.0	0.0	7.26	201.07	0.15	22.77	50.45	9.18	0.0	1.43	143.46	45.87	953.61	1005.6	947.12
Kcnab2	6.62	24.56	10.77	0.0	73.17	0.57	0.0	67.34	0.0	1.19	29.04	1.49	32.11	7.66	0.72	0.05	0.27	3.68	12.39	12.56	0.36	0.24	0.14	22.02	6.26	9.31	0.0	14.9	0.79	0.0	0.87	5.52	0.65	3.63	18.22	0.21	0.0	0.0	0.0	15.5	0.0	0.0	0.0	0.0	0.0	0.0	0.32	39.05	1.58	0.0	15.95	26.25	21.86	5.41	18.86	14.07	267.74	284.22	279.19
Lrsam1	10.38	85.33	0.0	0.0	16.82	0.0	0.0	0.0	0.0	0.0	0.0	10.09	20.96	0.0	0.03	0.0	0.0	0.0	0.6	0.08	0.75	0.0	12.21	30.32	0.0	33.61	0.08	0.0	4.87	0.0	6.4	0.9	32.29	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	17.69	0.0	0.22	0.44	0.66	19.41	0.08	0.0	21.86	22.28	21.39
Mtap1a	16.05	29.3	6.31	0.15	37.4	5.46	29.19	50.07	1.16	23.49	2.47	6.11	14.31	15.26	1.25	0.11	11.41	19.36	10.85	2.71	1.83	5.44	0.23	58.96	1.15	22.86	14.91	1.84	4.31	5.54	0.91	5.97	16.03	12.26	18.2	1.39	0.11	0.06	0.02	12.18	9.36	0.43	0.0	0.2	0.0	0.18	20.3	39.8	8.07	0.49	8.51	1.38	8.76	26.33	1.47	41.93	314.16	309.4	342.35
Myt1l	44.91	60.59	69.09	0.0	40.19	23.49	54.22	33.42	65.77	28.21	111.45	23.95	49.24	18.08	28.33	3.8	33.13	79.71	48.61	78.38	3.78	21.11	27.05	58.38	14.79	30.94	85.78	28.16	17.12	35.66	20.98	59.94	23.34	0.04	31.62	30.15	0.0	0.0	0.08	68.32	0.0	0.0	0.0	0.0	0.0	0.0	25.94	80.91	21.95	0.14	14.92	34.89	40.3	70.59	48.87	63.55	108.73	92.4	106.64
Nfyc	0.0	179.98	0.0	0.0	71.92	149.44	0.0	1.46	15.69	202.69	43.5	0.0	1.76	1.15	0.06	0.0	37.18	0.0	0.0	57.94	0.0	34.67	0.0	37.56	0.0	53.2	39.61	0.0	0.0	0.0	0.22	0.0	0.0	0.0	41.85	0.13	0.0	6.87	0.0	10.79	0.0	0.0	0.0	0.0	0.0	0.0	2.38	105.14	0.0	0.0	55.12	0.0	0.0	0.0	0.32	0.0	41.6	46.45	41.73
Npy	138375.8	9073.51	173305.25	0.0	96206.73	42632.64	68542.73	67463.47	65548.38	45335.24	125016.83	132042.44	105008.15	149629.49	134232.96	130357.56	122165.94	132052.33	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	45711.04	80801.23	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	101137.64	151963.58	0.0	0.0	0.0	24726.66	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	180453.32	92572.95	38762.64	128781.07	137945.15	95298.15	137580.94	65353.97	214.21	196.57	200.76
Nudcd3	4.01	149.55	13.63	12.23	21.12	9.38	2.44	57.51	0.0	197.22	4.04	38.04	5.89	4.6	0.45	129.35	29.3	52.74	44.63	81.93	0.32	50.15	51.59	17.95	5.04	51.88	8.36	10.49	15.1	61.02	30.22	30.94	84.61	41.22	7.51	58.48	0.0	0.0	0.0	133.75	0.0	0.0	0.0	0.0	0.12	0.26	4.86	3.41	18.59	30.98	33.3	6.62	35.64	25.06	41.2	109.66	97.11	97.88	95.66
Pex5	1.45	112.69	0.0	0.0	88.06	0.67	21.52	46.41	13.2	47.88	1.14	0.0	0.0	0.0	0.04	0.05	20.5	14.49	18.9	0.1	0.14	1.09	1.26	0.29	0.64	4.38	0.14	2.08	0.0	0.0	0.2	0.99	0.0	0.62	0.0	0.08	0.0	0.0	0.0	35.46	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.16	0.15	0.77	0.92	24.0	2.65	2.75	0.0	10.09	45.3	45.98	43.77
Phf15	0.0	37.07	0.0	0.0	17.97	3.24	0.0	0.0	0.1	0.05	0.0	0.0	0.12	18.85	0.06	9.78	0.0	0.0	6.11	0.0	0.0	1.05	1.66	3.12	10.26	0.0	0.0	17.8	0.0	0.33	6.15	0.05	0.76	0.0	0.0	5.48	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	19.17	0.0	0.04	11.76	0.0	0.0	0.0	1.92	0.0	19.72	29.31	31.64	28.04
Pink1	51.86	85.48	74.3	0.0	133.22	76.92	0.0	8.56	37.95	122.97	61.71	53.24	50.88	27.81	40.69	0.0	4.91	35.23	34.55	33.17	31.23	31.62	56.92	76.04	2.53	65.9	57.06	7.52	4.29	18.26	20.26	19.09	46.59	3.02	10.54	28.47	0.0	0.0	0.0	27.73	0.0	0.0	0.0	15.93	0.0	0.0	34.38	59.71	0.87	8.45	15.99	35.46	58.21	65.9	22.8	42.53	335.12	372.71	355.19
Polr2h	0.0	378.23	55.04	0.0	198.38	0.0	192.94	0.0	0.0	0.0	76.35	31.26	79.24	95.01	143.45	133.81	127.55	27.03	154.46	0.0	161.29	131.5	168.67	0.0	0.0	99.14	138.78	1.15	3.47	1.03	0.0	86.9	0.0	106.84	57.65	46.07	0.0	0.0	0.0	147.26	0.0	0.0	0.0	0.0	0.0	0.0	89.26	0.0	0.0	5.43	54.52	0.0	100.27	115.57	59.58	0.0	29.2	30.23	29.21
Porcn	0.35	327.99	25.6	0.0	22.32	0.0	8.46	0.0	138.94	202.9	2.41	0.0	42.98	10.38	147.27	18.13	18.88	36.65	0.16	68.98	0.35	12.05	15.21	24.97	0.0	68.69	0.7	0.0	0.0	0.0	67.2	0.0	9.82	0.0	29.84	0.0	0.0	0.0	0.0	47.89	0.0	0.0	200.14	0.0	0.0	0.0	0.0	88.31	18.47	0.0	0.24	0.0	85.6	41.82	0.0	0.0	66.34	72.89	77.9
Ppp1r13b	0.73	0.11	0.63	0.0	60.38	22.76	0.0	2.18	4.87	88.08	4.26	0.0	20.59	0.02	0.03	3.53	2.04	0.0	19.96	0.0	0.0	0.0	0.06	2.0	0.08	0.0	17.57	10.6	0.0	0.0	0.38	0.0	0.0	16.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.07	13.16	9.13	8.14	0.0	46.63	47.78	45.5
