	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_4	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_92
A230056P14Rik	67.75	0.0	5.85	75.62	14.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.62	102.02	0.0	0.0	0.0	0.0	0.0	0.0	48.03	87.24	0.0	31.9	0.0	0.16	8.48	0.0	43.52	0.0	31.24	0.0	269.38	1.08	0.0
Ado	176.93	51.23	43.46	306.51	101.33	64.73	38.44	32.73	0.33	0.0	0.15	0.0	441.16	138.49	445.82	0.14	52.35	68.96	78.52	83.32	90.14	156.27	47.3	12.74	97.22	86.09	56.86	105.37	53.71	33.88	123.32	0.25	305.34	169.84	568.66
Amy2a2	0.08	0.07	0.0	0.22	0.04	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.48	0.34	0.22	0.0	0.17	0.12	0.09	0.2	0.1	0.2	0.17	0.05	0.11	0.0	0.08	0.17	0.09	0.05	0.22	0.02	0.29	0.35	0.2
Amy2a3	0.08	0.07	0.0	0.22	0.04	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.48	0.34	0.22	0.0	0.17	0.12	0.09	0.2	0.1	0.2	0.17	0.05	0.11	0.0	0.08	0.17	0.09	0.05	0.22	0.02	0.29	0.35	0.2
Amy2a4	0.08	0.07	0.0	0.22	0.04	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.48	0.34	0.22	0.0	0.17	0.12	0.09	0.2	0.1	0.2	0.17	0.05	0.11	0.0	0.08	0.17	0.09	0.05	0.22	0.02	0.29	0.35	0.2
BC024659	105.26	158.65	98.28	555.71	32.23	40.68	128.71	59.6	0.0	0.0	0.0	0.13	355.67	615.3	464.96	0.0	192.72	168.99	186.19	234.19	160.64	287.85	112.43	232.49	173.37	177.92	65.35	147.14	246.52	310.13	338.93	0.0	494.84	287.05	322.81
Bend4	18.59	21.74	14.25	67.44	31.57	17.6	6.66	6.66	0.06	0.0	0.0	0.0	70.97	0.0	74.47	0.0	8.42	62.43	1.2	25.32	24.97	23.12	38.2	0.28	91.9	50.61	54.27	111.38	21.27	34.11	0.06	0.0	179.44	30.63	109.28
Bfar	68.29	33.72	32.33	103.83	0.0	77.92	0.0	8.6	0.0	0.0	1.0	0.22	42.13	0.0	25.34	0.23	0.0	76.87	58.16	31.36	92.1	36.92	82.19	67.98	24.7	14.19	12.28	13.91	0.17	21.68	26.08	0.13	175.84	3.63	61.44
Ccdc109a	40.92	0.0	18.32	99.81	38.47	37.3	0.0	2.33	0.0	0.0	0.0	0.0	57.14	0.0	32.04	0.0	41.43	54.45	0.1	45.5	11.65	14.0	132.79	83.83	41.54	56.99	8.89	53.87	28.87	71.38	83.86	0.0	97.0	7.74	21.9
Cd84	7.0	31.84	4.94	48.34	0.87	1.78	0.36	0.05	0.0	0.0	0.0	0.16	24.64	18.99	23.9	0.0	3.36	4.97	8.97	8.58	1.82	2.83	1.27	8.0	3.12	3.62	3.45	3.23	2.61	7.27	3.77	0.11	31.16	7.53	22.3
