	Calb2_tdTpositive_cell_37	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_57	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_9	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_15	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_26	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_73	Nos1_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_32	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_15	Sst_tdTpositive_cell_38	Sst_tdTpositive_cell_82	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66	CAV_LP_Ipsi_tdTpos_cell_22
0610010B08Rik	0.54	28.76	18.28	63.02	0.0	0.11	8.5	39.71	7.14	1.02	79.19	0.21	0.3	193.31	1.3	0.0	0.0	0.67	0.39	0.0	3.99	1.41	21.97	1.93	32.99	13.43	36.08	7.49	2.83	3.03	54.19	19.55	6.62
Chn1	450.0	595.8	209.05	451.51	0.0	3.99	318.45	398.3	579.8	0.64	298.65	216.17	38.62	751.15	196.66	82.06	1.86	123.38	602.29	34.2	575.09	264.93	1217.25	694.46	1048.85	603.33	701.96	1411.21	277.78	436.68	573.58	463.66	1755.56
Cntn4	0.0	81.54	620.41	201.99	0.0	0.0	62.47	105.58	0.0	0.16	43.46	110.41	0.09	354.56	0.06	0.0	0.0	2.4	136.98	0.0	51.19	1.6	32.55	302.99	400.03	345.2	252.09	408.8	91.81	149.06	79.26	82.13	56.95
Gm14430	0.61	34.51	15.36	75.62	0.0	0.12	10.19	0.0	0.0	0.0	19.2	0.24	0.29	97.85	0.0	0.0	0.0	0.0	0.45	0.0	4.53	1.61	26.36	0.0	30.86	16.12	22.16	8.99	0.0	3.47	44.78	23.46	2.35
Gm14434	0.61	34.51	15.36	75.62	0.0	0.12	10.19	0.0	0.0	0.0	19.2	0.24	0.29	97.85	0.0	0.0	0.0	0.0	0.45	0.0	4.53	1.61	26.36	0.0	30.86	16.12	22.16	8.99	0.0	3.47	44.78	23.46	2.35
Gm4724	0.61	34.51	15.36	75.62	0.0	0.12	10.19	0.0	0.0	0.0	19.2	0.24	0.29	97.85	0.0	0.0	0.0	0.0	0.45	0.0	4.53	1.61	26.36	0.0	30.86	16.12	22.16	8.99	0.0	3.47	44.78	23.46	2.35
Gpd1	0.0	165.02	894.95	7.62	0.0	0.0	0.0	189.28	0.0	0.0	0.0	61.09	233.74	113.94	0.06	0.0	0.0	6.23	0.0	0.0	0.35	115.22	255.83	217.42	79.13	65.87	506.32	402.48	154.41	9.54	0.18	174.54	35.62
Lrrtm4	20.14	72.14	532.19	508.38	0.0	0.0	138.78	241.99	147.58	4.91	102.18	168.73	0.13	1154.66	83.55	0.2	0.24	66.39	10.01	0.0	137.53	0.12	228.65	665.78	600.05	94.79	589.47	553.44	322.22	212.11	430.97	537.68	3.6
Nrxn1	525.84	815.26	560.19	778.19	589.93	411.97	551.48	756.86	439.18	175.52	593.14	532.28	546.75	911.04	311.81	0.51	1.84	148.05	294.09	231.05	424.03	224.05	705.86	917.03	946.24	1090.75	1026.22	940.2	298.96	1236.63	721.05	948.91	492.95
Ubb	27306.15	30893.82	29335.03	27545.09	20627.3	19083.52	23911.2	28511.3	24255.09	20357.44	24720.48	33033.08	31728.87	25197.79	21430.79	24007.8	29549.68	31415.92	24366.94	22618.93	21598.32	32905.97	24972.71	35368.68	27531.84	31243.31	38561.98	34059.86	33756.05	29123.11	26561.75	26417.68	31907.29
