	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_18	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.04
1700001K23Rik	0.0	0.0	0.0	0.22	0.22
1700003L19Rik	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.11
1700011F14Rik	0.0	0.0	0.0	0.19	0.19
1700023A16Rik	0.0	0.0	0.0	0.16	0.16
1700024P03Rik	0.0	0.0	0.0	0.21	0.21
1700034F02Rik	0.0	0.0	0.0	0.14	0.14
2010005H15Rik	0.0	0.0	0.0	0.2	0.2
2310065F04Rik	0.0	0.0	0.0	0.07	0.07
3110021N24Rik	0.0	0.32	0.0	10.84	11.31
4833403I15Rik	0.0	0.0	0.0	0.03	0.03
4930403N07Rik	0.0	0.0	0.0	0.04	0.04
4930447K03Rik	0.0	0.0	0.0	0.2	0.2
4930529F24Rik	0.0	0.0	0.0	0.11	0.11
4930544D05Rik	0.0	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.07
4930562C15Rik	0.0	0.0	0.0	0.08	0.08
4931423N10Rik	0.0	0.0	0.0	0.22	0.22
5830403M04Rik	0.0	0.0	0.0	0.16	0.16
5830411N06Rik	0.0	0.0	0.0	0.07	0.07
5830432E09Rik	0.0	0.0	0.0	0.28	0.28
9230104L09Rik	0.0	0.0	0.0	0.16	0.16
9330111N05Rik	0.0	0.0	0.0	0.07	0.07
A4gnt	0.0	0.0	0.0	0.07	0.07
A930004D18Rik	0.0	0.0	0.0	3.04	3.04
A930011G23Rik	0.0	0.0	0.0	0.82	0.82
Abca13	0.0	0.0	0.0	0.03	0.03
Abhd16b	0.0	0.0	0.0	0.06	0.06
Actn3	0.0	0.0	0.0	0.76	0.76
Adamdec1	0.0	0.0	0.0	0.04	0.04
Akr1c12	0.0	0.0	0.0	0.08	0.08
Angpt1	0.0	0.0	0.0	4.05	4.05
Anxa9	0.0	0.0	0.0	1.33	1.33
Arpc1b	0.3	0.0	0.0	22.11	26.75
Atp8b3	0.0	0.0	0.0	0.04	0.09
B230119M05Rik	0.0	0.0	0.0	0.21	0.21
BC051537	0.0	0.0	0.0	0.24	0.24
Barhl1	0.0	0.0	0.0	0.03	0.03
Bhlhe23	0.0	0.0	0.0	0.08	0.08
Blk	0.0	0.0	0.0	0.04	0.04
Bnc2	0.0	0.0	0.0	0.27	0.27
Bpifb4	0.0	0.0	0.0	0.05	0.05
Bsnd	0.0	0.0	0.0	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.1
Capn13	0.0	0.0	0.0	0.04	0.04
Ccdc154	0.0	0.0	0.0	0.04	0.04
Ccr3	0.0	0.0	0.0	0.03	0.03
Cd209b	0.0	0.0	0.0	0.11	0.11
Cd244	0.0	0.0	0.0	0.05	0.05
Cd27	0.0	0.0	0.0	0.48	0.48
Cd37	0.0	0.0	0.0	4.99	4.99
Cd52	0.0	0.0	0.0	3.34	5.39
Ceacam15	0.0	0.0	0.0	0.07	0.07
Ces1a	0.0	0.0	0.0	0.05	0.05
Chrna5	0.15	0.0	0.0	3.0	2.85
Clec12b	0.0	0.0	0.0	0.07	0.07
Cntnap1	0.0	0.0	0.0	146.45	144.43
Cntrob	0.0	0.0	0.0	13.33	13.33
Cpa3	0.0	0.0	0.0	0.07	0.07
Cyp2c55	0.0	0.0	0.0	0.05	0.05
Cyp3a57	0.0	0.0	0.0	0.06	0.06
Cyp7b1	0.0	0.0	0.0	13.12	13.12
D6Mm5e	0.0	0.0	0.0	0.1	0.1
Defb1	0.0	0.0	0.0	0.11	0.11
Dhrs2	0.0	0.0	0.0	0.08	0.08
Dnajc5b	0.0	0.0	0.0	0.11	0.11
Dnmt3l	0.0	0.0	0.0	0.12	0.12
Dspp	0.0	0.0	0.0	0.11	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.1
F630028O10Rik	0.0	0.0	0.0	0.07	0.07
Fam170b	0.0	0.0	0.0	0.12	0.12
Fam83b	0.0	0.0	0.0	0.06	0.06
Fam83g	0.0	0.0	0.0	0.02	0.02
Fam89a	0.0	0.0	0.0	2.44	2.44
Fgfr4	0.0	0.0	0.0	0.03	0.03
Fmo4	0.0	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.02
Foxi1	0.0	0.0	0.0	0.04	0.09
Foxp4	0.0	0.0	0.0	18.34	18.34
Fut1	0.0	0.0	0.0	0.08	0.08
Gabrr3	0.0	0.0	0.0	0.07	0.07
Galk1	0.0	0.0	0.0	14.02	14.02
Galr3	0.0	0.0	0.0	0.25	0.25
Gcet2	0.0	0.0	0.0	0.07	0.07
Gde1	26.0	0.0	0.34	304.34	326.45
Gm12633	0.0	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.0	0.14	0.14
Gm20554	0.0	0.0	0.0	0.08	0.08
Gm4745	0.0	0.0	0.0	0.08	0.08
Gpr44	0.0	0.0	0.0	0.08	0.08
Gpr65	0.0	0.0	0.0	0.15	0.15
Gtpbp1	0.0	0.0	0.0	38.95	38.95
Gzma	0.0	0.0	0.0	0.12	0.12
Haao	0.0	0.0	0.0	0.25	0.25
Hal	0.0	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.0	0.04	0.04
