	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Gad2_tdTpositive_cell_22	Htr3a_tdTpositive_cell_48	Ntsr1_tdTnegative_cell_32	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_86	Scnn1a.Tg2_tdTnegative_cell_17	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1190002N15Rik	0.0	0.0	0.0	0.0	0.0	20.12	2.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.87	3.58	0.0	0.0	0.0	0.0	0.0
1700020I14Rik	39.8	0.0	231.43	0.31	0.26	292.83	205.39	0.21	0.0	34.06	39.35	0.0	49.99	0.0	0.0	0.0	55.25	97.03	73.36	72.21	154.59	26.73	353.8	64.98	60.69
5730437N04Rik	0.0	0.79	0.0	0.0	62.37	2.61	14.42	0.61	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	121.48	71.38	80.4	79.28	1.85	0.0	230.44	127.82	1.03
Amy2a2	0.15	0.9	0.24	0.53	0.33	0.27	0.2	0.03	0.09	0.13	0.2	0.0	0.08	0.0	0.25	0.24	0.15	0.24	0.11	0.21	0.03	0.14	0.05	0.1	0.08
Amy2a3	0.15	0.9	0.24	0.53	0.33	0.27	0.2	0.03	0.09	0.13	0.2	0.0	0.08	0.0	0.25	0.24	0.15	0.24	0.11	0.21	0.03	0.14	0.05	0.1	0.08
Amy2a4	0.15	0.9	0.24	0.53	0.33	0.27	0.2	0.03	0.09	0.13	0.2	0.0	0.08	0.0	0.25	0.24	0.15	0.24	0.11	0.21	0.03	0.14	0.05	0.1	0.08
Ank	8.96	35.8	0.0	125.9	0.0	91.52	137.62	0.0	0.0	74.82	5.96	0.0	0.0	0.0	256.23	158.95	63.49	85.48	72.4	73.16	56.34	1.53	350.0	0.09	54.02
Atp1a3	396.21	333.12	56.58	9.26	0.72	728.81	558.12	0.07	0.32	244.31	283.86	292.26	265.5	473.42	198.24	41.71	119.65	164.83	187.8	196.49	51.97	172.57	99.51	140.6	235.85
Atp1b1	507.31	409.02	448.2	485.96	0.83	1302.4	1033.58	0.0	1.04	502.0	333.88	662.85	69.78	168.94	281.17	301.08	285.19	301.29	300.78	300.06	395.97	887.78	524.57	485.8	534.99
Atp2a2	151.8	158.82	137.65	1.49	0.83	245.69	203.54	1.45	1.58	63.26	139.16	0.0	46.8	22.29	92.47	99.05	106.47	164.24	134.82	121.86	140.78	26.37	140.93	230.5	107.52
Atp6v1e1	695.43	1091.45	1328.94	1878.21	249.72	1719.12	2158.37	56.43	339.97	1059.99	417.89	487.4	1039.35	1076.26	1669.75	1620.33	1393.48	1231.15	1346.14	1424.01	1170.55	1237.07	2397.79	1263.35	1383.56
Atp6v1g2	874.3	7.47	1717.84	1404.36	3.55	2134.45	1784.47	0.78	0.64	2625.85	2382.92	2035.82	739.31	77.98	555.35	491.29	265.45	1091.15	1031.21	1010.36	628.46	482.34	652.92	1086.11	860.96
Atrnl1	0.0	0.0	0.0	0.0	0.0	22.69	37.58	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9	14.66	14.64	0.0	0.0	0.0	0.05	2.02
Brcc3	223.09	0.0	155.9	4.59	0.73	173.72	450.9	0.0	193.78	0.0	186.39	0.0	162.15	884.07	0.88	0.42	296.09	240.33	222.22	228.61	738.31	0.51	0.8	168.68	183.05
Btbd2	0.0	0.0	27.27	0.0	0.0	3.08	60.0	0.0	101.88	0.74	0.0	0.0	0.0	0.0	0.0	92.59	44.85	3.35	8.63	9.96	0.0	0.0	0.0	0.0	0.0
Btbd3	0.09	16.72	46.05	10.74	0.26	176.02	21.86	0.0	95.1	23.57	111.77	10.8	27.36	0.0	5.59	0.1	0.0	2.81	3.9	4.08	0.0	0.0	17.0	0.06	9.64
Cacng2	0.29	3.29	5.74	0.0	0.0	10.96	4.59	0.0	0.0	1.56	0.0	0.0	9.26	0.0	0.0	1.59	0.0	3.41	4.05	4.93	1.77	8.01	0.15	0.0	4.32
Cadps	0.23	103.4	13.9	3.21	0.29	65.24	251.39	0.1	82.97	20.42	172.85	0.0	9.89	108.62	164.53	37.53	88.17	55.6	45.15	43.48	35.08	43.8	46.23	130.79	44.03
Ccdc136	5.04	0.0	0.0	0.0	0.0	46.42	3.51	0.0	0.0	0.1	7.88	0.0	12.87	34.84	0.15	3.72	0.0	2.32	3.31	1.58	0.0	0.0	0.0	0.0	0.0
Ccdc92	0.0	0.0	0.0	0.0	0.0	47.56	127.71	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	13.29	7.51	7.42	94.21	42.88	0.0	0.0	0.0
Cdr1	60.47	0.0	11.69	6.6	0.0	50.06	43.26	0.0	0.0	15.35	13.64	0.0	1.5	0.58	0.0	22.0	0.48	38.59	61.97	67.07	0.25	0.0	0.0	9.24	23.89
Cdt1	0.0	0.0	7.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cend1	45.86	352.07	415.23	0.26	0.0	914.56	552.83	0.17	29.59	85.77	284.8	0.92	470.02	1.22	145.95	472.77	72.75	124.95	154.82	147.08	268.97	153.02	0.27	64.96	10.58
Chchd10	4.16	0.0	1.03	0.0	0.0	30.82	36.48	0.0	0.0	43.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.24	11.73	8.02	0.0	13.38	0.0	0.67	25.16
Chchd2	0.97	594.05	267.61	311.4	781.32	939.84	707.39	30.83	501.11	69.03	568.25	590.3	301.84	595.96	51.72	44.42	52.7	48.34	294.19	313.65	131.4	87.18	1.01	28.31	30.35
Cisd1	13.17	0.79	268.64	167.22	0.87	844.08	694.26	587.98	606.6	0.0	484.4	99.71	174.59	430.84	138.43	161.45	34.0	96.66	532.08	544.38	1.23	6.36	0.48	59.74	16.11
Cntnap1	0.08	0.94	14.74	18.56	0.07	9.63	19.57	0.0	0.0	0.42	0.0	0.07	0.1	0.07	0.36	3.91	0.0	7.76	6.74	6.09	38.83	0.0	0.08	0.0	0.1
Cox8a	120.87	839.73	574.88	456.88	207.2	1443.62	958.62	664.38	665.39	41.3	92.05	938.96	656.31	590.89	296.61	381.26	247.69	99.72	646.12	604.84	16.59	30.14	0.0	155.98	186.41
Cplx1	7.14	214.9	283.63	4.46	0.18	1676.73	1094.15	0.0	0.0	63.09	357.7	15.8	0.08	0.55	87.06	0.0	175.2	160.81	168.2	173.28	36.13	0.0	10.3	127.45	433.46
Dfna5	146.72	0.0	0.0	0.2	0.0	96.36	211.92	0.0	0.15	0.0	0.26	0.0	158.24	0.0	0.46	249.9	0.0	35.19	43.02	47.5	0.0	0.0	0.0	33.99	40.89
Dlat	0.0	0.0	28.18	0.0	0.0	51.18	100.18	27.21	0.0	0.08	78.67	0.0	4.2	0.0	0.0	0.0	0.0	11.09	11.69	13.08	1.19	0.0	9.1	2.39	0.0
Dld	86.07	200.72	133.45	315.39	0.72	475.45	389.91	0.26	285.1	128.45	304.2	67.92	505.13	0.18	1.3	171.55	0.25	336.81	276.4	254.3	380.12	136.04	250.84	99.84	107.78
Dnm1l	81.65	230.08	212.69	77.8	0.5	180.47	251.57	5.93	18.2	77.01	121.78	0.09	55.4	235.06	0.12	21.07	31.29	288.67	166.51	205.4	86.07	22.54	45.56	139.94	73.84
Efr3a	0.0	40.84	0.15	0.0	0.08	43.75	64.67	0.0	0.06	0.06	30.99	0.0	0.1	15.86	51.52	57.27	0.11	94.69	75.63	77.85	79.53	83.17	286.33	27.95	137.71
Elmod1	55.01	129.78	106.74	44.48	0.0	58.37	70.57	0.0	0.0	0.0	34.1	57.98	27.61	52.44	69.57	0.0	0.21	20.23	26.64	26.02	15.4	12.5	32.98	7.01	49.09
Epdr1	4.88	21.5	62.52	0.0	0.17	127.93	98.82	0.0	0.0	115.07	15.52	0.0	0.0	0.0	0.0	0.0	1.63	30.45	46.57	43.95	82.39	0.24	1.48	106.06	133.21
Erlec1	0.48	0.21	16.6	0.12	0.11	80.6	56.08	0.08	0.0	1.18	97.45	0.0	15.12	0.0	0.0	0.0	16.84	22.98	12.42	15.4	7.28	0.0	5.51	24.2	21.5
Fam155a	0.0	0.0	0.0	0.0	0.0	26.82	46.21	0.0	0.0	3.57	0.0	0.0	3.12	0.0	0.0	9.93	0.35	37.4	36.26	39.34	130.2	0.93	174.94	13.22	1.83
Fam164a	0.0	251.96	102.14	74.1	0.24	81.0	153.48	0.08	0.09	127.34	209.05	386.6	0.0	152.51	0.14	0.68	262.28	142.59	125.74	128.11	42.12	0.08	0.0	35.01	106.44
Fam19a2	0.0	0.0	90.38	0.0	0.0	44.51	88.51	0.0	0.0	0.0	56.92	0.0	51.28	0.0	0.12	0.0	26.55	0.0	0.41	0.79	0.0	0.0	0.0	0.07	80.9
Fam43a	0.0	0.0	0.0	0.0	0.0	22.4	0.0	0.0	0.1	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	2.23	4.35	3.33	0.0	20.16	0.0	0.1	0.0
Fam73b	0.12	0.0	0.0	0.0	0.0	39.02	45.13	0.0	0.0	0.09	0.0	0.0	0.0	58.01	0.0	0.0	39.76	7.56	4.16	5.53	0.0	0.0	0.0	0.0	0.07
Fbxo44	281.53	0.0	100.23	0.27	271.95	209.16	271.24	158.51	0.2	59.63	117.25	0.0	302.13	288.86	0.0	0.6	50.75	71.21	74.49	64.09	0.0	10.15	184.1	50.89	106.04
Gabra3	84.32	0.0	131.89	0.0	0.21	138.01	125.3	0.03	0.0	82.4	136.17	0.1	5.1	0.41	1.94	2.22	0.45	95.67	70.69	78.82	105.21	83.93	2.11	1.8	56.89
Gabrb2	30.25	214.49	193.61	118.64	0.37	461.48	491.31	0.04	0.04	136.83	237.87	13.66	313.26	175.49	201.94	236.66	91.87	394.32	308.05	311.54	298.79	114.91	448.17	132.67	185.58
Gabrd	0.0	0.0	0.1	0.0	0.0	221.42	159.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	5.29	38.29	32.29	1.38	0.0	0.0	0.0	0.0
Gars	28.97	80.08	21.89	0.18	4.71	105.34	37.17	230.3	0.0	0.67	3.47	17.26	1.67	0.17	4.47	24.73	4.41	20.66	33.94	36.58	86.53	91.62	0.0	0.0	8.77
