	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_74	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51
1700047I17Rik2	58.97	1.48	2.15	1.29	3.54	29.66	13.08	7.94	1.24	24.24	10.75	15.55	5.43	16.29	9.58	12.99	3.78
2610037D02Rik	3.32	0.34	0.0	1.07	0.19	1.43	1.17	0.93	1.46	1.33	0.59	0.82	0.94	0.77	1.47	1.31	1.03
AK129341	52.46	0.0	0.0	0.0	0.0	15.08	3.75	7.26	0.0	16.82	0.0	13.49	0.0	0.0	0.0	55.94	0.0
Amy2a2	0.33	0.0	0.0	0.04	0.0	0.14	0.17	0.18	0.07	0.14	0.07	0.14	0.7	0.23	0.16	0.2	0.09
Amy2a3	0.33	0.0	0.0	0.04	0.0	0.14	0.17	0.18	0.07	0.14	0.07	0.14	0.7	0.23	0.16	0.2	0.09
Amy2a4	0.33	0.0	0.0	0.04	0.0	0.14	0.17	0.18	0.07	0.14	0.07	0.14	0.7	0.23	0.16	0.2	0.09
Atpaf1	45.66	0.0	0.0	0.0	0.0	26.97	10.55	39.44	2.57	13.35	8.32	17.11	0.0	48.02	0.46	84.43	0.5
B3gat2	84.21	0.0	0.0	0.0	0.25	0.0	3.68	13.4	0.0	0.13	0.0	0.19	0.0	0.0	0.0	35.44	0.0
Brca2	12.25	0.0	0.0	0.0	0.0	0.0	3.46	0.3	0.0	0.43	0.07	0.0	0.0	0.0	1.81	9.09	0.0
Chrac1	304.29	60.15	0.0	180.49	0.0	189.24	71.51	143.03	102.55	114.41	202.97	46.56	71.53	65.53	0.0	225.86	214.1
D11Wsu99e	193.97	0.0	0.0	0.0	0.0	0.18	8.69	3.23	1.28	72.33	57.2	92.71	34.24	48.17	22.76	79.16	62.9
Dph5	273.85	80.02	35.06	121.24	62.33	104.11	143.06	140.91	128.56	132.63	119.51	154.51	129.78	125.36	256.55	137.82	158.73
Dram2	304.88	0.13	0.0	112.43	0.0	0.0	49.49	96.46	0.0	0.0	86.7	50.47	44.78	50.53	25.17	263.83	83.9
Dzip1l	91.14	0.0	0.0	3.34	0.0	1.09	15.57	0.16	0.0	0.08	12.12	0.0	0.1	13.35	0.23	95.33	0.06
Fam177a	58.97	1.48	2.15	1.29	3.54	29.66	13.08	7.94	1.24	24.24	10.75	15.55	5.43	16.29	9.58	12.99	3.78
Fam189a2	24.38	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	11.4	0.0	0.0	0.27	0.0
Galc	24.71	0.0	0.0	0.0	2.54	0.26	8.66	8.89	0.1	0.41	4.22	0.22	0.0	14.26	0.14	16.24	0.05
Gbf1	58.82	0.0	0.0	0.0	0.23	0.52	3.78	0.4	0.0	26.52	4.52	8.64	0.0	16.33	28.64	9.13	8.56
Gm12789	3.59	0.0	0.0	1.89	0.0	1.4	0.74	0.0	0.92	2.01	0.0	0.0	1.86	0.55	0.0	1.62	0.24
Gm16197	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.11	0.0
Gtf2b	355.5	0.0	0.0	0.0	99.98	96.34	9.31	51.61	0.31	211.34	110.78	198.56	345.41	221.61	7.51	0.0	151.59
H3f3a	430.63	0.47	0.0	0.0	0.24	12.4	37.91	92.83	142.95	123.35	125.1	208.5	139.73	220.6	76.15	89.62	82.9
Ide	80.96	0.0	0.0	0.2	0.0	15.45	7.63	2.07	15.92	28.53	13.69	23.61	0.0	12.51	5.6	0.0	0.0
Lasp1	43.46	0.0	0.0	0.0	0.0	0.0	0.0	0.19	7.35	1.69	0.0	0.0	0.0	0.77	0.0	40.87	0.0
Ldhb	8138.08	8970.97	2593.67	8204.16	10118.08	10894.4	8574.79	10165.1	11261.44	10004.69	9074.03	13571.31	12546.17	9755.78	11010.48	8330.83	11746.38
March2	46.24	0.0	0.0	0.0	0.0	116.51	0.0	24.97	0.19	7.81	1.45	1.0	52.43	36.73	0.34	0.18	7.36
Osgepl1	113.17	8.19	0.0	0.0	0.0	11.35	49.42	10.0	11.97	34.7	20.76	28.23	46.72	67.62	18.5	41.32	59.33
Patz1	58.56	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.42	8.94	0.0	57.64	68.47	0.0
Polr2a	20.56	0.0	0.0	0.0	0.0	2.04	3.36	7.97	0.0	0.0	1.22	10.28	3.83	10.77	0.37	0.45	0.0
Rabep1	68.0	0.0	0.0	0.0	24.88	3.49	27.58	44.43	33.0	40.06	16.96	1.88	34.51	35.99	2.36	49.21	0.21
Rims2	67.01	0.0	0.0	0.54	0.0	0.0	20.65	6.76	14.17	16.64	27.75	18.57	8.81	39.57	2.73	38.77	19.06
Rnf114	162.72	0.0	0.0	0.0	1.49	0.0	55.85	21.59	65.95	95.74	31.87	85.87	49.99	129.48	50.94	123.52	28.59
Rogdi	1540.46	561.42	0.0	1.49	56.61	126.9	366.04	195.24	191.41	575.21	290.11	308.99	298.7	213.69	76.73	751.07	459.64
Serpine3	6.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	2.68	0.0	0.0	4.92	0.0
Slc17a8	19.59	1.29	0.08	10.4	0.28	6.49	6.92	7.48	11.99	11.32	7.88	8.48	5.5	10.95	14.25	11.41	9.11
Slc20a1	260.31	0.07	0.0	4.9	3.98	22.34	140.42	68.12	86.23	81.74	45.94	109.63	85.02	22.72	75.33	187.76	73.71
Stac2	187.28	0.08	0.0	0.0	0.0	36.59	91.33	54.61	59.41	66.99	44.46	95.0	98.39	117.14	145.18	176.39	62.44
Tigd2	72.56	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	1.32	0.0	5.81	0.14	0.0	0.0	80.76	0.0
Tlr13	0.88	0.12	0.0	0.0	0.0	0.0	0.0	0.16	0.28	0.3	0.0	0.07	0.0	0.11	0.0	0.75	0.28
Usp45	77.72	0.07	0.0	0.0	13.43	11.02	6.71	2.35	0.43	19.84	7.99	17.47	9.21	17.49	15.22	47.76	1.88
Zfp937	110.56	6.81	0.0	8.75	0.64	5.23	10.27	13.59	6.68	5.6	14.91	5.23	5.86	12.24	24.37	58.79	37.18
Zmat1	78.47	0.0	0.0	0.14	43.92	67.49	2.38	0.0	43.53	5.45	2.64	8.52	8.94	0.0	0.0	68.75	0.0
