	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Ntsr1_tdTnegative_cell_54	PvalbF.Gad2_tdTpositive_cell_31	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700008O03Rik	0.0	0.0	0.0	0.0	0.0	0.49	0.65	0.58	0.94	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.1	0.34	1.18	1.59	2.12	1.89	3.0
1700027H10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.82	0.0	0.0	11.89	0.0	0.0	0.21	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.79	0.0	0.0	0.5	0.28	0.62
1700047M11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	2.71	11.7	12.86	12.23
2410021H03Rik	1.9	0.0	0.9	0.17	0.0	0.59	0.0	0.0	86.6	0.23	1.02	2.34	0.33	1.28	0.3	0.52	2.75	0.0	0.39	44.62	0.0	0.0	39.97	0.0	2.61	0.0	0.0	0.28	0.0	1.06	31.07	10.18	0.0	1.33	1.69	1.21	1.03	0.96	9.66	5.7	4.05	6.07
2500004C02Rik	5.8	8.87	5.78	27.0	25.46	11.76	5.38	17.1	204.79	5.04	4.03	30.06	4.2	54.96	17.15	6.13	4.48	36.56	4.15	2.6	6.07	6.55	4.07	8.34	8.27	46.43	5.99	59.9	6.71	39.85	4.2	23.01	14.11	10.76	10.03	3.06	61.42	60.24	46.84	8.75	11.26	8.53
2810046L04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.19	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	5.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	5.36	0.0	0.11	0.0	0.22	0.07	0.0	3.56	1.03	1.6	18.15	16.7	18.41
2810055F11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.14	0.0	0.0	0.0	0.0	0.0	19.92	0.0	0.0	0.0	0.0	1.02	1.03	3.33	2.53	4.22
3110079O15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.95
4930448K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.07	0.0
4930511M11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.29	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.0
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
A430088P11Rik	0.0	0.0	0.08	0.06	0.22	0.0	0.0	0.12	1.07	0.0	0.0	0.04	0.31	0.02	0.06	0.08	0.28	0.0	0.0	0.0	0.2	0.0	0.15	0.0	0.0	0.13	0.0	0.0	0.1	0.0	0.0	0.0	0.11	0.0	0.0	0.12	0.07	0.08	0.0	0.2	0.15	0.2
