	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Cux2_tdTnegative_cell_7	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
0910001L09Rik	0.0	0.33	0.0	0.0	0.0	136.81	132.78	0.0	0.0	0.0	51.92	134.13	155.26	137.77	40.46	60.66	57.27	136.05	71.79	147.92	124.73	157.54	153.44	144.91	132.58	55.31	142.21	0.0	18.92	104.95	87.01	41.71	85.54	134.15	120.17	124.38	66.21	92.59	51.46	82.28	154.16	135.86	206.76	125.23	0.0	164.51	94.37	52.66	67.99	0.21	0.0	0.0	50.48
1700020I14Rik	0.0	140.52	0.0	0.0	0.0	141.94	220.59	0.0	0.0	0.39	188.16	235.74	345.79	256.81	266.72	302.28	125.82	225.23	141.62	406.99	297.51	278.2	197.67	268.64	197.44	410.03	135.41	66.94	98.94	119.85	238.3	63.86	151.03	129.46	152.58	137.18	324.97	317.67	165.77	236.12	308.54	263.24	345.73	203.67	160.81	166.13	318.5	210.18	138.19	0.12	0.0	0.0	263.66
Cdr2l	0.26	13.9	0.0	0.51	0.0	164.56	204.32	0.38	0.73	0.16	131.45	55.88	107.54	77.96	148.19	322.02	167.87	153.84	174.32	225.24	117.57	156.66	245.41	149.22	200.48	358.27	101.09	1.2	127.23	31.93	83.0	101.07	103.58	60.92	114.55	325.85	31.64	100.18	109.79	90.13	41.72	286.34	99.62	143.9	156.43	37.3	169.6	55.59	214.17	0.05	0.71	0.43	128.41
Cops2	107.78	176.42	0.0	0.0	0.0	132.68	194.71	0.0	0.0	60.14	130.88	90.17	100.97	124.34	214.96	188.51	156.37	42.58	180.24	206.78	164.6	181.8	137.24	269.55	231.35	170.79	139.36	63.21	61.37	124.16	52.97	203.4	179.79	117.52	174.98	144.14	181.24	181.08	116.31	132.03	225.67	236.0	52.92	46.96	17.6	0.0	326.87	127.6	81.11	23.73	1.25	0.0	118.06
Dnmt1	0.0	0.05	0.0	0.0	0.0	26.64	39.29	0.0	0.0	0.0	0.26	0.0	14.18	4.72	14.21	25.29	0.0	6.9	2.18	10.12	7.03	1.6	26.19	0.56	24.54	0.44	10.11	0.42	4.59	0.0	7.1	0.23	0.33	0.13	1.08	4.9	24.1	6.18	0.0	0.08	5.8	7.86	3.08	21.16	20.26	0.44	24.23	3.25	0.33	0.0	0.0	0.0	0.0
Dusp7	0.0	0.0	0.0	0.0	0.0	18.02	0.0	0.0	0.28	0.19	0.0	0.0	3.1	2.33	42.08	31.0	0.0	0.0	27.47	34.68	1.26	4.75	0.0	3.34	5.44	0.0	4.47	0.0	2.52	2.84	0.0	29.64	0.0	0.67	0.0	2.03	2.49	1.71	0.0	0.12	0.14	0.0	0.0	2.1	2.08	0.0	2.41	13.8	0.0	0.0	0.0	0.21	0.1
Elavl4	87.92	52.45	0.0	0.0	0.0	307.98	191.17	0.0	0.0	0.47	130.28	133.55	140.18	80.5	228.84	198.31	104.82	273.12	75.15	224.63	90.74	167.25	28.27	162.59	122.87	276.7	237.11	119.7	165.11	71.31	132.26	143.35	117.6	140.62	161.32	94.91	99.06	146.81	46.32	173.82	257.3	165.36	106.4	134.2	108.39	121.67	191.45	163.37	198.77	0.42	0.11	0.0	188.19
Fgf9	0.9	0.0	0.95	1.92	0.24	91.07	98.23	2.73	2.37	2.13	26.73	33.44	31.18	50.67	74.08	111.71	112.26	63.21	77.43	84.64	92.64	96.03	38.09	87.86	98.43	43.11	80.84	86.98	40.51	49.6	9.47	63.82	90.1	192.67	40.85	135.02	134.87	148.24	76.05	83.16	99.15	54.34	140.3	153.02	43.72	137.0	21.88	71.47	29.65	1.64	0.1	0.0	10.01
Gnl3	0.0	25.09	0.0	0.0	15.29	35.01	52.83	0.0	0.0	0.32	80.85	0.13	6.15	25.24	224.3	121.13	71.25	8.47	135.54	117.8	27.17	88.81	4.8	195.38	112.74	286.15	0.49	11.19	34.38	11.84	110.13	58.9	135.11	90.07	79.96	92.38	93.57	102.12	163.37	123.95	97.31	76.02	158.48	0.0	79.52	14.19	26.26	5.48	135.87	0.0	0.0	0.0	5.57
Ldhb	7486.96	8138.08	5404.32	5876.73	5600.23	6832.63	8752.31	4948.76	3963.33	6399.01	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	8217.62	8583.06	9220.91	9343.6	8808.99	6807.49	8620.64	8574.79	10165.1	9166.61	9602.81	11261.44	7829.53	8285.69	6969.49	10004.69	7259.91	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8390.99	7659.83	11010.48	8275.76	10182.84	7739.08	7194.73	9082.37	8111.86	11746.38	3599.45	3719.56	5577.5	7324.1
