	Cux2_tdTpositive_cell_3	Scnn1a.Tg3_tdTpositive_cell_66	Slc17a6_tdTpositive_cell_18
0610009O20Rik	9.7	166.26	0.0
1110004E09Rik	0.0	240.95	0.0
1700025N23Rik	13.11	13.25	13.04
1700094J05Rik	0.0	1.03	0.0
2410089E03Rik	5.79	77.13	2.26
2810002N01Rik	15.24	284.0	13.45
4833420G17Rik	32.37	275.54	44.71
4833442J19Rik	0.0	0.86	0.0
4930405A21Rik	0.0	0.6	0.0
4930455C13Rik	0.0	11.17	0.0
4930471M23Rik	0.0	6.21	0.0
4933422A05Rik	0.0	0.73	0.0
4933432I09Rik	0.0	3.61	0.0
5031426D15Rik	94.08	198.9	65.21
5730590G19Rik	0.0	0.13	0.0
6430573F11Rik	1.9	9.62	0.0
6720489N17Rik	0.08	221.43	2.17
9330159F19Rik	130.55	445.36	59.84
9930013L23Rik	0.0	0.13	0.0
A530065N20	0.34	1.35	0.18
AI593442	3479.06	1718.67	1086.51
Aass	0.0	0.52	0.0
Agap3	0.05	59.09	0.0
Armc9	0.14	138.7	51.76
B020014A21Rik	16.76	21.84	14.71
Baz2b	0.01	69.57	27.43
Bcat1	0.01	121.83	0.0
Bcmo1	1.72	3.74	0.3
Bdp1	21.43	81.51	0.0
Btbd6	0.0	1.47	0.0
C1ra	0.0	2.1	0.0
C230081A13Rik	0.0	0.17	0.0
C5ar1	0.0	0.24	0.0
Ccdc111	0.0	220.07	0.0
Ccdc46	0.0	1.65	0.0
Ccdc57	0.0	166.11	0.0
Ccl27b	2.22	127.63	74.04
Ccne1	0.0	206.98	0.0
Cdnf	0.7	4.05	0.96
Ckap2l	0.0	4.6	0.0
Coil	0.0	18.8	0.0
Cox19	58.44	351.75	0.0
Cpsf3l	0.0	218.26	0.0
Cpsf7	30.6	245.59	0.0
Creb3l3	0.0	0.42	0.0
D530049I02Rik	0.0	1.22	0.0
D930032P07Rik	3.58	22.24	4.77
Dcbld2	0.17	111.22	0.0
Depdc5	21.41	80.65	47.19
Dpep2	0.0	6.63	0.0
Ehd1	0.0	0.3	0.21
Eid1	32.73	113.63	21.0
Ets1	0.0	0.17	0.0
Fam123c	0.32	120.87	0.0
Fam192a	39.76	430.69	0.0
Garnl3	0.06	296.88	0.2
Gfm1	0.0	237.23	0.51
Gm10046	0.0	45.84	0.0
Gm11944	0.0	26.86	0.0
Gm11978	0.0	0.75	0.0
Gm13306	2.22	127.63	74.04
Gm2506	2.22	127.63	74.04
Gm8787	0.0	1.02	0.82
Golga2	0.0	104.49	0.61
Gpr4	0.0	6.68	0.0
Gsdma	0.49	0.7	0.23
Helz	0.0	69.16	0.53
Hemk1	0.05	75.16	0.0
Hivep3	0.0	5.27	0.0
Hspa1a	0.0	0.69	0.0
Ift52	0.05	280.21	3.47
Ift88	0.03	152.57	0.0
Il4	0.0	7.16	0.0
Inpp5a	0.0	109.85	0.24
Ints6	28.25	82.37	3.8
Itpr1	0.58	133.53	36.54
Lpcat1	0.0	17.7	0.0
Lrrc32	0.0	0.25	0.0
Lrrc57	951.17	549.48	0.0
Lysmd3	0.0	187.73	0.0
Map3k6	0.0	45.52	0.0
Mdm4	0.0	183.84	116.69
Mdn1	4.47	68.87	3.06
Mid2	0.0	52.57	0.0
Mitd1	0.0	125.78	0.0
Mitf	0.0	0.21	0.0
Mrpl10	1.29	214.46	1.17
Mtcp1	2.39	150.25	0.0
Myocd	0.0	0.17	0.0
Naa11	0.03	19.71	0.0
Nlrp4g	0.0	72.31	0.0
Nme6	0.0	205.99	0.0
Nnt	0.0	101.59	0.0
Nol8	14.46	171.35	48.79
Npy5r	0.26	232.34	0.0
Nr2e1	0.0	1.04	0.0
Nsun3	0.0	0.68	0.0
Odz4	0.02	64.32	1.97
Osbpl6	1.54	58.34	28.44
Osgep	0.0	56.66	0.0
Pak7	125.34	784.28	2.91
Pcdhga11	0.0	111.9	0.0
Pdk3	0.0	174.58	0.0
Pear1	0.0	0.15	0.0
Phb2	0.0	145.77	0.0
Pla2g15	0.0	194.39	0.0
Prdm15	0.0	0.15	0.0
Prkaa1	0.0	116.91	0.0
Ptar1	0.0	85.68	0.0
Rfxank	1.76	46.56	0.24
Rgs4	4793.66	3013.54	6781.39
Rnf113a1	0.0	222.51	0.0
Rnf26	0.0	89.21	0.0
Rpia	0.0	5.51	0.0
Rspry1	0.0	25.41	18.07
Scd3	3.43	60.99	4.34
Scfd1	0.05	238.94	189.9
Scgb2b1-ps	0.0	2.06	0.0
Sdr9c7	0.0	0.34	0.0
Sema4a	0.0	18.65	0.0
Slain1	0.0	7.4	0.0
Slc25a15	0.0	0.27	0.0
Slc39a13	0.0	64.38	33.86
Slc4a10	90.72	563.87	78.1
Slc6a7	0.0	2.01	0.0
Smtn	0.0	33.14	0.0
Snord52	0.0	104.53	0.0
Spg7	0.24	148.09	7.57
Sri	11.73	209.29	1.86
St6galnac3	10.8	84.41	0.0
Star	0.13	33.49	0.0
Tbc1d9b	0.0	30.51	0.0
Tcf23	0.0	0.23	0.0
Tmed3	0.16	405.72	204.98
Tmem160	0.0	2.49	76.63
Tmem200c	0.0	0.9	0.0
Trpm8	0.0	0.17	0.0
Trpt1	0.0	172.13	0.0
Ube2v2	54.51	295.32	121.26
Uqcc	49.01	311.56	0.25
Zfhx3	0.01	0.07	0.0
Zfp663	0.03	0.58	0.2
