	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_40	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_97	Sst_tdTpositive_cell_24
1700047I17Rik2	7.62	28.15	3.11	3.24	4.07	18.86	1.14	4.9	26.37	4.1	7.45	1.69	17.61	2.98	12.26	1.07	0.32	4.86	13.58	2.52	0.81	2.88	32.16	4.29	16.33	4.87	18.88	13.73	10.39	29.0	1.53	1.34
5730409E04Rik	1.08	1.79	5.65	36.58	138.62	20.13	1.89	70.25	3.35	3.1	112.98	1.08	176.2	16.22	2.92	134.51	1.74	4.33	10.06	2.85	0.99	0.0	69.84	183.01	10.76	6.29	1.45	11.05	21.1	33.46	47.78	3.01
A630089N07Rik	391.42	628.78	552.25	518.8	430.67	655.98	652.53	613.14	693.2	427.97	670.04	311.26	847.85	603.36	154.09	286.44	275.86	410.69	309.4	571.5	477.83	372.41	822.71	579.17	789.97	568.62	469.26	962.43	672.61	947.3	282.63	328.79
A730017L22Rik	239.01	111.26	88.45	92.72	77.07	114.37	193.97	91.0	229.25	102.67	90.04	61.93	172.06	90.66	28.11	51.81	48.54	74.54	35.61	144.07	106.81	74.28	144.88	89.86	169.45	71.74	95.72	180.87	161.51	86.66	50.52	63.68
Amy2a2	0.47	0.29	0.26	0.13	0.14	0.34	0.43	0.37	0.04	0.62	0.04	0.27	1.09	0.15	0.18	0.31	0.16	0.31	0.02	0.14	0.51	0.24	0.16	0.0	0.71	0.08	0.23	0.16	0.29	0.64	0.3	0.03
Amy2a3	0.47	0.29	0.26	0.13	0.14	0.34	0.43	0.37	0.04	0.62	0.04	0.27	1.09	0.15	0.18	0.31	0.16	0.31	0.02	0.14	0.51	0.24	0.16	0.0	0.71	0.08	0.23	0.16	0.29	0.64	0.3	0.03
Amy2a4	0.47	0.29	0.26	0.13	0.14	0.34	0.43	0.37	0.04	0.62	0.04	0.27	1.09	0.15	0.18	0.31	0.16	0.31	0.02	0.14	0.51	0.24	0.16	0.0	0.71	0.08	0.23	0.16	0.29	0.64	0.3	0.03
Arhgef25	2.45	0.3	6.7	1.02	17.32	0.0	1.5	2.34	70.93	0.34	21.33	0.0	82.71	0.37	0.15	1.43	3.25	1.9	0.44	198.85	67.7	0.0	96.77	0.0	70.95	14.45	2.82	30.75	17.64	148.0	0.5	0.0
Atp2a2	255.26	210.93	196.19	210.65	269.76	240.13	538.72	312.86	93.98	271.07	296.44	281.53	269.15	173.08	116.0	25.7	142.17	217.79	172.2	169.28	244.81	235.28	340.44	163.87	521.06	187.65	177.24	960.97	52.34	26.03	102.98	57.35
Birc6	8.5	21.29	34.72	34.13	31.12	7.59	46.04	42.95	45.69	26.91	45.03	31.08	33.57	60.77	10.2	9.58	11.42	30.07	54.93	42.69	30.38	25.09	70.62	12.46	39.67	30.24	16.4	84.31	37.33	89.71	16.7	33.18
Camta1	63.37	58.33	45.34	51.79	138.05	62.26	100.43	12.42	130.94	73.2	185.49	25.75	146.01	132.23	0.0	93.43	123.48	49.19	1.34	66.62	51.33	43.78	83.36	53.97	49.85	72.62	86.77	242.93	55.28	114.9	2.68	76.05
Ccl27b	0.0	43.63	88.08	2.22	7.78	12.68	39.72	54.38	98.78	170.68	32.42	70.05	110.69	128.86	5.88	54.51	79.41	1.96	0.3	8.68	8.55	94.11	352.09	0.0	105.31	106.16	180.86	176.49	127.63	175.52	127.6	0.24
Clip3	259.4	1.36	89.08	151.92	0.62	536.84	73.87	62.68	113.22	192.29	55.63	113.36	263.49	33.66	59.68	11.16	46.07	126.83	61.73	108.71	162.05	72.8	332.25	99.0	197.39	190.78	198.83	378.96	4.08	49.62	43.56	86.11
Cnih3	0.0	16.36	75.03	0.28	62.63	256.7	2.66	0.67	32.2	112.48	26.55	78.59	307.39	130.92	0.18	0.35	0.0	62.36	0.63	27.05	22.36	234.25	319.59	1.89	500.41	2.24	124.27	71.2	1.68	186.6	107.82	13.42
Cpne8	105.8	131.35	185.82	249.54	308.14	352.0	235.4	204.24	188.03	412.68	47.73	62.72	411.52	206.34	2.18	4.5	75.24	51.14	23.17	96.25	31.65	204.64	297.85	21.12	264.81	425.7	428.1	436.45	57.85	501.98	387.36	64.33
Ctla2a	131.7	128.2	124.61	119.31	82.01	96.71	91.34	111.92	130.05	117.27	120.52	59.34	168.7	123.57	35.66	110.61	66.03	70.95	40.09	227.97	104.06	113.17	158.46	151.38	175.9	111.88	114.92	289.45	196.52	154.82	65.05	52.84
D830005E20Rik	52.45	65.8	36.91	65.34	85.41	61.95	98.42	84.78	57.34	116.54	42.95	56.82	152.59	58.65	17.38	47.51	32.3	82.03	19.52	125.79	57.21	44.42	114.55	85.78	111.35	50.5	50.88	126.39	81.88	99.96	23.26	17.69
Dcdc2c	54.65	63.72	130.19	43.7	69.99	24.79	42.19	44.04	88.04	3.36	46.58	52.51	161.76	72.34	11.44	40.33	8.19	60.24	46.65	62.61	47.77	38.69	110.48	3.36	224.21	77.31	94.39	145.06	148.02	113.19	23.33	20.26
Fam177a	7.62	28.15	3.11	3.24	4.07	18.86	1.14	4.9	26.37	4.1	7.45	1.69	17.61	2.98	12.26	1.07	0.32	4.86	13.58	2.52	0.81	2.88	32.16	4.29	16.33	4.87	18.88	13.73	10.39	29.0	1.53	1.34
Gm13306	0.0	43.63	88.08	2.22	7.78	12.68	39.72	54.38	98.78	170.68	32.42	70.05	110.69	128.86	5.88	54.51	79.41	1.96	0.3	8.68	8.55	94.11	352.09	0.0	105.31	106.16	180.86	176.49	127.63	175.52	127.6	0.24
Gm17821	224.09	258.84	261.65	256.71	148.64	321.96	373.27	264.51	325.87	276.66	285.91	134.44	390.72	334.62	98.6	143.82	153.33	197.05	153.87	332.13	227.8	192.26	306.44	300.7	426.7	228.89	216.38	443.13	415.44	399.95	122.06	160.59
Gm2506	0.0	43.63	88.08	2.22	7.78	12.68	39.72	54.38	98.78	170.68	32.42	70.05	110.69	128.86	5.88	54.51	79.41	1.96	0.3	8.68	8.55	94.11	352.09	0.0	105.31	106.16	180.86	176.49	127.63	175.52	127.6	0.24
Grb2	41.43	0.0	0.0	45.19	68.92	23.77	59.85	171.71	20.3	0.0	0.91	25.99	132.09	2.31	0.25	29.02	32.56	17.26	69.26	2.37	75.74	0.0	85.91	0.0	51.78	71.46	3.1	109.25	0.0	17.7	68.7	45.13
Grk4	300.51	462.66	480.79	455.87	220.34	490.32	644.61	400.03	704.86	388.28	474.29	172.09	616.18	468.55	132.9	198.73	226.17	321.66	234.67	552.02	370.34	237.21	558.71	542.81	674.24	444.86	374.68	850.92	537.98	621.1	124.68	292.95
Hnrnpu	141.53	246.69	158.17	102.36	84.96	180.97	204.19	227.19	169.77	169.79	218.16	163.22	319.86	523.34	255.36	212.67	105.99	188.5	44.19	305.1	199.3	41.45	318.32	39.04	525.56	145.06	122.17	424.06	134.67	238.32	189.65	244.82
Kalrn	106.08	51.96	68.14	91.52	58.77	15.33	93.8	10.85	60.04	68.54	54.03	33.44	86.21	89.93	39.57	1.5	1.06	66.75	0.93	72.27	64.98	22.81	95.19	27.28	225.27	96.8	88.17	70.93	94.87	100.24	6.7	12.76
Kcnq1ot1	55.18	64.7	62.38	71.85	36.63	100.68	103.88	78.41	94.58	65.26	69.51	32.34	107.58	88.15	23.24	36.17	38.07	61.17	34.89	77.39	57.24	47.01	73.75	78.23	102.56	63.67	55.96	124.37	97.81	86.43	27.85	42.03
Kif5c	112.59	41.57	64.36	67.79	91.45	83.56	222.03	114.37	76.14	0.85	15.06	11.75	231.94	114.38	29.91	127.77	58.62	34.47	53.7	0.97	143.67	199.65	269.1	142.55	173.2	38.69	4.26	48.55	12.04	1.46	40.68	81.42
Mapk9	0.16	0.0	18.82	60.56	78.48	116.02	3.48	79.44	92.23	50.64	50.34	33.5	49.59	8.38	6.93	26.35	20.21	92.11	0.0	45.78	0.63	104.25	96.64	0.0	51.49	0.05	94.16	8.87	3.68	140.12	0.29	0.18
Myo5a	26.27	105.79	26.87	20.33	71.42	93.64	143.96	67.25	47.03	144.39	82.02	86.25	99.98	77.96	14.7	15.92	4.7	144.8	58.61	36.6	102.23	19.51	151.76	19.88	182.89	39.34	20.24	98.79	77.74	71.64	81.57	36.72
Nsg2	261.51	130.43	232.72	198.07	120.22	400.67	124.1	305.85	40.32	35.57	121.68	72.18	127.33	221.44	56.14	6.5	13.9	164.56	33.67	149.46	133.33	105.07	292.51	42.45	442.76	73.14	202.36	303.87	253.72	183.78	98.56	158.21
Oas3	2.58	3.69	2.4	2.43	4.39	8.07	3.23	6.8	5.79	6.83	1.54	1.75	8.68	3.1	1.35	2.26	1.16	2.77	0.73	8.05	4.15	4.11	5.2	2.5	6.67	4.93	3.24	8.86	5.49	4.94	2.43	2.23
