	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_48	Htr3a_tdTpositive_cell_18	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_96	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310014F07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.3	0.0	0.0	0.0	0.0	0.09	0.25	0.0
2900052N01Rik	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.02	0.11	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.05	0.06	28.86	0.07	0.0	0.0	0.0	25.63	24.14	25.33
4930570G19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67	0.0	32.49	0.0	0.0	21.69	1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	23.6	46.7	0.0	0.0	0.0	16.17	15.12	13.62	16.74
9630013A20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	3.42	3.68	3.88
A930011G23Rik	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35	0.0	0.0	0.06	0.0	0.82	1.08	0.82
A930012L18Rik	0.0	0.0	0.0	0.0	0.0	0.0	7.11	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	28.25	11.27	0.0	0.08	0.37	3.09	2.92	3.61
AI118078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.63	0.0	0.0	0.72	0.0	7.88	8.9	7.25
Als2cl	0.75	0.06	1.46	0.33	0.0	0.87	0.67	1.86	0.14	0.08	0.64	18.34	1.28	0.16	0.21	0.18	0.82	0.87	2.37	0.18	0.16	1.07	1.01	0.0	0.55	0.2	0.16	1.16	0.08	0.84	0.27	0.11	26.7	0.19	0.14	0.92	0.23	6.49	7.6	6.57
B3gat1	26.24	0.0	0.0	25.86	0.0	15.83	0.0	15.59	30.05	0.0	29.68	1.06	27.79	8.65	32.93	35.16	18.65	10.83	54.76	9.39	21.09	19.5	13.13	27.01	19.48	15.37	21.88	13.98	0.0	20.0	0.0	0.0	55.69	0.0	0.14	71.16	0.0	160.08	155.74	161.44
BC025920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.25	0.0	0.0	0.0	0.06	0.0	25.23	0.25	0.0	0.0	0.0	4.36	4.01	4.96
