	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
2810417H13Rik	40.53	0.15	0.0	0.13	0.89	0.0	0.05	0.07	0.0	0.0	0.14	8.67	13.18	23.24	23.61	0.99	0.0	1.22	0.28	0.06	1.04	10.26	0.55	0.46	1.11	0.68	1.04	0.72
A430107O13Rik	304.85	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	2.04
Adcy1	163.6	0.03	0.0	1.05	0.0	0.0	0.0	0.0	0.0	6.41	20.36	19.08	30.55	13.15	40.82	6.84	54.19	16.15	16.45	0.0	15.43	0.0	0.0	13.71	14.38	0.07	224.96	212.91
Aggf1	512.71	0.0	0.0	10.45	0.0	0.0	0.0	0.0	0.0	2.02	12.64	12.91	59.51	0.0	25.73	3.03	53.89	0.17	22.37	0.0	75.53	0.0	0.0	11.76	1.4	0.0	49.99	49.32
Aldh3a2	760.25	0.0	0.0	90.66	0.0	0.0	0.0	0.0	0.0	0.41	6.78	6.0	8.61	81.25	10.51	0.0	0.0	1.24	0.57	24.5	0.47	0.0	0.0	0.0	0.0	0.0	38.73	39.62
Brd4	261.94	0.05	0.0	4.37	0.0	0.0	0.0	0.0	0.0	0.0	21.02	2.07	4.63	14.7	4.96	15.4	0.26	1.02	3.44	0.0	0.53	0.0	0.0	0.03	156.34	0.0	43.58	42.01
Btf3l4	375.57	0.0	0.17	68.22	0.0	0.0	0.0	0.0	0.0	33.64	115.85	130.49	141.15	54.52	87.74	123.26	0.22	63.78	37.86	0.28	0.23	5.2	0.0	219.57	284.9	0.0	64.54	61.48
Ccl24	4.52	0.0	0.41	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.99	1.47	0.28	0.63	0.67	1.27	0.0	0.0	0.56	0.7	0.6	3.03	0.0	0.03	1.11	1.66	0.49	0.08
Cd3e	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.07	0.13
Chchd5	355.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.81	7.12	0.0	68.86	33.96	0.0	18.89	0.0	0.0	0.0	0.0	21.53	0.0	0.0	9.46	9.21
