	Gad2_tdTpositive_cell_31	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700025N23Rik	15.77	17.45	0.0	18.41	0.48	16.91	9.97	3.51	5.33	2.92	21.41	1.67	5.94	0.0	0.0	6.4	17.52	14.55	20.14
1700111N16Rik	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.49	0.42	0.75
4930428E07Rik	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.39	0.0	0.1	0.23
4930444A02Rik	43.68	0.0	0.0	0.0	0.61	0.07	3.5	0.0	0.0	0.0	148.94	0.78	0.0	0.23	0.0	58.47	23.63	25.32	23.94
5031439G07Rik	0.51	0.68	3.9	0.0	22.55	59.38	1.17	107.12	0.0	0.0	353.52	7.41	0.0	0.0	0.0	1.49	59.96	60.35	65.54
Ap1s3	5.26	7.46	4.29	0.96	4.01	2.86	5.18	2.01	2.46	5.28	12.83	1.83	1.47	0.92	0.34	9.12	10.15	9.11	11.48
Armc6	3.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08	0.0	0.0	0.0	0.0	7.08	26.94	31.22	30.24
Atp8a1	198.49	180.75	101.65	2.77	90.95	203.75	107.97	0.0	82.45	356.52	405.96	8.55	25.88	3.99	0.0	43.61	95.39	93.01	98.58
B3gat2	36.49	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.47	0.27	0.0	0.0	0.0	0.34	7.96	8.07	9.18
BC029214	166.77	364.73	46.47	0.0	261.6	247.68	146.79	0.0	0.0	0.0	390.45	0.0	0.0	0.0	0.0	29.01	41.71	43.11	43.4
Bcl2l13	0.97	0.0	0.16	0.0	0.0	0.24	0.13	0.0	0.15	0.0	1.75	0.0	0.0	0.0	0.0	2.35	22.49	21.08	23.5
Btnl2	0.63	0.0	0.23	0.0	0.0	0.09	0.07	0.08	0.0	0.41	0.75	0.0	0.0	0.0	0.0	0.26	0.16	0.08	0.07
C920009B18Rik	2.84	0.34	0.64	0.0	0.43	2.14	0.51	0.16	0.26	0.56	1.99	0.0	1.85	0.0	0.31	0.9	0.66	0.48	0.42
