	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_69	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_75	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_99	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810074P20Rik	0.0	0.0	0.0	0.0	3.89	12.89	0.0	0.0	0.0	117.66	0.0	0.17	0.0	7.84	76.65	111.19	22.65	19.65	21.09
2310044H10Rik	0.0	0.67	0.0	4.62	1.94	2.63	0.83	0.0	19.8	63.74	0.0	2.01	0.0	7.82	37.79	29.73	215.98	240.68	232.45
2700029M09Rik	0.0	1.61	72.15	16.31	38.73	78.38	0.0	0.0	0.0	106.13	32.61	0.0	0.0	67.26	74.61	128.9	50.96	54.49	53.66
4930441O14Rik	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.34	0.32	2.75	2.62	2.62
4930529M08Rik	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.92	1.57
4932415G12Rik	0.0	0.0	0.0	0.0	0.0	9.64	0.0	0.0	0.0	83.04	2.08	0.0	0.0	0.53	0.0	71.04	22.26	22.71	20.89
9430091E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	4.26	0.0	0.0	0.0	0.0	0.0	0.09	3.22	3.05	3.49
A130040M12Rik	0.25	21.36	11.46	13.43	3.14	7.54	6.0	0.31	7.31	41.59	4.16	1.89	16.36	4.61	26.07	5.4	35.33	34.07	33.17
AI429214	0.43	0.31	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.95	0.32	3.3	3.29	3.74
Ankrd40	0.0	0.0	2.52	0.31	0.0	30.0	17.18	0.67	276.66	253.0	0.0	1.49	3.69	0.0	2.68	277.82	97.94	96.8	99.84
Arhgap17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	0.0	0.0	0.0	1.37	0.0	3.4	9.91	10.35	12.26
Bcl11a	77.02	42.63	14.93	0.07	0.0	0.34	0.0	123.92	89.55	196.28	0.0	0.24	43.12	0.0	63.11	133.48	72.47	82.1	71.57
Bsdc1	0.0	0.0	88.81	2.86	0.0	0.0	0.0	0.0	15.87	179.84	0.0	0.0	36.77	0.0	176.61	107.29	50.23	51.49	49.17
Cd33	0.58	0.32	1.24	1.32	1.27	0.22	0.82	1.09	0.33	2.26	0.6	0.57	0.95	0.9	0.76	0.21	5.21	4.81	6.26
Cd4	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.31	0.23	0.49	0.0	0.0	0.0	0.0	0.31	0.05	8.68	8.33	8.41
Clcc1	0.0	0.0	0.0	0.44	30.62	23.82	12.7	0.0	0.0	244.58	0.0	0.0	0.0	0.0	299.73	167.84	24.93	24.74	27.48
Coro1c	0.0	0.0	0.0	0.0	0.0	13.86	0.0	0.0	0.0	201.92	0.0	0.0	0.0	4.8	41.88	116.65	65.37	68.38	64.96
Cp	0.0	0.0	0.0	0.0	0.01	0.11	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.18	8.35	6.22	8.48
Cyth2	0.0	0.0	0.0	0.18	2.83	0.0	12.43	0.0	10.1	81.17	0.0	1.46	29.09	0.0	58.45	0.09	68.24	74.9	71.28
Ddx58	0.0	0.75	0.0	0.25	0.08	0.81	0.27	0.22	0.57	1.21	0.18	0.74	0.0	0.22	0.39	0.84	3.58	2.86	3.2
