	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_27	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Tac2_tdTpositive_cell_8
1110012J17Rik	0.0	0.0	0.0	0.0	0.06	0.69	0.0	19.19	0.0	0.05	7.27	11.22	1.86	0.0	0.96	1.19	0.07	1.81	1.11	0.0	0.0	4.97	0.0	14.06	0.05	9.14	6.01	0.4	0.22	0.1	6.25	6.64	1.2	0.75	7.74	9.52	13.61	5.42	2.16	7.47	0.0	0.0	0.44
1700047I17Rik2	2.15	0.31	0.0	6.31	8.35	15.39	9.28	24.53	29.66	11.16	6.7	4.04	2.38	6.99	21.56	10.97	13.82	12.11	12.74	9.62	13.08	7.94	0.58	24.01	1.24	24.09	10.75	15.55	5.43	1.71	16.29	0.63	44.52	8.62	9.58	0.75	16.38	4.74	6.62	3.78	0.26	6.42	3.65
1810030O07Rik	65.82	3.01	1.24	6.5	18.92	15.14	14.1	74.19	3.09	2.76	2.54	16.89	11.24	34.06	1.74	40.81	15.52	1.66	12.5	33.59	8.7	57.13	90.82	161.78	3.21	4.32	0.57	2.0	16.45	24.03	3.18	62.18	38.42	12.83	62.48	1.08	42.51	63.46	40.31	3.56	2.77	0.24	7.67
9330133O14Rik	0.0	0.0	0.0	0.0	0.0	3.62	0.0	22.1	19.98	10.9	25.48	0.0	0.0	0.0	0.0	0.0	52.7	41.36	0.0	21.75	0.21	19.78	22.96	114.1	0.0	34.47	15.21	0.3	0.0	6.9	0.0	0.0	0.0	30.59	0.0	27.38	0.0	47.95	0.0	1.09	0.0	0.0	0.0
9830132P13	0.23	13.16	9.47	2.97	0.54	1.27	26.4	3.16	3.21	0.78	6.22	2.56	1.2	2.44	4.36	3.11	5.04	2.89	0.65	1.7	3.56	4.16	2.4	7.18	1.39	1.51	1.89	1.22	1.49	1.56	2.51	4.67	2.19	3.36	1.38	2.92	4.21	1.92	1.11	1.39	0.52	0.68	1.78
9930104L06Rik	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.52	43.44	0.74	0.78	0.0	0.0	0.0	2.32	74.62	47.81	0.12	0.0	0.0	18.39	0.0	10.3	0.15	0.0	0.41	0.0	0.0	0.0	0.19	4.26	4.75	0.0	0.66	0.2	0.0
Abcf1	0.0	0.0	0.0	0.0	0.0	43.15	2.36	53.22	9.38	63.64	15.61	5.98	58.64	14.21	86.11	29.51	52.38	5.58	33.7	11.26	30.65	10.28	1.95	92.15	55.58	65.94	30.56	13.63	35.95	51.93	37.04	29.8	53.32	14.88	20.32	9.74	33.76	87.54	46.62	60.4	0.0	0.0	0.41
Acd	0.0	0.0	0.0	0.0	0.0	37.53	0.0	113.9	38.32	94.55	23.15	53.25	77.23	14.88	128.83	0.57	0.39	54.27	99.06	120.37	54.76	30.67	0.0	210.75	15.59	150.49	62.46	198.9	55.26	38.34	74.46	0.3	41.33	0.65	49.07	52.66	91.58	96.04	0.0	54.12	0.0	1.3	12.56
Ap1b1	0.0	0.0	0.0	0.0	0.0	54.05	0.0	24.17	31.97	21.72	11.6	5.03	61.51	21.76	6.48	32.55	113.89	16.88	45.85	52.56	9.7	38.46	86.03	197.4	180.07	11.22	50.83	68.03	30.19	120.91	48.44	8.14	66.09	25.76	53.74	54.99	38.42	52.82	37.88	52.76	7.95	0.0	75.78
Arhgef12	0.0	0.0	0.0	0.26	0.0	6.18	0.0	12.04	10.32	12.44	12.01	24.36	11.51	30.84	11.93	6.08	22.89	43.21	26.89	45.93	12.23	27.62	16.95	26.56	16.1	37.67	21.42	14.29	15.04	15.79	0.53	31.93	16.68	8.96	9.98	11.92	25.63	11.73	11.58	19.61	0.0	0.0	5.13
Cercam	0.0	1.51	0.0	0.81	0.94	0.06	0.96	3.04	0.36	0.46	0.92	0.35	1.25	0.0	0.26	0.29	1.18	2.21	0.26	0.39	0.64	0.0	0.16	8.93	0.3	1.43	0.47	0.1	0.0	7.15	0.3	1.28	2.23	0.49	0.26	0.5	0.62	0.58	0.18	0.25	0.44	0.48	5.69
Cggbp1	0.0	0.0	0.0	0.0	0.0	11.28	0.0	0.16	11.2	0.63	0.0	0.0	10.26	11.07	2.77	0.0	2.87	19.84	25.73	13.18	8.95	17.45	55.63	103.93	8.41	25.24	18.72	7.91	0.0	10.75	0.0	29.05	2.65	1.36	0.0	13.58	0.0	0.0	2.7	0.0	0.0	0.0	27.53
Crlf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	11.15	0.0	0.0	0.0	40.93	37.05	0.0	16.53	10.8	27.4	28.28	0.0	45.38	52.9	0.0	0.0	0.3	0.0	0.0	14.69	0.0	15.2	0.51	37.73	0.0	0.0	0.0	13.48	0.19	69.88	0.0	0.0	0.0
Ddx27	0.0	0.0	7.67	0.14	2.1	47.3	34.86	8.42	0.1	4.79	0.27	31.07	36.82	41.19	28.52	21.93	0.0	62.45	1.57	0.42	24.24	5.27	0.68	115.16	3.47	44.44	22.56	0.0	0.17	2.83	1.47	10.03	1.66	0.36	6.19	82.39	1.45	0.88	0.18	0.62	3.04	0.5	0.53
Ddx46	0.0	0.0	0.45	0.0	0.0	12.36	0.0	21.38	3.33	15.89	7.66	19.24	3.8	7.68	30.24	1.24	65.36	3.69	2.65	17.41	2.08	27.28	0.0	100.03	28.85	0.27	25.3	17.93	8.95	14.95	18.9	2.25	0.49	1.98	6.11	16.51	5.82	0.1	5.28	36.09	0.0	0.0	0.0
Fam177a	2.15	0.31	0.0	6.31	8.35	15.39	9.28	24.53	29.66	11.16	6.7	4.04	2.38	6.99	21.56	10.97	13.82	12.11	12.74	9.62	13.08	7.94	0.58	24.01	1.24	24.09	10.75	15.55	5.43	1.71	16.29	0.63	44.52	8.62	9.58	0.75	16.38	4.74	6.62	3.78	0.26	6.42	3.65
Fbxo21	0.0	0.0	0.0	0.0	0.0	13.43	0.0	18.17	47.5	1.21	10.38	0.0	1.38	0.21	0.0	11.24	4.96	42.8	31.18	20.27	10.63	51.99	55.68	77.26	73.62	0.4	32.53	38.77	40.18	105.59	0.0	36.3	8.8	0.0	0.14	26.0	15.26	29.11	20.33	21.51	0.0	0.0	0.0
Gm14430	0.0	0.0	0.42	0.0	0.0	3.32	0.0	36.04	14.72	31.75	1.87	18.96	26.14	10.3	14.72	6.05	13.5	30.16	14.04	21.99	16.5	13.46	3.22	42.59	3.07	2.82	18.55	13.57	4.08	11.25	0.32	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	2.38	0.0	0.41	8.24
Gm14434	0.0	0.0	0.42	0.0	0.0	3.32	0.0	36.04	14.72	31.75	1.87	18.96	26.14	10.3	14.72	6.05	13.5	30.16	14.04	21.99	16.5	13.46	3.22	42.59	3.07	2.82	18.55	13.57	4.08	11.25	0.32	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	2.38	0.0	0.41	8.24
Gm4724	0.0	0.0	0.42	0.0	0.0	3.32	0.0	36.04	14.72	31.75	1.87	18.96	26.14	10.3	14.72	6.05	13.5	30.16	14.04	21.99	16.5	13.46	3.22	42.59	3.07	2.82	18.55	13.57	4.08	11.25	0.32	9.13	19.5	14.36	0.54	6.88	0.17	14.82	8.34	2.38	0.0	0.41	8.24
Gnb2l1	0.0	0.0	0.0	0.0	41.79	296.58	71.1	134.77	321.39	293.45	211.69	837.65	431.51	334.66	239.63	205.68	263.38	113.94	452.03	370.92	263.04	292.65	333.33	663.78	204.95	211.3	167.35	384.48	252.94	254.34	401.5	178.81	303.29	316.83	154.84	462.99	48.8	193.2	173.75	335.87	0.0	0.0	327.07
