	Calb2_tdTpositive_cell_39	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_56	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_18	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_33	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610039K10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.67	0.75
1110049F12Rik	0.0	0.0	75.09	0.0	1.47	0.0	0.0	0.0	0.0	20.97	0.0	8.73	4.93	0.0	2.24	0.0	0.0	0.0	0.0	120.06	16.3	0.0	0.0	0.45	0.36	11.64	11.83	25.03	30.2	104.01	120.71	111.86
1700001J11Rik	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.08	0.32
1700025F24Rik	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.53	0.59
1700123M08Rik	0.0	0.0	13.68	0.0	0.0	0.0	0.53	0.0	8.64	0.77	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	1.45	0.67	0.34	0.0	3.21	2.48	3.63
1810041L15Rik	0.09	0.0	14.96	0.0	0.02	0.0	0.0	0.0	0.0	0.07	0.07	0.06	0.0	0.07	0.07	0.0	0.06	0.02	0.0	0.16	0.0	0.0	0.05	0.03	0.03	14.15	7.47	11.82	0.28	27.73	26.54	27.94
2700090O03Rik	39.09	0.0	116.22	0.0	0.0	0.0	0.0	0.0	0.0	153.65	0.0	0.0	0.0	0.0	178.57	0.0	0.0	0.0	111.37	0.0	103.64	0.0	0.0	0.0	1.01	67.46	85.26	74.52	1.78	18.23	17.84	16.99
2900076A07Rik	0.0	0.0	116.16	0.0	0.0	92.23	0.0	0.0	0.0	9.73	0.0	0.0	0.0	0.5	0.0	0.0	5.09	0.0	0.0	8.74	6.49	0.0	0.0	0.0	0.0	12.48	10.57	20.49	0.0	8.22	8.53	9.25
4932412H11Rik	0.0	0.0	4.91	0.0	0.0	4.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.23	0.12	0.0	0.17	0.16	0.21
4933403G14Rik	0.0	0.0	110.99	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.48	0.88	0.0	2.55	2.38	3.12
4933427I22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.21	0.73
6030429G01Rik	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.49	1.45
6330549D23Rik	0.0	0.0	14.63	0.0	132.48	0.0	0.0	0.0	0.61	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.0	0.0	0.05	4.65	1.66	6.11	0.0	1.25	0.85	1.82
6720483E21Rik	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.36	0.68	1.02
7630403G23Rik	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19
A730011L01Rik	7.72	3.54	77.68	1.51	3.19	4.13	2.46	5.57	3.31	5.19	2.14	1.2	1.84	3.67	7.59	4.62	6.36	2.68	3.46	5.46	35.6	7.62	2.71	1.86	1.13	3.67	3.19	3.92	6.29	18.35	17.54	19.37
A930007I19Rik	0.0	0.0	39.14	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.37	0.0	0.0	0.78	0.67	0.0	1.43	0.0	2.13	6.41	0.0	0.25	0.6	0.15	1.46	1.06	0.61	1.51
Aass	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	2.83	2.28
Acadm	4.05	0.0	91.92	0.0	0.06	102.25	0.0	0.0	0.0	0.0	39.15	0.06	0.0	0.0	0.0	0.0	0.06	27.66	0.0	0.2	0.0	0.0	0.0	0.0	0.0	31.61	43.91	42.6	0.0	36.44	37.78	34.18
Adat1	41.74	0.39	111.43	2.37	0.07	0.27	0.0	0.0	0.03	0.12	0.14	33.18	0.07	56.53	6.68	0.12	26.46	18.79	0.16	0.0	0.0	0.19	0.0	0.0	0.05	4.6	2.48	1.22	0.48	6.06	6.33	6.29
Akap1	0.0	0.0	80.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.72	1.63	7.8	0.0	0.0	0.0	0.0	0.0	1.94	0.0	0.0	25.27	63.47	4.3	2.85	6.4	9.64	33.56	35.31	33.31
Akap7	0.34	0.0	144.81	0.0	0.18	5.44	31.1	0.95	0.0	171.21	0.38	0.22	105.15	15.36	8.68	0.0	0.16	0.19	0.1	28.41	0.0	0.0	0.88	0.23	0.04	29.09	35.61	43.0	3.76	30.01	28.77	29.61
Aldh1l1	0.0	0.0	85.12	0.0	0.0	56.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.91	0.16	0.0	0.0	0.0	0.44	0.4	7.14	11.8	8.31	0.0	46.0	45.71	48.38
Ap3m1	0.0	69.85	193.44	0.09	0.14	22.55	0.0	0.0	0.0	60.02	0.1	0.0	230.21	0.09	119.59	0.0	0.0	13.86	65.92	83.48	0.0	0.0	0.0	0.31	0.18	78.78	50.85	44.69	35.16	30.19	28.27	27.81
Arhgef19	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	10.14	12.76	14.65
Arsk	0.0	0.0	15.78	0.0	0.0	0.0	0.0	0.0	128.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.04	5.92	3.37	1.32	5.62	4.7	4.66	4.25
Atf7	1.96	0.96	47.57	0.14	0.18	0.32	0.35	0.43	1.44	2.77	2.21	1.1	1.1	0.71	2.25	0.0	0.28	13.76	0.54	0.18	0.79	0.48	0.3	0.0	0.0	3.85	3.82	2.47	0.84	7.93	6.76	9.06
B4galnt4	2.04	0.0	44.46	0.0	0.07	2.51	0.0	0.0	0.0	0.0	0.0	0.26	49.02	38.07	18.07	0.0	19.17	1.67	21.74	0.04	0.0	0.0	0.09	1.22	0.09	3.55	5.97	4.02	0.0	59.99	69.88	63.3
Bad	0.0	35.18	208.32	0.0	37.46	3.74	0.0	0.0	0.0	78.3	0.3	32.85	0.0	0.29	24.92	0.0	0.08	28.61	6.23	0.17	0.0	0.0	74.08	0.36	65.85	40.86	56.53	41.45	46.57	28.0	28.27	29.04
Brap	12.6	0.13	58.61	0.0	14.55	6.27	0.15	0.0	0.0	9.11	0.0	11.04	0.07	0.11	5.78	0.0	8.16	4.51	18.6	6.22	0.47	15.38	10.67	67.79	2.55	4.32	5.72	5.58	3.74	39.73	39.84	40.7
Bspry	0.0	0.0	37.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.7	0.71
C130050O18Rik	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.75	0.61
