	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110065P20Rik	0.0	0.0	0.0	0.0	0.0	0.0	21.57	6.01	0.0	0.0	4.51	0.0	0.0	0.0	0.0	28.5	0.0	0.0	0.51	27.52	0.6	2.25	0.0	0.84	5.1	15.81	51.85	27.44	11.51	12.7	29.7	0.0	0.0	0.0	19.5	33.7	0.0	0.0	61.88	75.89	73.29
1700121L16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.74	0.38
3010026O09Rik	0.0	0.0	0.0	0.0	0.0	0.0	20.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.62	0.65	0.0	39.92	0.68	51.19	0.0	66.2	139.05	0.0	64.7	143.09	2.03	73.5	0.0	35.85	0.0	0.0	0.0	45.25	19.77	0.0	0.0	13.24	19.78	17.67
3200001D21Rik	0.0	0.0	0.0	0.23	0.0	0.12	3.51	0.0	0.21	0.0	5.43	0.23	0.2	0.0	0.0	8.37	0.0	8.32	7.01	0.16	2.3	0.0	8.15	0.0	0.34	0.87	11.08	5.11	0.17	5.08	0.0	0.22	0.16	8.23	3.9	0.0	0.09	0.0	1.31	0.91	0.76
Acsl5	0.0	0.0	29.75	0.0	0.0	0.0	23.62	6.62	0.0	0.0	1.64	0.0	0.0	0.22	8.49	0.68	17.88	45.63	0.0	37.22	26.87	1.37	23.02	39.59	38.44	0.7	126.61	47.62	5.69	11.19	2.46	37.28	1.27	59.41	0.0	34.48	9.11	0.0	57.38	59.45	53.79
Arid1a	0.0	0.0	9.03	0.0	14.84	50.11	16.54	15.67	9.91	0.0	0.0	0.0	4.81	0.13	0.36	66.59	3.36	0.03	8.2	19.87	38.29	0.0	28.06	17.92	6.58	14.48	34.79	4.04	14.33	13.52	16.26	0.44	14.34	31.64	14.82	16.93	17.48	0.05	46.53	44.83	50.74
Asxl3	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.32	1.87	0.0	0.0	6.91	2.81	7.67	9.65	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.62	3.28	0.0	8.47	0.0	0.0	0.03	0.0	3.09	0.0	0.76	5.3	0.0	0.0	0.0	3.54	3.53	4.61
C920021L13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.56	0.0	0.38	0.0	0.0	60.3	0.0	0.0	1.68	0.0	0.0	0.0	0.26	0.0	0.0	14.86	13.72	0.0	24.43	1.03	0.0	0.0	0.46	0.03	0.86	0.0	0.0	0.0	0.0	0.0	1.35	1.61	1.15
Cacna2d2	0.0	0.0	0.0	0.0	0.06	0.05	7.6	0.09	0.34	10.03	0.7	0.0	2.39	0.0	7.42	8.0	5.88	2.19	8.82	3.9	4.37	0.77	0.41	16.11	4.53	6.88	8.85	8.07	24.05	4.14	2.51	3.45	8.55	2.93	6.81	5.5	2.37	0.0	25.53	24.2	26.92
Cbx8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.71	89.05	0.0	16.23	10.1	29.92	46.98	13.85	0.0	0.0	0.0	2.85	0.0	0.0	0.0	0.0	42.3	0.0	0.0	18.02	16.36	15.88
Ccdc159	0.0	0.0	0.0	0.0	0.0	0.0	37.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.32	0.0	0.0	0.0	14.82	0.0	0.0	0.0	0.0	0.0	0.0	60.25	56.23	0.0	0.0	0.0	0.0	0.0	0.0	41.88	0.0	0.0	0.0	15.65	17.8	15.3
Ccl27b	0.0	0.54	0.0	0.0	2.09	0.0	1.67	0.0	6.15	1.08	0.0	24.17	0.0	0.0	3.31	0.76	0.0	0.0	2.62	1.92	4.77	8.14	0.0	0.0	0.0	0.26	0.99	2.37	2.94	0.0	0.0	0.0	4.94	0.74	2.17	0.0	9.34	0.0	30.63	28.29	22.96
