	Calb2_tdTpositive_cell_27	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_76	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_24	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
5730455P16Rik	0.57	30.64	43.66	52.78	0.0	10.0	86.91	65.74	59.91	0.15	0.0	8.21	33.88	43.24	53.4	114.94	22.04	18.52	0.72	84.5	66.92	0.23	1.14	78.73	0.63	44.8	31.76	49.1	21.64	122.36	0.43	0.42	28.63	0.0	30.76	8.66	54.64
9230114K14Rik	3.63	2.17	2.88	2.61	0.0	5.88	23.9	2.96	4.06	2.18	1.45	2.71	4.84	38.38	17.21	1.75	2.04	22.84	1.34	62.97	22.03	1.6	26.3	3.55	1.14	11.55	18.09	3.96	0.6	7.25	2.17	1.89	29.54	3.26	2.29	2.06	4.66
Akap7	0.0	0.0	28.84	42.06	0.65	0.28	70.7	31.07	16.96	0.48	0.3	26.45	41.92	38.38	39.71	55.06	63.95	16.54	0.0	48.1	64.33	0.0	25.56	16.37	0.23	43.03	25.51	102.89	44.41	127.72	10.11	1.75	99.39	0.14	20.62	0.08	0.94
Arhgap26	0.0	58.83	19.32	119.47	0.0	1.19	38.2	56.17	50.73	0.04	72.63	18.42	4.41	8.14	57.71	0.7	21.63	98.31	0.05	116.83	35.18	0.0	85.23	36.25	2.39	36.26	34.95	100.97	57.8	18.34	1.62	1.14	22.31	23.4	13.58	26.55	58.99
Atg12	0.0	1.04	65.73	150.25	0.0	0.0	0.26	103.01	0.0	0.0	0.0	38.3	3.78	0.0	0.0	5.51	0.0	77.24	0.0	157.73	3.67	0.0	207.86	13.25	0.0	107.7	74.87	197.12	23.69	82.26	0.0	39.95	87.28	0.18	9.41	26.36	105.41
Cacna1e	0.0	73.21	30.1	82.01	0.0	12.35	80.08	102.75	48.36	0.08	52.02	15.5	7.74	12.65	36.05	18.03	14.62	32.49	0.0	24.39	45.56	0.0	43.48	46.37	0.1	12.11	13.43	14.12	12.2	37.3	0.2	0.26	8.71	19.56	11.51	4.16	30.99
Ccl27b	0.0	0.59	119.29	39.7	0.0	5.27	71.72	14.78	0.29	0.0	5.88	310.16	318.99	272.53	188.03	85.18	178.93	211.15	0.0	125.6	118.89	0.0	150.83	4.89	0.0	54.7	75.81	138.81	91.35	100.7	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Ccs	0.0	0.0	264.82	215.74	0.0	0.0	81.55	0.0	0.0	0.35	28.36	143.46	0.73	133.33	0.38	328.48	168.13	213.03	0.0	103.65	0.0	0.0	1.72	0.0	0.0	100.4	66.65	219.34	129.12	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.24
Commd1	0.0	85.83	12.85	48.42	0.0	0.0	121.54	0.0	114.8	0.0	0.0	147.09	0.32	166.37	57.37	0.0	0.0	72.11	0.0	172.68	136.93	0.0	154.12	125.23	0.0	79.47	72.1	95.95	0.0	318.45	0.0	77.81	4.58	0.0	180.62	0.0	102.5
Cspp1	10.47	0.0	78.19	45.1	0.0	0.0	29.26	17.13	0.0	0.0	1.8	15.47	24.56	49.03	30.5	3.37	16.53	30.01	0.0	72.3	1.35	0.0	0.0	11.42	74.97	29.62	13.37	24.49	15.89	31.65	23.38	30.03	3.58	5.62	0.0	0.33	27.2
