	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_51	Cux2_tdTnegative_cell_16	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_43
1500003O03Rik	114.83	152.22	230.13	300.76	47.12	176.45	0.0	175.58	0.59	0.0	0.24	0.0	0.0	3.37	0.29	96.16	343.99	47.63	6.0	175.82	29.84	224.36	187.29	689.12
3110035E14Rik	0.0	67.8	295.42	0.22	184.44	433.22	0.12	348.93	191.09	0.15	0.0	0.0	0.0	0.0	0.0	440.96	191.17	433.43	753.91	98.22	447.07	300.85	241.36	865.09
6720456B07Rik	297.03	614.44	464.01	1108.71	1529.44	874.46	19.35	1509.56	1473.94	1.57	656.8	404.11	78.61	688.91	1338.18	1585.84	1747.37	1114.89	1649.37	1720.93	1110.14	1244.28	1444.7	446.35
A830018L16Rik	0.32	1.39	0.34	55.62	77.24	4.12	0.51	171.07	125.32	0.51	1.79	0.0	0.09	60.85	82.48	109.13	2.52	126.38	14.34	32.22	17.32	28.55	20.08	112.69
Adam23	59.58	3.63	4.72	14.51	26.42	23.53	0.45	53.49	21.63	0.04	0.0	0.0	4.03	10.85	0.0	34.1	7.26	45.95	50.37	41.04	5.96	32.63	5.66	15.18
Aldh3a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.83	84.8	310.36	0.0	0.0	0.0	107.47	0.0	0.25
Arhgap25	0.0	26.47	0.0	0.0	0.76	76.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	169.88	0.0	0.0	0.0	108.98	108.91	0.0	0.1	0.0
Arhgap44	726.12	272.43	88.25	462.32	140.99	226.87	0.0	774.04	436.99	0.0	0.0	0.0	0.0	373.46	51.77	402.01	441.54	273.95	86.98	120.25	122.42	161.61	153.63	178.46
Atp2b1	0.18	101.22	269.64	262.04	641.96	517.74	0.05	416.76	474.79	68.57	0.0	0.0	2.44	241.51	135.13	431.08	364.75	600.3	488.35	405.62	382.14	289.35	488.69	553.46
Atp6ap1l	0.0	51.08	266.23	0.0	1.95	0.31	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	120.67	154.62	10.46	401.15	138.19	8.82	308.87	94.45	0.0
B3galt2	20.0	0.0	0.0	86.52	81.9	142.02	0.0	151.49	318.46	0.0	32.48	0.0	0.0	117.5	116.2	186.72	51.96	32.69	96.71	10.36	123.33	50.66	112.88	50.02
Bcl11b	0.25	0.0	0.09	0.72	0.11	0.86	0.0	1.01	28.47	0.0	0.0	0.0	0.0	24.77	30.24	0.22	10.2	2.36	28.83	19.26	5.96	2.37	3.43	0.0
Ccl27b	0.0	19.36	9.53	352.63	318.99	85.18	0.0	279.74	364.23	0.0	0.0	0.0	0.0	144.42	30.14	100.7	111.82	319.12	80.83	235.31	83.58	97.07	149.77	95.77
Cdh18	69.1	45.19	0.0	14.94	83.76	0.0	0.0	0.41	132.47	0.0	0.0	0.0	0.0	0.0	0.0	142.37	151.31	0.0	193.19	359.78	0.0	182.25	1.58	1.27
Col5a1	0.0	0.0	0.0	0.0	0.03	0.0	0.04	0.0	2.73	0.0	0.0	0.0	0.0	0.0	0.0	22.62	2.54	0.0	0.07	0.0	8.24	3.78	0.0	0.0
Crym	0.0	1.89	0.0	339.75	476.57	381.18	0.0	34.9	527.21	0.0	0.0	0.0	0.0	48.35	1324.79	432.96	659.39	472.94	8.55	1020.45	594.42	567.76	614.16	265.06
Ctxn1	0.0	42.59	7.75	1.47	8.28	41.53	0.0	492.87	57.63	0.2	0.0	0.0	0.0	167.29	45.35	392.59	91.08	140.43	25.22	20.36	331.74	166.46	114.08	73.73
