	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_40	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110007C09Rik	0.0	0.0	0.0	11.17	14.82	14.28
1700012D01Rik	0.0	0.0	0.0	1.48	3.07	1.99
2210411K11Rik	0.0	0.0	0.0	3.26	3.81	4.05
2610002D18Rik	0.0	0.0	0.0	0.16	0.59	0.33
2610305D13Rik	0.0	0.0	0.0	0.69	0.55	0.78
2700081O15Rik	0.0	0.0	0.0	25.18	28.18	27.6
2810403D21Rik	0.0	0.0	0.0	1.42	1.46	1.35
4930528A17Rik	0.0	0.0	0.0	0.53	0.42	0.78
4931409K22Rik	0.0	0.0	0.0	0.15	0.1	0.07
5730590G19Rik	0.0	0.0	0.0	0.1	0.13	0.04
AF366264	0.0	0.0	0.0	0.12	0.04	0.08
Aatk	0.85	0.22	0.0	135.38	148.21	152.53
Adamts18	0.0	0.0	0.0	1.21	1.16	1.46
Anxa2	0.0	0.0	0.0	12.81	15.09	14.73
Arhgap11a	0.0	0.0	0.0	2.09	2.23	2.25
Arr3	0.0	0.0	0.0	1.72	1.73	1.67
Asb4	0.0	0.0	0.0	0.51	0.4	0.71
Asnsd1	0.0	0.0	0.0	18.37	17.31	18.42
B430319G15Rik	0.0	0.0	0.0	0.52	0.55	0.8
C130036L24Rik	3.28	4.92	3.29	7.17	5.13	8.21
Cav1	0.0	0.0	0.0	13.92	13.43	13.49
Ccdc63	0.0	0.0	0.0	0.09	0.24	0.09
Ccdc88b	0.0	0.0	0.0	2.13	2.33	2.72
Cd302	6.96	0.0	0.0	20.34	20.26	17.21
Cenpj	0.0	0.0	1.36	1.93	1.67	1.63
Chrna7	0.0	0.0	0.0	18.39	17.95	19.57
Cited2	12.41	9.06	0.0	35.27	41.04	41.45
Clec3b	0.0	0.0	0.0	3.77	4.61	3.89
Clic1	0.0	0.0	0.0	16.83	17.0	17.82
Col16a1	0.0	0.0	0.0	10.68	11.69	12.54
Ctsc	0.0	0.0	0.0	5.52	5.12	5.08
Dnahc1	0.0	0.0	0.0	2.01	2.2	2.67
Dnajc25	0.0	0.0	0.0	5.22	3.74	3.48
Dram1	0.0	0.0	0.0	1.09	1.26	1.02
Dusp18	0.0	0.11	0.0	21.49	19.46	19.77
Eid2b	0.0	0.0	0.0	30.75	29.76	32.85
Ep400	5.69	0.05	0.11	26.54	25.34	29.25
Fam166a	0.0	0.0	0.0	0.55	0.17	0.38
Fam183b	0.0	0.0	0.0	3.34	4.89	3.25
Fam59b	0.0	0.0	0.0	9.6	9.25	9.73
Fcgrt	0.0	0.0	0.0	19.2	21.51	21.32
Fhod3	0.12	0.0	0.0	31.94	31.54	32.71
Fzd10	0.0	0.0	0.0	1.85	1.52	1.87
Gata3	0.0	0.0	0.0	0.03	0.03	0.04
Ggta1	0.0	0.0	0.0	2.8	2.79	3.71
Gm1661	0.0	0.0	0.0	0.43	0.51	0.17
Gm5592	0.0	0.0	0.0	0.08	0.07	0.19
Gpr173	0.0	0.0	0.0	10.2	9.13	9.96
Grasp	0.0	0.0	0.0	56.53	56.36	55.65
Htr1a	0.0	0.0	0.0	14.68	13.16	13.87
Htr6	0.0	0.0	0.0	6.9	7.2	6.67
Ift57	0.0	0.0	0.0	40.44	36.93	39.25
Igfn1	0.0	0.0	0.0	11.87	10.28	14.05
Ildr2	0.0	0.07	0.0	58.19	53.49	59.1
Inf2	0.0	0.0	0.0	111.53	108.63	119.77
Itpr3	0.0	0.0	0.0	2.23	1.99	1.86
Jakmip3	10.82	0.0	0.0	24.21	24.15	24.07
Kif18a	0.0	0.0	0.0	0.47	0.61	0.63
Klhl15	0.0	0.0	0.0	7.14	6.45	6.07
Laptm5	0.0	0.0	0.0	35.37	36.46	36.13
Lhx8	0.0	0.0	0.0	2.86	1.8	2.8
Lmtk3	0.0	0.0	0.0	112.57	125.74	129.11
Map3k15	0.0	0.0	0.0	0.85	1.08	1.14
Max	41.87	0.0	11.58	57.53	59.66	53.42
Mcm3	0.0	0.0	0.0	2.12	2.48	2.26
Mgst1	0.0	0.0	0.0	14.72	16.09	9.98
Mmp19	0.0	0.11	0.11	0.89	0.61	0.37
Mov10	0.0	0.0	0.0	7.3	7.37	7.81
Mxd1	0.0	0.0	2.41	17.64	17.74	15.25
Myl9	0.0	0.0	0.0	24.78	24.37	22.0
Nalcn	21.9	16.07	10.11	54.76	51.66	50.51
Ndor1	0.12	0.0	1.05	20.14	19.31	22.51
Nfxl1	0.0	0.0	0.16	7.5	8.4	7.55
Nnat	0.0	0.0	0.0	263.05	306.83	281.49
Nptx1	0.0	0.0	0.0	195.59	193.13	194.22
Oma1	2.77	0.31	0.0	8.67	6.53	6.26
Parp8	0.0	4.79	0.0	16.76	16.19	16.46
Pask	0.0	0.0	0.92	1.95	2.18	1.92
Pik3cg	0.0	0.0	0.0	1.43	1.61	2.01
Plac9	0.0	0.0	0.0	13.87	14.17	12.86
Prr12	0.0	0.0	0.0	24.08	25.31	25.2
Prr18	0.0	0.0	0.0	36.8	41.57	40.88
Rac3	0.0	0.0	0.0	27.49	35.31	32.14
Rnase6	0.0	0.0	0.0	0.66	0.18	0.49
S100a10	0.0	0.0	0.0	45.64	48.16	42.44
Serpinb6b	0.0	0.0	0.0	2.05	1.52	0.88
Shank1	8.55	10.16	9.23	148.7	139.9	181.16
Slc17a6	0.0	0.0	0.0	19.38	16.38	18.73
Slc9a5	0.0	0.0	0.0	20.29	18.25	19.37
Smad5	0.0	0.0	0.0	17.72	16.72	16.48
Spc25	0.0	0.0	0.0	0.52	1.05	1.61
Tbr1	0.0	0.0	0.0	79.44	81.98	78.39
Tdgf1	0.0	0.0	0.0	0.57	0.39	0.8
Tmem45b	1.89	2.49	0.96	4.36	3.16	4.63
Triobp	0.0	0.12	0.54	7.46	6.29	6.73
Tslp	0.0	0.0	0.0	0.09	0.17	0.09
Vamp8	0.0	0.0	0.0	14.16	12.12	12.34
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Zfp518b	3.66	0.0	0.09	8.11	7.78	8.32
Zfp821	0.0	0.28	0.0	35.66	38.22	37.84
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	22.08	9032.87	8417.95	8583.15
