	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_37	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1500009C09Rik	0.0	60.41	0.0	0.89	0.0	0.0	0.0	5.67	81.88	70.21	0.0	117.57	101.97	0.0	39.1	0.0	0.11	0.0	0.0	0.0	0.79	0.0	1.18	0.0	0.0	0.0	27.97	70.48	0.0	33.18	127.68	103.5	85.58	0.12	0.0	0.89	25.75	27.34	17.21	11.72	19.32	99.07	105.17
5730508B09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.34	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.2	0.0	0.0	0.0	0.09	0.0	7.66	1.89	5.01	1.76	7.4	5.56
A230050P20Rik	0.0	2.52	0.56	0.33	1.44	0.93	8.5	4.75	2.69	2.14	3.96	0.0	1.07	6.44	21.57	5.05	5.22	8.9	0.0	0.5	5.05	0.44	2.92	40.98	5.93	0.86	58.67	3.46	0.95	1.63	12.48	29.52	25.63	1.69	0.0	3.39	8.02	8.68	6.41	12.53	10.94	64.45	70.84
AI480653	0.0	18.25	0.03	129.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.03	0.0	0.0	0.21	105.45	80.33	0.0	0.0	106.81	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.0	119.9	3.92	48.03	0.0	0.0	5.96	5.62	5.08	7.39	6.55	21.82	22.85
Abl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.21	0.0	0.0	53.61	0.0	0.02	0.03	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.27	0.0	0.0	65.93	0.02	0.0	0.0	0.07	0.0	2.61	0.1	0.12	2.25	27.23	27.98
Ache	0.0	0.0	6.35	0.0	8.18	0.76	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.05	1.29	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	4.59	0.0	0.0	0.0	0.0	0.05	47.34	0.31	0.0	0.0	11.35	15.75	0.23	3.85	5.23	2.88	55.65	63.55
Afg3l2	0.0	3.35	0.0	0.0	0.0	0.0	0.0	6.33	46.77	0.13	2.59	0.0	58.13	0.0	0.03	4.45	0.0	0.0	0.21	35.18	4.07	27.1	29.83	41.93	6.43	0.0	1.66	0.0	20.22	7.47	0.59	93.3	6.33	0.0	0.0	8.57	28.67	9.42	21.51	16.95	11.44	75.78	70.05
Agpat5	0.0	28.23	0.0	0.0	0.0	0.0	0.22	0.0	3.03	0.0	36.21	0.0	0.0	0.16	34.11	0.05	128.08	0.17	0.0	0.0	2.16	0.0	0.12	0.16	73.33	0.0	0.0	0.17	0.0	0.0	0.03	152.81	0.17	0.0	36.28	1.13	4.47	8.46	10.84	9.66	5.58	30.53	29.34
Aldh2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.39	0.0	47.94	0.04	0.07	0.0	0.0	0.18	0.0	0.0	0.0	0.0	1.5	0.0	0.19	0.0	0.0	0.0	0.0	11.47	0.0	0.0	0.0	0.0	1.91	0.67	0.68	2.35	1.11	74.65	73.82
Aldh9a1	0.0	65.61	123.43	0.0	0.0	0.0	0.15	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	93.78	0.0	0.0	0.16	2.22	0.0	0.14	53.4	0.0	0.0	0.0	0.0	126.12	0.0	0.11	0.0	0.0	2.01	5.08	1.68	2.53	6.86	23.88	24.6
Ankrd50	0.0	35.1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	0.0	9.64	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.06	19.8	0.0	0.0	91.94	0.0	3.82	1.22	0.03	0.06	0.3	5.35	1.73	4.06	20.09	18.87
Arid1b	10.85	4.78	5.87	10.13	6.01	6.52	15.59	31.39	4.86	7.78	41.33	19.14	23.21	37.96	23.91	5.32	18.97	1.57	11.87	3.16	2.07	7.4	40.74	2.96	6.28	24.26	13.26	6.55	7.51	5.6	13.22	76.17	11.03	2.39	5.3	8.88	6.83	7.46	14.58	9.06	10.59	20.92	20.89
B630005N14Rik	2.94	1.49	0.29	2.5	0.73	2.11	0.52	50.8	0.0	0.0	68.37	0.08	6.74	0.0	12.85	0.0	0.27	0.31	0.0	0.0	0.14	1.0	0.63	15.56	66.94	0.0	70.18	50.94	0.13	222.89	1.58	181.9	0.17	0.21	0.0	0.1	8.63	12.01	16.16	9.75	8.99	23.16	21.74
BC057079	0.92	10.39	0.02	79.63	0.0	89.19	0.0	19.34	43.4	0.0	61.49	0.0	0.07	0.0	3.84	0.0	31.79	33.06	0.0	1.14	0.1	0.0	0.0	0.0	0.56	0.0	12.05	10.39	0.0	0.0	7.69	51.64	0.56	0.5	0.66	0.0	6.34	6.74	9.41	8.75	9.18	22.29	21.25
Bahcc1	0.0	0.01	0.03	0.0	0.06	0.0	0.0	0.79	0.0	30.95	3.01	0.0	0.0	0.0	0.01	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.54	0.0	0.22	0.03	0.0	0.0	0.0	0.36	0.03	0.22	8.31	8.54
Basp1	5.1	99.56	81.12	102.8	4.0	121.53	40.62	82.23	25.62	43.73	36.45	1.28	85.74	62.67	94.83	54.22	95.88	17.22	120.11	101.84	55.08	163.98	61.53	42.21	119.85	60.81	111.93	112.46	42.78	5.16	68.6	208.81	79.73	56.16	58.59	60.28	95.05	71.48	91.91	88.09	90.8	481.54	530.49
Cadps	25.69	27.97	11.75	5.01	21.59	80.28	50.99	118.42	33.57	0.21	13.63	13.45	125.7	19.71	153.29	16.37	91.7	74.42	58.22	24.87	4.63	16.55	0.0	0.34	25.35	22.66	111.98	21.35	0.0	88.96	24.73	114.71	7.44	4.07	0.0	1.06	36.99	34.83	55.6	45.15	43.48	144.91	144.37
Casp9	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	26.3	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	7.54	0.25	0.0	0.0	0.0	0.0	0.11	94.37	0.06	0.08	0.0	0.03	3.06	2.9	5.25	2.37	3.01	17.48	18.58
Cbx4	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.66	0.0	0.0	1.55	0.02	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.92	0.0	21.4	0.26	0.0	0.0	0.0	2.34	0.14	0.74	1.31	1.92	25.49	29.41
Cyc1	0.66	0.0	0.09	0.0	0.0	12.27	2.98	0.81	0.63	0.0	0.38	0.0	36.01	0.54	7.74	0.53	126.12	4.16	0.28	10.13	0.0	0.0	189.08	0.0	19.8	15.88	51.64	3.47	0.0	2.45	1.28	151.51	4.55	0.0	0.0	116.13	22.24	21.54	27.01	37.35	30.21	244.01	261.44
Cyth2	0.0	0.06	0.0	8.65	0.0	0.0	0.0	0.0	0.0	2.83	0.0	0.0	0.17	0.25	0.04	0.0	0.0	12.65	6.92	0.62	15.8	27.99	0.0	32.21	0.0	0.0	21.12	0.0	0.0	0.0	0.04	77.91	0.0	0.0	0.0	3.35	4.52	3.16	10.53	16.78	16.93	68.24	74.9
Dnajc6	407.04	10.94	10.28	42.37	2.6	5.15	53.5	106.49	119.34	30.75	17.92	31.39	30.94	99.11	158.87	84.25	139.34	43.14	0.0	24.84	2.17	240.71	48.99	75.32	88.81	96.07	108.85	40.55	124.6	0.0	5.2	127.65	198.01	59.53	0.0	60.73	42.92	37.3	55.37	43.52	55.19	167.5	165.18
Exoc3l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.69	0.0	0.0	0.0	7.91	0.0	0.0	0.0	0.0	0.0	0.0	29.14	0.0	0.0	0.0	0.0	1.08	0.2	0.0	0.28	1.81	3.17	3.26
Fam102b	0.0	0.01	0.0	0.0	0.0	0.0	0.15	0.03	0.0	0.0	0.0	0.0	0.07	0.0	1.76	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	15.74	1.82	0.07	0.05	0.0	0.0	0.02	37.52	0.04	0.03	0.0	0.12	14.35	4.02	5.38	5.61	6.38	29.65	28.06
Fscn1	4.6	40.04	0.0	10.89	0.0	0.62	0.32	24.45	101.5	85.88	15.75	0.0	9.59	33.3	4.65	3.16	21.07	0.0	1.36	3.98	31.46	1.04	5.11	1.18	19.72	0.19	13.8	0.12	15.72	0.0	39.3	93.55	5.31	11.44	0.4	0.66	6.08	12.13	7.72	9.17	7.3	187.25	206.18
Gapdhs	0.0	1.54	3.3	0.0	0.0	3.82	0.0	2.43	4.55	4.3	0.0	0.0	0.0	0.0	0.0	3.26	0.0	1.25	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	3.94	2.89	0.0	3.68	0.26	6.69	0.0	0.0	0.56	0.0	0.0	3.07	0.93	1.34	0.77	3.23	2.36
Glb1	0.0	0.06	0.04	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.18	0.0	102.8	0.04	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.27	1.4	0.0	0.0	86.75	0.0	0.0	0.05	195.43	168.43	0.0	0.0	0.23	4.61	31.93	21.11	26.7	24.98	20.44	21.73
