	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_85	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610012H03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
0610038L08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.68	0.0	0.0	0.0	0.0	0.0	0.16	0.07	0.62
1600010M07Rik	0.0	0.0	1.37	2.7	0.0	0.0	0.0	0.0	0.0	0.91	19.21	0.0	2.86	2.89	0.0	0.34	1.0	0.81	1.54
2010308F09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.83	0.0	0.0	0.0	0.0	0.0	0.34	0.21	0.69
2410114N07Rik	1.81	2.09	0.77	1.61	2.79	0.42	0.33	0.55	0.0	1.04	3.49	0.0	0.45	0.91	2.58	0.63	0.69	1.32	0.89
4732471D19Rik	0.0	0.0	0.14	0.0	0.0	0.95	1.01	0.0	11.64	0.05	84.53	13.61	0.0	2.79	1.98	19.79	11.67	10.41	10.52
4930429F24Rik	0.0	0.0	0.0	0.0	0.0	0.0	47.55	0.0	0.0	0.0	31.8	0.0	0.0	0.0	0.0	0.0	2.3	3.09	2.44
4930455H04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0
4932438A13Rik	0.0	0.0	8.76	3.43	1.04	4.34	6.55	8.36	7.81	2.04	20.99	7.39	18.5	2.96	12.81	8.44	31.01	24.84	32.35
5730412P04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0
6030446N20Rik	0.19	0.0	0.0	0.0	24.38	0.0	0.0	3.22	49.25	21.43	76.72	0.11	0.12	0.0	12.11	12.22	6.35	5.61	4.99
9130024F11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.91	0.0	0.0	0.58	0.0	0.0	18.49	20.0	18.92
AI848100	0.0	0.0	16.9	0.0	17.81	5.82	21.35	9.66	0.33	0.29	61.94	0.13	0.38	2.52	0.0	0.0	17.59	14.92	16.56
AW554918	0.0	0.0	0.0	0.0	0.0	0.0	32.33	1.05	0.0	0.0	38.48	0.0	0.0	0.0	0.0	0.0	6.92	6.3	7.2
Ablim2	0.0	0.0	14.74	0.0	0.0	0.0	76.29	0.0	0.0	51.42	40.84	28.27	0.12	0.0	9.09	23.99	99.48	96.84	98.33
Acpp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.22	0.25	0.16
Adam26a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adcy4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	2.9	2.43	2.3
Aga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.37	34.65	0.0	75.4	0.0	0.0	10.33	9.22	10.83
Ap1s1	0.0	0.0	109.72	90.87	158.49	94.29	144.31	209.27	38.0	150.85	567.1	184.9	117.95	189.1	155.02	89.56	347.42	348.88	343.06
Arfip1	0.0	0.0	0.0	0.0	0.0	25.2	0.0	0.0	0.0	0.0	36.29	10.76	0.0	0.0	0.0	0.0	14.44	14.75	14.2
Armc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.59	0.68	0.48
Asah2	0.0	0.0	10.79	0.0	13.96	16.0	4.43	0.0	0.11	4.22	41.09	8.96	0.0	8.69	0.17	57.73	7.45	7.4	7.23
B230323A14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0
BC013529	29.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.81	0.0	115.95	0.0	0.0	0.0	0.78	0.0	17.8	16.84	16.72
Btbd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	33.49	0.0	0.0	0.0	0.0	0.09	10.94	9.82	11.05
Btbd9	0.0	0.0	0.0	0.0	0.0	24.43	0.0	0.0	0.0	0.12	31.91	0.0	4.24	0.06	0.99	27.16	30.02	31.23	30.72
