	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_29	Cux2_tdTpositive_cell_32	Gad2_tdTpositive_cell_77	Nr5a1_tdTpositive_cell_12	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_42	Rbp4_tdTnegative_cell_11	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2410089E03Rik	0.0	0.0	45.69	60.54	2.14	0.0	10.95	0.06	0.0	2.39	8.8	43.98	23.04	20.01	24.3
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Aig1	0.0	0.0	166.88	274.77	0.0	0.0	0.48	0.0	0.0	323.54	0.0	149.69	39.79	40.28	37.84
Akt3	0.0	0.0	54.63	131.87	0.1	0.0	0.82	0.0	0.0	0.08	0.0	0.0	103.0	96.58	98.7
Anapc13	0.0	0.0	235.67	159.88	0.0	1.18	0.0	297.39	0.0	0.0	1.32	0.0	54.08	70.4	56.33
Ankrd13c	0.0	0.0	123.84	160.98	0.0	32.08	0.18	18.14	10.36	0.96	0.18	19.43	49.71	50.02	47.1
Atxn7l3	0.0	0.0	17.56	51.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.26	174.79	180.92	176.83
B3gat1	0.0	0.0	37.43	37.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.47	160.08	155.74	161.44
BC018507	0.0	0.0	29.69	62.09	0.0	0.0	0.0	0.0	0.0	5.24	0.06	0.0	59.59	57.31	61.46
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Btg1	12.31	1.96	82.62	102.95	0.66	0.0	73.12	53.37	9.28	0.36	116.89	87.77	13.52	14.76	12.05
C730036E19Rik	0.0	0.0	0.17	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.07
Casc4	81.19	51.84	195.28	158.51	53.94	64.27	121.62	175.42	85.27	73.28	116.22	63.68	79.98	68.49	79.92
Ccdc90a	0.0	0.0	37.27	30.98	0.0	0.0	0.11	0.0	0.0	84.96	0.0	0.0	16.61	14.87	15.84
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ctdspl	0.0	0.07	45.41	39.91	1.43	0.0	0.0	0.0	0.0	0.08	35.63	0.0	21.42	22.93	24.08
D330023K18Rik	0.0	0.0	291.78	148.64	0.0	0.0	0.14	0.0	0.0	269.7	1.02	0.0	5.33	9.65	7.19
D3Ertd254e	2.23	0.95	65.64	87.62	5.3	3.69	3.65	2.55	2.56	124.59	3.45	2.64	11.94	10.08	12.08
Dapk1	0.0	0.62	30.28	80.32	0.0	0.0	16.51	0.0	0.06	0.0	0.0	0.0	58.61	61.1	63.88
Faf2	0.0	0.0	0.0	55.53	0.0	14.38	0.0	75.99	0.0	58.33	0.11	54.12	30.46	30.62	31.61
Glcci1	0.0	0.0	189.53	187.51	0.0	0.0	11.25	0.0	9.6	0.0	0.23	62.64	25.85	26.16	27.78
Gm10390	0.0	0.0	1.0	1.86	0.06	0.0	0.09	0.01	0.0	0.09	0.0	0.0	0.22	0.13	0.27
Gm11696	1.5	0.11	1.7	2.58	0.75	0.53	1.16	1.15	0.0	1.0	2.99	2.96	1.75	2.51	2.23
Gm13242	0.0	0.0	0.28	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.06	0.0
Gm2027	0.0	0.0	9.73	3.68	0.31	0.08	1.87	0.0	3.31	0.37	11.19	1.95	0.83	1.25	1.34
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Itgb8	0.0	0.0	0.0	0.66	0.0	154.72	0.0	0.0	0.0	0.0	0.0	0.0	21.22	18.52	23.65
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lpin2	0.09	0.0	68.01	129.33	0.09	0.0	0.0	0.11	0.28	1.44	0.17	0.17	43.15	40.85	39.03
Mad2l1bp	0.41	0.0	204.83	255.09	0.0	0.0	171.1	0.0	0.27	0.0	355.61	0.0	15.05	11.58	13.67
Mapre2	0.0	0.0	136.74	386.11	134.21	125.87	177.19	168.42	905.95	616.01	0.48	325.63	190.4	183.42	180.76
Me2	0.0	0.0	88.48	143.44	0.0	0.0	0.0	0.0	0.0	0.6	0.0	13.64	25.96	23.83	23.18
Mfsd7b	0.0	0.0	0.0	6.22	0.0	21.45	0.0	17.54	0.0	0.0	0.0	0.0	11.27	10.65	10.55
Mphosph9	0.0	0.0	52.37	32.35	0.02	0.05	2.1	0.11	0.15	0.21	0.17	0.0	13.86	11.68	13.03
Mterfd1	0.0	0.0	101.53	306.52	152.96	0.0	0.0	0.0	53.57	380.67	0.0	294.24	25.44	21.62	24.79
Neurod1	0.0	0.0	167.29	188.65	0.0	0.0	5.01	0.0	0.0	0.0	0.0	0.0	13.75	12.99	13.13
Nif3l1	0.0	0.29	199.98	251.31	187.87	1.49	0.08	0.0	0.28	103.65	453.18	0.55	19.73	22.1	19.61
Numa1	0.0	37.61	43.54	42.9	0.07	0.0	0.07	0.0	0.0	0.41	61.41	0.0	43.64	43.15	46.99
Nup35	0.0	0.0	154.63	180.27	0.45	41.97	1.91	2.93	159.18	0.33	0.13	205.74	10.64	11.42	9.71
Pank2	0.0	0.0	128.52	89.72	0.11	0.0	67.77	0.0	0.0	0.0	0.0	0.0	32.39	32.48	32.67
Pms1	0.0	0.0	144.31	130.53	0.0	0.0	0.0	0.0	0.0	212.91	0.0	0.0	3.22	2.55	3.19
Ppp1r10	41.28	0.0	84.91	56.0	0.0	0.0	0.0	58.51	0.24	87.89	0.0	0.0	31.54	31.11	33.43
Ppp2r5a	0.0	0.11	82.6	175.9	0.0	0.0	0.63	0.0	0.0	198.53	0.0	0.0	69.33	67.41	67.73
