	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700022P22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.69	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.75	0.94	1.03
4930470P17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	52.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.36	0.95	0.37
5430405G05Rik	0.0	0.0	0.0	30.6	0.0	2.1	0.0	0.0	0.0	0.0	0.44	55.1	24.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	19.78	0.0	24.39	0.0	0.0	0.0	50.67	0.0	0.0	0.0	0.0	0.0	28.76	0.0	0.0	0.0	21.58	0.0	9.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	4.32	6.4	4.24	0.98	5.68	8.14	7.74	7.98
6030429G01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.49	1.45
9230114K14Rik	2.48	2.63	1.51	20.72	3.97	4.89	5.25	4.79	1.52	1.44	3.28	52.1	3.93	4.43	26.97	2.49	1.7	1.61	1.86	1.55	27.5	3.23	2.42	0.6	4.82	1.85	24.99	3.04	66.8	26.37	2.46	0.57	4.06	3.15	1.45	1.9	2.56	0.98	2.26	12.49	9.62	1.63	3.55	0.83	1.55	2.68	9.14	6.67	6.81	3.91	1.05	25.9	0.82	9.14	9.91	11.2	14.56	9.42	5.91	8.84	10.45	4.3	3.25	3.9
9430041J12Rik	0.0	0.19	0.0	0.0	0.61	0.0	0.11	0.0	0.0	0.0	0.0	0.0	4.88	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	36.89	0.12	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	4.4	2.59	0.0	0.0	0.0	0.0	0.1	0.0	0.0	19.98	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.34	0.52	1.34	0.0	5.03	4.15	4.55
A330023F24Rik	0.12	9.12	9.81	2.84	15.49	6.07	71.72	22.06	38.95	37.1	32.19	22.46	25.15	3.69	10.26	9.28	32.75	0.0	4.88	6.03	6.51	5.79	26.52	2.37	9.55	3.38	1.18	56.32	114.56	21.65	5.04	5.29	0.0	1.79	1.55	5.45	0.91	13.54	0.33	23.92	20.78	3.06	3.92	4.84	2.29	10.95	2.94	46.33	24.46	7.33	23.73	8.85	2.22	4.98	13.59	19.23	7.53	12.29	9.95	9.37	10.36	46.6	40.72	42.01
Acta1	0.0	33.48	0.0	0.0	50.45	0.0	0.0	0.15	0.37	0.4	0.0	39.07	0.0	206.3	0.0	8.63	34.02	0.09	0.0	0.0	2.61	8.49	17.67	0.0	0.29	0.0	0.0	0.0	424.32	0.0	0.0	7.15	66.01	0.0	0.0	29.89	0.0	65.49	74.55	62.13	35.01	31.23	0.0	7.11	0.0	74.59	0.0	0.0	74.86	0.0	0.22	0.0	47.64	0.0	24.79	53.83	68.8	46.8	62.9	74.73	70.46	12.2	12.83	11.88
Agtr1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	0.0	0.76	0.66	0.45	0.85
Amd2	0.0	0.0	0.0	48.11	0.0	0.0	0.0	47.82	14.15	0.0	2.73	0.0	0.0	73.58	5.92	0.0	18.15	0.0	1.01	0.0	0.0	17.51	1.03	0.05	0.0	0.0	8.62	0.0	119.41	0.0	8.62	15.56	0.0	0.0	6.96	0.52	36.26	0.0	0.0	0.0	0.0	0.0	16.55	0.0	0.0	23.85	0.0	30.43	44.1	16.6	29.15	92.62	0.0	0.0	72.72	0.04	0.0	0.0	42.4	41.15	73.38	116.44	128.88	96.43
