	Cux2_tdTnegative_cell_5	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_27	Rorb_tdTpositive_cell_30	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_108	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
2810405K02Rik	0.0	1.27	226.19	0.0	0.0	0.0	9.0	0.0	134.89	0.0	0.86	216.57	255.8	213.31	80.64	0.0	250.79	0.0	1.73	0.0	260.9	269.91	363.9	217.3	295.01	0.0	2.37	637.2	253.91	0.0	0.0	130.08	323.19	217.13	599.56	306.13	208.1
3110047P20Rik	0.0	137.73	61.56	0.0	0.0	1.94	0.03	0.09	0.02	0.28	0.02	17.64	0.0	2.14	2.55	0.0	120.34	0.0	0.0	0.0	0.6	4.24	31.75	3.87	1.63	13.87	4.59	3.55	6.05	0.0	0.0	0.0	0.02	13.44	0.0	5.91	0.04
6430704M03Rik	0.0	219.95	133.43	0.0	0.0	1.63	0.22	0.07	0.09	1.59	1.04	269.86	236.67	86.51	27.74	0.0	253.69	0.0	0.0	0.0	245.73	46.52	448.59	130.96	36.24	167.47	70.2	279.33	244.56	0.0	0.0	0.0	53.52	36.25	11.26	28.12	0.23
A830010M20Rik	0.0	187.87	20.1	0.1	0.0	1.3	86.6	0.64	3.58	0.4	23.41	151.82	78.6	111.32	54.98	0.38	56.02	0.0	0.4	0.23	377.91	132.89	243.99	135.95	88.24	158.42	373.97	12.82	307.22	0.0	0.0	0.0	84.67	16.89	44.66	17.31	50.22
Akap5	3.7	345.63	101.9	2.11	2.07	7.09	5.62	24.46	23.72	73.13	18.27	30.01	63.11	128.21	149.23	2.09	208.7	1.59	3.14	5.94	348.22	210.71	42.11	136.95	92.98	25.72	31.69	138.63	106.88	2.12	2.31	1.33	99.54	65.42	123.03	85.64	81.57
Akap6	0.0	41.53	12.59	0.0	0.0	0.71	0.4	0.05	0.08	0.28	44.0	57.3	130.65	51.95	1.26	0.0	4.95	0.0	0.0	0.0	57.02	0.34	55.31	53.88	0.0	12.71	143.38	0.15	171.51	0.0	0.0	0.0	28.36	53.04	26.89	17.88	28.91
Atp2b2	1.18	554.63	633.03	0.0	17.9	115.36	56.96	155.1	141.49	208.01	14.54	525.42	426.19	434.85	145.94	0.39	525.26	0.0	0.46	0.2	571.86	343.01	651.25	324.54	100.98	117.69	297.18	280.46	761.51	0.0	0.0	0.0	153.71	163.5	202.13	124.07	126.99
Cacna2d1	0.0	65.52	36.85	0.09	0.0	0.98	0.53	0.03	0.02	0.02	0.11	75.73	20.73	84.42	7.67	0.0	184.72	0.0	0.0	0.0	81.35	38.74	115.17	38.21	260.98	63.64	329.9	19.5	29.78	0.0	0.0	0.0	42.23	17.2	1.91	5.62	4.88
Camk2b	0.0	475.4	641.39	0.0	0.0	1.84	28.75	4.45	0.42	43.65	1.37	203.92	76.54	61.32	103.88	0.0	348.1	0.0	0.32	0.0	183.7	181.53	317.37	299.21	179.81	133.45	151.78	105.83	352.83	0.0	0.0	0.0	149.74	245.5	98.96	198.82	161.76
Ccl27b	0.0	344.85	411.12	0.34	27.72	0.81	1.18	0.0	0.0	0.0	0.45	149.26	120.66	34.54	0.0	0.0	42.8	0.0	0.0	0.0	54.65	11.37	105.31	260.72	14.7	274.48	171.5	7.71	4.42	0.0	0.0	0.0	17.69	2.83	25.62	4.38	27.11
Chgb	0.0	95.44	501.28	0.0	0.0	8.08	34.9	187.87	26.84	143.22	31.95	274.59	422.71	476.6	234.68	0.25	1274.99	0.0	0.0	0.34	670.63	709.63	305.07	629.11	18.17	529.18	520.48	380.24	454.02	0.0	0.0	0.0	291.53	473.94	298.92	473.0	391.4
Cyfip2	0.0	206.9	257.47	0.11	0.0	4.4	39.83	47.96	13.78	61.92	100.04	271.75	194.07	118.4	26.96	0.32	314.18	0.0	0.1	0.0	252.1	213.45	378.4	230.41	141.33	138.47	90.51	64.91	409.64	0.0	0.0	0.0	124.04	267.74	125.35	216.21	143.98
Dbc1	0.0	187.9	141.96	0.4	0.0	7.24	107.77	9.69	0.5	16.79	19.43	292.53	29.22	310.37	90.51	0.2	1458.77	0.0	0.0	0.0	920.96	416.41	383.0	493.77	273.82	241.53	223.02	17.61	477.42	0.0	0.0	0.0	192.36	422.95	76.99	198.68	152.13
Dnajb5	0.0	153.23	86.61	0.0	0.0	0.46	1.42	15.98	0.51	0.59	0.83	59.14	182.77	41.92	41.35	0.0	118.81	0.0	0.28	0.0	195.19	42.92	106.48	70.73	372.61	173.4	342.05	74.46	166.6	0.0	0.0	0.0	104.8	67.94	88.33	32.03	80.53
Dtnbp1	0.0	208.22	0.0	0.0	0.0	0.0	0.56	69.47	0.0	0.0	17.05	5.05	1.09	31.99	127.98	0.0	0.0	0.0	0.5	0.0	234.5	87.62	0.0	31.83	87.08	223.4	1.84	69.36	2.6	0.0	0.0	0.0	4.03	76.97	28.05	48.0	14.52
Fam81a	0.0	477.9	140.32	0.71	0.31	4.39	189.74	113.19	173.44	78.4	80.81	458.23	835.47	260.79	130.0	0.0	226.49	0.0	0.67	0.34	970.46	631.8	345.89	768.82	312.86	217.85	624.97	329.67	1488.86	0.0	0.0	0.0	374.23	322.38	315.63	345.89	107.66
Fzd3	0.04	46.13	35.19	0.08	0.14	0.51	0.74	6.66	1.13	0.83	32.72	65.32	16.93	50.95	12.34	0.09	98.83	0.15	0.06	0.21	36.16	53.95	115.83	59.87	12.36	18.27	147.25	23.12	204.64	0.08	0.04	0.0	39.55	47.47	47.13	19.59	23.04
Gabra4	0.0	267.1	131.77	0.0	0.21	2.02	2.37	4.02	0.57	87.45	6.63	202.91	209.11	29.5	114.85	0.16	160.64	0.0	0.16	0.0	411.56	189.75	263.74	143.55	188.73	131.87	331.31	0.34	132.77	0.0	0.0	0.0	176.06	184.34	38.45	124.79	112.94
Gm13306	0.0	344.85	411.12	0.34	27.72	0.81	1.18	0.0	0.0	0.0	0.45	149.26	120.66	34.54	0.0	0.0	42.8	0.0	0.0	0.0	54.65	11.37	105.31	260.72	14.7	274.48	171.5	7.71	4.42	0.0	0.0	0.0	17.69	2.83	25.62	4.38	27.11
Gm2506	0.0	344.85	411.12	0.34	27.72	0.81	1.18	0.0	0.0	0.0	0.45	149.26	120.66	34.54	0.0	0.0	42.8	0.0	0.0	0.0	54.65	11.37	105.31	260.72	14.7	274.48	171.5	7.71	4.42	0.0	0.0	0.0	17.69	2.83	25.62	4.38	27.11
Golga7b	0.0	567.43	940.35	0.49	0.94	10.83	6.31	124.03	1.96	28.63	12.7	415.11	206.83	112.47	148.28	1.03	715.83	0.0	1.34	2.52	409.07	214.79	562.27	681.72	63.73	46.91	38.08	249.35	335.84	0.0	0.0	0.0	233.33	185.18	163.81	234.1	233.45
Hecw1	0.0	119.78	69.94	0.0	0.0	0.46	0.33	2.12	0.18	14.23	0.7	90.98	71.15	20.54	12.75	0.14	96.59	0.0	0.0	0.06	78.77	19.38	120.69	28.32	16.1	175.45	111.34	48.13	119.5	0.0	0.06	0.0	22.88	21.49	19.68	61.57	14.46
Hpca	0.0	421.85	816.39	0.0	0.63	135.41	182.89	122.7	1.08	0.83	2.96	678.28	80.93	274.38	232.27	1.5	876.61	0.0	1.31	0.0	1122.83	1344.59	1261.94	178.0	1254.31	600.42	149.79	537.21	585.8	0.59	0.0	0.0	932.55	996.91	1135.0	856.7	782.81
Igfbp6	0.0	0.0	104.32	0.0	0.0	2.51	0.11	0.82	1.47	1.7	0.67	91.52	0.0	401.59	118.92	0.0	354.94	0.0	0.0	0.0	2.17	106.05	126.89	3.93	1.72	1.4	7.47	119.14	0.0	0.0	0.0	0.0	88.79	131.7	217.48	73.38	117.02
Ing2	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.18	0.0	0.0	0.3	23.62	83.05	51.86	13.13	0.0	25.27	0.0	0.0	0.0	172.38	38.28	45.34	36.74	0.29	2.51	211.05	81.37	0.89	0.0	0.0	0.0	0.0	1.32	0.41	7.02	0.0
Lrrc4c	0.0	252.02	82.87	0.0	0.0	4.48	234.81	92.88	227.08	90.61	3.76	454.84	44.35	75.32	155.69	0.0	150.68	0.0	0.92	0.4	1226.31	562.53	552.44	391.51	259.13	59.37	457.2	131.68	884.65	0.0	0.0	0.0	55.27	96.86	125.21	91.7	91.78
Mapk4	0.0	12.59	15.74	0.0	21.76	95.11	2.6	28.72	0.22	0.55	0.09	0.04	20.86	54.15	21.24	0.0	188.89	0.0	0.14	0.0	10.93	21.03	0.21	32.77	63.48	9.11	8.98	27.63	91.99	0.0	0.0	0.0	3.1	26.49	37.25	37.02	7.73
Mat2b	0.0	9.25	21.84	1.11	605.3	2.29	8.75	194.17	0.64	40.36	137.63	602.56	1214.23	332.94	126.04	0.37	554.58	0.0	0.7	0.0	1199.42	968.42	546.01	335.61	73.58	76.23	5.26	506.94	622.0	0.0	0.0	0.0	456.33	336.91	436.41	645.19	347.62
Nr4a1	0.0	240.03	96.51	0.0	0.0	2.55	0.81	0.21	0.48	0.28	0.17	238.01	13.8	19.62	0.0	0.0	113.58	0.0	0.0	0.0	107.61	244.6	366.06	116.71	283.69	630.42	19.83	121.85	399.28	0.0	0.0	0.0	161.47	70.94	170.4	149.78	145.17
Osbpl1a	0.0	458.24	666.69	0.53	0.0	6.2	187.54	317.5	0.99	7.13	57.63	543.35	616.66	375.9	197.06	1.07	784.55	0.0	0.25	0.0	1936.98	398.22	922.1	1071.15	982.44	1139.27	856.45	589.74	1088.46	0.0	0.0	0.0	266.72	374.6	602.1	230.43	270.22
Pgm2l1	0.05	169.46	406.04	0.0	0.1	2.55	19.15	42.23	2.12	49.58	3.15	245.97	257.37	114.58	110.41	0.16	306.63	0.0	0.44	0.0	244.51	128.4	342.21	319.58	72.86	76.76	183.93	128.58	284.26	0.0	0.0	0.0	20.48	102.77	91.19	50.99	38.37
Ptpn5	0.0	152.08	187.28	0.0	0.0	1.73	1.83	0.25	16.14	141.97	55.93	53.98	835.59	193.52	47.83	0.0	257.61	0.0	0.21	0.0	84.92	240.07	13.01	140.56	169.85	51.97	24.86	50.25	150.98	0.0	0.0	0.0	347.19	187.44	343.28	326.68	190.36
Rgs7	0.0	20.84	208.66	0.0	31.44	0.0	0.77	45.96	0.14	26.0	47.94	76.79	209.98	141.34	0.0	0.0	231.54	0.0	0.0	0.0	171.14	91.35	149.11	102.74	1.08	33.09	311.48	13.65	166.99	0.0	0.0	0.0	0.0	1.29	74.22	0.0	0.0
Scn2a1	0.0	223.07	37.01	0.08	0.0	2.25	45.3	1.17	0.58	6.97	46.14	215.09	172.06	130.67	93.06	0.49	113.57	0.0	0.0	0.07	142.11	264.12	231.91	161.94	141.75	189.0	242.93	156.27	127.4	0.0	0.0	0.0	75.7	115.32	32.61	79.32	52.97
Slc39a10	0.0	32.08	131.11	0.13	30.15	0.21	0.77	36.13	0.24	14.37	27.06	96.65	199.34	111.83	60.51	0.14	76.21	0.48	0.13	0.0	315.41	96.89	147.18	300.17	64.8	16.23	144.04	26.43	84.99	0.0	4.69	0.0	96.03	151.11	181.88	140.68	132.62
Sprr2a1	0.0	1.67	0.17	0.0	0.0	0.0	0.04	0.76	0.1	0.0	0.0	0.54	1.73	0.5	0.54	0.29	1.8	0.0	0.25	0.0	0.2	1.07	0.9	0.67	0.16	0.23	0.98	0.16	0.52	0.0	0.0	0.0	0.18	0.01	0.04	0.16	0.0
Sprr2a2	0.0	1.67	0.17	0.0	0.0	0.0	0.04	0.76	0.1	0.0	0.0	0.54	1.73	0.5	0.54	0.29	1.8	0.0	0.25	0.0	0.2	1.07	0.9	0.67	0.16	0.23	0.98	0.16	0.52	0.0	0.0	0.0	0.18	0.01	0.04	0.16	0.0
Ssr1	33.06	103.04	114.41	81.38	159.86	3.77	5.6	2.88	10.06	81.87	68.88	212.27	159.92	125.84	133.77	1.68	85.63	4.01	149.17	0.24	355.09	196.24	177.43	120.18	6.57	11.18	119.28	192.46	256.03	14.33	160.89	0.41	24.78	195.94	90.79	71.11	60.15
Stx1a	0.0	665.61	487.07	0.0	0.0	7.67	7.41	0.62	1.07	0.66	3.19	455.64	700.14	176.36	283.31	0.66	591.5	0.0	0.63	0.0	740.69	688.31	719.0	636.06	444.75	769.47	1623.65	660.88	1594.56	0.0	0.0	0.0	920.5	582.69	207.82	656.13	586.04
