	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_6	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_38	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700065D16Rik	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.18	0.0	0.0	0.11	0.0	0.0	0.26	0.0	0.09	0.0	0.14	0.33	0.62	0.66
2310003C23Rik	5.56	6.21	3.06	58.3	0.0	0.0	0.0	3.42	2.63	1.26	1.87	3.09	2.72	4.39	27.99	3.08	6.88	1.41	100.64	3.51	4.85	2.68	10.76	2.28	3.68	3.5	2.79	44.64	43.83	43.42
5730522E02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.53	20.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.74	0.0	0.0	0.0	0.0	4.0	3.34	5.49
Ablim3	0.0	0.11	56.49	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	113.45	0.0	85.32	0.21	0.0	30.97	4.85	0.0	2.56	0.0	0.62	5.16	26.15	16.42	18.67	15.08
Akt3	0.07	0.0	0.09	19.55	0.0	0.0	0.0	0.0	47.44	7.0	8.4	0.0	67.83	0.0	89.91	0.0	30.04	5.81	0.0	1.2	61.07	2.5	7.91	0.0	0.06	0.0	11.83	103.0	96.58	98.7
Arx	0.06	5.45	0.0	0.0	0.0	0.0	0.0	15.97	0.0	18.9	0.0	0.0	0.0	0.0	65.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	12.02	9.7	14.53	16.62	16.57
B4galt7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.44	0.0	74.04	0.0	0.0	0.0	310.88	0.18	166.73	0.0	0.0	0.0	41.51	0.0	9.88	0.0	2.18	0.0	0.0	22.85	24.47	27.31
Bhlhe40	0.0	13.86	0.0	76.88	0.0	0.0	0.0	54.07	71.53	0.39	96.3	0.0	161.34	71.42	265.2	0.0	194.69	2.26	0.0	41.85	0.0	0.21	74.5	0.0	0.0	98.22	0.0	107.04	110.37	66.95
Bmp1	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	2.08	0.0	0.0	0.0	0.0	7.32	0.0	0.0	0.0	0.0	0.0	0.0	0.17	6.24	0.0	0.35	0.0	0.0	43.03	38.95	50.36
Btnl9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.09	0.0	0.0	0.0	0.0	0.64	0.08	0.17	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.2	0.0	0.12	0.11	0.04
Cab39	4.97	0.59	0.0	1.13	0.0	2.24	0.0	129.52	13.81	26.49	23.42	0.0	0.0	1.4	165.3	1.63	107.76	212.97	16.08	63.67	2.23	94.53	45.75	164.9	2.07	49.26	22.33	153.97	150.03	150.81
Cacna1e	0.01	2.72	0.03	0.06	0.0	0.0	0.0	12.41	0.0	0.0	0.0	66.66	17.54	23.46	55.31	0.0	0.12	0.0	0.0	0.0	8.75	0.0	35.89	0.0	0.0	0.0	17.85	78.28	66.78	84.4
Cacna1g	0.0	0.05	0.05	3.4	0.0	0.0	0.0	0.0	0.0	0.0	1.84	12.8	0.0	0.0	32.87	0.0	4.41	0.05	0.0	0.33	0.66	0.0	1.14	4.16	15.16	0.0	0.0	33.7	32.27	39.81
Ccdc120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.07	82.09	0.0	47.85	0.0	0.0	0.0	0.0	0.0	2.19	0.0	0.0	0.0	0.0	8.32	7.71	7.36
Chpf	0.5	1.16	0.0	5.01	0.0	0.0	0.0	110.31	0.37	0.32	21.99	0.0	0.0	28.83	78.07	1.9	46.63	0.0	0.0	33.34	0.0	13.66	11.44	0.0	82.5	0.63	0.0	61.67	77.14	69.66
Cnr1	878.95	10009.06	608.25	14271.7	0.0	0.06	0.0	14712.45	18446.25	33283.94	19184.04	6610.37	19801.43	16437.47	6746.03	17862.67	385.27	19681.78	17646.7	12520.63	22064.64	33041.05	227.37	12766.46	14288.55	25768.68	23267.78	80.79	75.85	84.42
Col4a3bp	79.14	1.69	0.0	0.42	0.0	14.03	0.0	0.0	0.0	3.59	0.14	0.0	0.0	0.19	96.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17	2.48	0.0	0.0	0.0	60.18	47.85	44.93	46.75
