	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_79	Cux2_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_111	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_60	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_68	Scnn1a.Tg3_tdTpositive_cell_83	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTnegative_cell_18	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_12
3110047P20Rik	0.09	0.15	4.64	0.0	72.62	0.1	1.49	0.0	0.0	11.47	0.0	0.0	17.84	0.0	52.89	25.66	34.19	39.86	0.0	0.0	0.0	31.74	0.05	0.0	144.44	79.3	41.06	9.51	0.0	27.22	24.93	0.0	0.0	0.0	0.0	9.88	0.0	0.0	118.55	0.0	0.0	0.0	2.17	4.29	0.61	0.0	2.13	0.0
9330159F19Rik	42.13	169.75	140.61	42.98	130.55	89.23	41.22	10.03	106.81	68.5	161.9	2.98	12.6	0.0	8.46	24.56	54.1	81.26	76.6	47.4	89.0	38.28	101.72	94.61	125.41	110.14	60.84	69.09	101.43	81.09	75.25	81.43	200.09	6.65	242.8	51.98	119.63	80.87	167.57	43.44	86.66	46.94	95.18	76.54	128.6	0.06	113.52	80.79
9830107B12Rik	0.0	0.54	1.25	2.22	0.22	0.0	1.43	1.43	1.36	0.0	1.87	0.0	0.0	0.0	0.75	1.7	0.87	0.19	0.81	1.57	0.46	0.98	1.04	3.66	2.88	1.48	0.86	0.93	3.43	2.12	0.52	0.44	1.06	0.42	0.12	0.82	0.95	0.0	5.96	0.19	1.27	0.0	1.22	0.1	0.95	0.0	1.07	0.13
Abcf2	302.35	0.0	238.91	189.66	0.12	311.11	189.98	32.21	142.92	0.17	133.72	0.0	138.95	0.0	165.28	13.4	261.09	210.53	235.3	226.38	329.45	3.81	0.17	142.34	216.19	137.98	167.96	178.7	222.68	148.89	3.69	48.11	0.0	0.04	3.76	1.24	322.84	184.4	334.27	90.35	163.89	368.08	233.96	165.4	149.71	0.0	242.85	79.71
Actr1a	0.28	0.0	0.0	354.54	0.11	1.65	0.0	281.13	144.31	130.51	85.89	0.0	113.69	0.0	241.69	141.76	5.28	129.24	0.0	0.0	196.12	315.6	57.7	104.41	177.21	26.15	30.59	110.47	57.96	0.0	0.0	110.27	166.23	0.12	132.77	88.28	103.14	100.4	324.24	181.45	241.78	0.0	136.71	220.07	62.48	0.0	100.96	0.0
Arhgef12	0.0	0.0	11.26	2.14	58.73	30.42	23.18	60.04	24.33	26.55	60.09	0.0	0.07	0.0	29.74	0.05	5.74	58.33	2.36	2.68	0.26	30.18	1.36	0.0	20.57	15.41	27.02	5.9	29.12	34.7	33.8	3.61	11.21	2.85	40.78	33.42	4.85	0.39	64.66	20.46	76.67	10.14	84.35	2.84	2.65	0.0	11.03	0.09
Arhgef7	0.0	56.08	105.29	72.62	0.08	37.06	0.08	0.36	85.44	0.43	22.06	0.0	11.26	0.0	22.77	0.0	43.84	259.83	9.04	130.1	6.45	41.99	19.97	0.0	103.29	76.62	11.18	1.23	31.22	181.56	14.56	33.55	165.54	0.1	6.49	245.38	93.1	0.25	297.35	65.94	73.96	0.0	48.12	39.47	93.97	0.0	36.16	7.71
Ccl27b	0.0	43.63	31.02	19.47	2.22	7.78	0.0	39.72	133.13	41.09	54.38	0.0	9.3	0.0	98.78	32.42	70.05	89.75	54.51	78.52	1.96	95.82	0.0	15.38	76.69	61.04	0.0	8.22	5.36	8.68	0.6	8.55	0.0	61.83	110.53	106.16	180.86	0.0	47.08	43.78	106.59	46.65	42.53	95.97	127.6	0.0	61.27	1.41
Cdc23	290.92	0.0	0.13	0.1	0.05	43.54	0.0	0.0	61.58	3.68	39.07	0.0	0.0	0.0	0.54	0.0	131.59	0.05	96.28	64.55	14.29	52.44	0.0	56.62	137.18	173.96	0.0	95.06	0.0	0.14	0.0	4.88	66.69	0.0	0.0	0.0	0.0	56.13	269.26	0.0	93.31	0.0	53.96	0.41	6.47	0.0	64.58	65.47
Cdr1	353.71	3.08	183.91	84.54	48.42	39.3	56.58	0.0	150.71	46.34	71.36	0.0	155.87	0.0	117.89	202.54	41.87	134.15	236.89	108.95	138.02	68.08	77.46	313.13	238.23	230.83	15.9	178.59	87.47	39.32	244.28	104.26	25.09	11.83	52.51	24.73	140.05	0.0	142.48	184.96	63.42	0.0	57.03	167.76	76.87	0.0	38.59	128.75
D19Bwg1357e	73.57	50.31	75.2	44.97	137.42	0.0	0.1	0.16	0.13	0.0	82.44	22.43	115.31	0.0	0.0	79.52	106.13	11.47	81.0	0.7	0.2	0.06	0.25	58.11	1.63	60.37	0.15	0.15	143.9	53.57	0.0	34.35	0.0	0.14	174.65	41.21	0.07	0.24	162.42	37.77	51.7	0.0	120.24	0.39	0.43	0.0	59.36	0.0
Fam168b	0.3	86.79	49.78	83.46	0.8	0.13	18.79	0.0	135.26	130.65	39.41	5.09	0.41	0.0	54.6	4.76	2.02	185.65	11.82	0.12	54.24	51.68	0.2	23.71	125.63	55.85	0.0	37.93	110.62	107.05	10.12	0.5	1.68	0.68	4.01	0.0	70.31	105.61	134.64	0.08	38.41	0.13	4.75	72.41	59.52	0.0	25.23	7.29
G3bp1	0.0	0.0	15.35	3.71	0.04	2.37	1.26	0.0	0.66	62.16	0.0	0.0	5.19	0.0	18.11	0.0	4.76	83.93	0.15	105.26	24.24	52.07	49.78	99.51	105.09	88.93	1.58	42.12	0.0	0.0	4.1	7.09	0.0	0.04	16.39	21.02	3.05	0.0	163.1	0.0	0.0	0.0	68.19	9.99	0.25	0.0	15.01	55.53
Gm13306	0.0	43.63	31.02	19.47	2.22	7.78	0.0	39.72	133.13	41.09	54.38	0.0	9.3	0.0	98.78	32.42	70.05	89.75	54.51	78.52	1.96	95.82	0.0	15.38	76.69	61.04	0.0	8.22	5.36	8.68	0.6	8.55	0.0	61.83	110.53	106.16	180.86	0.0	47.08	43.78	106.59	46.65	42.53	95.97	127.6	0.0	61.27	1.41
Gm2506	0.0	43.63	31.02	19.47	2.22	7.78	0.0	39.72	133.13	41.09	54.38	0.0	9.3	0.0	98.78	32.42	70.05	89.75	54.51	78.52	1.96	95.82	0.0	15.38	76.69	61.04	0.0	8.22	5.36	8.68	0.6	8.55	0.0	61.83	110.53	106.16	180.86	0.0	47.08	43.78	106.59	46.65	42.53	95.97	127.6	0.0	61.27	1.41
Gpcpd1	1.12	2.08	0.47	152.72	6.07	95.76	130.57	11.73	0.72	0.0	20.67	0.85	0.56	4.8	231.1	320.65	45.24	60.06	334.1	1.28	32.03	1.97	0.11	64.66	100.69	136.83	0.43	2.56	26.11	7.86	0.94	70.35	1.95	9.55	0.62	107.09	189.3	30.19	231.94	2.4	136.57	0.0	0.47	194.49	0.66	0.28	40.25	1.29
Herc1	17.38	19.79	45.09	10.14	38.65	11.08	27.92	22.5	44.82	23.03	59.17	0.1	17.4	0.02	89.07	85.41	85.73	85.75	4.05	22.01	45.87	46.75	25.83	67.52	32.38	69.6	17.91	28.52	52.86	88.07	7.85	20.21	9.45	27.79	19.18	73.13	16.13	24.43	51.68	55.12	5.6	9.58	43.16	32.35	32.0	0.0	26.54	27.49
Jmjd8	0.0	0.62	1.23	127.82	0.0	0.0	0.0	300.36	0.54	0.0	1.32	0.0	0.0	0.0	0.0	181.25	0.85	19.23	92.63	145.1	107.24	110.72	0.0	0.0	28.25	46.14	0.0	0.58	475.91	0.0	3.86	7.72	0.0	0.4	272.57	349.53	38.02	72.08	351.56	0.0	123.88	0.0	219.96	326.66	0.65	0.0	41.9	225.15
Kctd3	0.0	0.0	5.39	53.53	0.0	0.0	0.0	0.92	115.36	6.69	18.03	0.0	9.91	0.0	92.44	155.47	96.25	57.79	0.31	0.0	0.0	0.11	0.0	16.57	63.61	96.1	2.28	0.0	11.6	0.0	20.48	2.84	0.0	0.06	3.55	7.14	76.97	0.11	220.11	0.0	3.02	0.0	132.03	0.79	1.43	0.0	20.35	2.97
