	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_128	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_138	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_36	CAV_VISp_Contra_tdTpos_cell_1
1700086L19Rik	157.04	2.71	480.42	444.43	0.0	0.52	0.0	36.69	0.0	0.0	0.0	26.9	0.0	1.73	0.0	0.0	0.0	224.24	504.92	85.51	66.45	164.05	180.01	14.85	122.07	38.45	1.89	353.2	88.94	84.02	106.24	37.85	41.29	48.34	23.43	55.63	0.0	0.0	0.0	0.0	56.23	10.9	0.0	210.87	321.69
1700113A16Rik	0.0	43.22	176.68	0.0	0.0	45.22	7.69	23.18	0.0	7.58	14.05	0.0	81.76	54.51	60.98	32.74	0.0	39.81	4.47	0.0	80.16	21.35	77.36	69.34	118.02	0.0	0.17	0.0	17.44	36.15	35.32	35.9	24.91	35.16	24.64	14.36	0.0	44.31	0.0	0.0	166.75	101.13	63.4	0.64	64.66
2410091C18Rik	9.72	111.41	18.85	220.62	72.44	85.96	124.22	105.63	92.2	176.1	106.76	5.49	192.64	100.33	158.87	12.66	19.15	171.64	171.35	27.96	123.62	144.42	88.47	32.51	157.23	11.23	308.89	81.97	194.55	186.2	170.44	125.12	163.46	110.29	124.48	74.49	257.81	65.74	5.7	152.14	150.11	230.92	132.64	298.33	311.21
2700029M09Rik	272.82	0.0	0.0	0.0	0.0	26.19	156.5	0.0	1.43	0.0	0.0	175.43	13.32	104.04	0.0	0.0	0.32	0.23	76.04	26.13	39.67	87.34	156.35	87.04	1.95	0.0	13.37	1.09	42.69	30.01	31.04	33.42	26.22	15.48	17.4	0.25	13.78	0.0	0.0	0.0	56.67	69.74	0.0	35.46	73.77
9430091E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	2.31	0.0	0.0	0.06	0.9	0.05	0.12	0.0	0.0	0.0	0.27	0.26	0.0	0.0	0.65	0.62	0.34	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.12	1.8
Armcx2	0.0	16.52	30.49	53.02	502.61	48.79	3.58	0.0	0.18	0.0	0.0	0.0	17.42	0.0	4.84	0.16	0.0	73.53	11.27	0.7	70.81	11.69	2.81	0.0	1.94	0.0	0.27	0.0	12.61	17.32	11.24	5.94	11.61	18.87	17.19	0.0	0.0	55.14	0.0	0.0	0.0	0.11	3.66	0.0	112.45
Atad2	1.01	0.51	3.49	49.87	6.08	1.25	0.78	1.13	0.96	0.12	1.04	0.98	20.38	0.26	0.89	1.15	0.0	0.68	48.5	1.58	1.89	10.95	2.05	2.18	1.24	0.18	1.28	63.14	0.82	1.36	4.26	7.73	1.63	2.4	0.99	0.35	1.45	1.2	1.45	0.51	0.72	0.74	1.2	1.48	23.52
Atp1a1	38.09	0.0	88.26	4.18	0.0	34.19	85.95	1.18	67.7	7.72	3.75	6.2	25.89	13.72	8.97	46.69	0.1	8.86	30.04	10.57	42.78	24.69	8.84	70.93	52.47	98.24	4.35	31.53	20.01	26.87	12.59	17.0	22.75	12.95	10.39	37.27	1.59	4.52	0.0	1.92	43.53	0.0	0.45	41.99	59.42
C030034L19Rik	0.5	0.3	2.65	0.77	0.0	0.76	0.61	0.45	0.8	0.0	0.47	0.14	0.0	0.26	0.35	1.51	0.0	0.78	2.5	2.31	0.86	2.24	2.45	1.82	1.52	0.13	0.9	2.48	0.59	1.27	0.44	0.85	1.46	0.43	0.46	0.0	0.26	0.23	0.28	0.1	0.08	0.14	1.5	1.59	2.39
C2cd2	0.29	0.21	1.05	0.41	0.12	0.28	0.35	0.54	0.05	0.0	0.15	0.08	0.12	0.12	0.79	0.24	0.05	2.96	1.83	0.7	0.86	1.96	1.23	4.7	0.71	0.12	0.16	0.46	1.92	0.73	3.61	4.38	0.6	2.66	0.45	0.37	0.05	0.07	0.21	0.28	0.0	0.23	0.3	2.18	0.41
C330024D21Rik	19.14	4.7	27.64	21.6	14.57	19.0	20.36	23.29	22.18	1.08	21.35	11.7	12.02	5.23	9.58	26.58	0.39	31.36	38.95	42.95	40.85	37.24	48.65	58.4	59.19	5.25	11.35	15.36	20.88	26.88	20.06	17.37	22.66	21.54	14.6	4.55	14.96	15.1	18.48	5.13	7.15	15.24	33.57	25.97	36.65
Calm2	20249.89	18003.48	20813.5	20740.74	17688.69	19635.16	19628.74	19578.34	24749.41	16961.32	21064.56	19971.06	20654.99	16501.66	19749.13	19103.2	18789.68	18742.78	14181.52	18653.08	10599.79	18187.15	18504.84	17343.84	19736.86	16272.6	18784.2	20660.56	15887.21	14138.62	17363.25	16198.04	15858.62	18644.66	18004.95	22860.58	23322.9	18237.98	25106.81	19256.69	21777.08	23557.63	18134.58	19735.95	15134.85
Cdh26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.08	0.09	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
Chek1	0.12	0.0	60.94	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	36.5	0.0	0.0	3.37	0.0	0.04	0.0	0.0	0.0	0.0	3.88	6.38	2.02	1.58	1.01	7.13	1.49	0.0	0.0	0.0	0.0	0.0	0.0	5.31	0.0	0.0	39.16
Chsy1	0.0	0.0	0.09	32.46	115.39	7.36	0.09	26.87	86.93	0.0	38.77	0.0	0.0	0.64	0.0	0.05	0.0	25.12	32.84	25.75	11.78	14.53	0.0	18.26	18.07	32.76	34.44	18.55	18.63	9.31	14.96	10.91	25.77	8.59	12.34	12.91	1.68	10.12	1.26	0.14	0.0	0.0	0.0	24.14	34.68
Cnot10	34.72	1.91	0.0	25.02	0.0	0.0	15.01	0.0	0.0	77.49	21.99	0.0	19.27	0.09	0.0	2.92	0.0	10.34	2.83	29.74	72.63	31.28	41.78	29.82	24.9	0.0	129.01	19.22	27.67	17.15	36.95	35.13	32.35	21.62	17.67	0.0	0.47	65.51	51.85	0.0	30.93	33.27	44.94	40.6	93.68
Cops7b	1.04	12.92	147.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.21	0.0	97.91	0.0	0.0	0.0	0.0	1.52	0.15	1.33	47.93	28.69	0.0	0.66	0.47	158.15	5.38	73.95	14.03	2.11	10.1	1.76	43.29	21.81	0.94	0.0	9.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.62
Cpa2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	28.36	0.0	0.0	0.0	0.0	0.45	0.12	0.0	0.0	0.0	4.98	8.54	0.0	0.0	0.0	6.41	2.77	0.0	0.0	146.28	0.0	0.0	0.0	0.0	0.0	0.0	49.77
Cpox	4.59	5.53	21.84	10.11	9.91	5.34	4.25	10.98	2.63	2.1	9.79	4.11	6.07	5.08	7.16	16.18	17.14	15.09	28.98	13.11	35.26	17.1	16.5	18.83	11.38	1.22	38.08	12.63	12.25	14.34	12.17	10.73	19.44	7.48	17.11	4.55	6.58	9.07	5.51	9.5	2.06	2.91	15.96	55.16	25.36
Ctnna2	0.0	35.22	25.84	12.82	0.0	0.0	0.48	1.59	43.18	2.68	2.63	60.31	0.06	0.0	0.0	35.3	0.0	130.9	0.0	14.77	142.56	15.93	5.37	0.47	14.07	0.0	0.04	0.0	13.81	12.0	15.07	16.29	7.9	13.69	13.12	60.29	0.07	0.0	28.26	58.48	28.15	19.54	1.14	63.43	105.16
Cygb	0.0	0.0	179.4	74.26	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.71	0.0	0.0	0.0	50.81	2.0	14.3	8.14	2.2	1.08	53.92	0.0	0.0	0.0	4.16	0.0	0.0	8.14	5.31	2.64	6.94	13.59	0.0	25.79	0.0	23.57	0.0	0.0	0.18	26.85	44.26
D830005E20Rik	34.22	29.82	48.64	50.49	72.71	13.17	40.26	54.23	17.38	16.75	40.85	15.14	33.76	45.87	21.77	32.45	7.71	27.03	82.9	85.12	92.1	82.94	102.21	94.37	77.96	2.5	44.38	60.61	51.41	66.13	46.44	63.88	72.32	45.0	43.12	7.84	32.24	21.91	34.37	15.26	10.59	7.37	48.12	70.59	54.19
