	Ctgf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	2.35	2.43
1110020G09Rik	691.75	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	29.23	28.46	28.59
1700012D14Rik	948.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	1.55	1.02
2210021J22Rik	1336.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.84	16.64	17.35
2410007B07Rik	0.0	0.0	0.0	0.0	0.63	0.0	0.37	0.0	0.0	1.91	1.57	3.32
2410076I21Rik	184.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.54	1.78
4930503L19Rik	1005.68	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	9.54	8.23	8.91
4933438K21Rik	547.73	5.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.32	0.68
5430416N02Rik	983.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.23	11.99	11.09
Abhd1	1376.86	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	2.57	3.4	1.86
Acvrl1	0.14	0.0	0.0	0.13	0.18	0.0	437.48	230.75	0.0	11.48	10.45	9.47
Adamts10	487.97	0.0	0.0	0.0	0.0	0.0	62.92	46.0	0.0	14.1	15.86	15.95
Alkbh7	940.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.35	23.28	20.7
Arfip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.43	14.44	14.75	14.2
Arsa	386.81	0.0	0.0	0.0	0.0	0.0	0.0	79.2	0.0	24.38	24.05	25.22
Asap2	0.18	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	25.96	25.73	27.77
Atp10a	860.73	222.7	0.0	0.0	0.0	0.0	0.2	1.36	0.0	6.95	6.52	6.68
Atp2a3	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17	5.53	4.81
BC031361	0.39	0.18	0.0	0.0	0.11	0.0	0.09	0.0	0.0	4.06	3.9	3.71
Bmx	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.93	1.25
Btf3	1402.69	862.41	1650.79	22.92	0.0	0.0	0.0	731.56	0.0	209.88	219.54	201.7
C1s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	1.36	1.22	1.54
Casp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1.04	1.21
Cby1	1271.32	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	58.53	62.12	55.05
Cd320	741.17	424.36	0.0	0.0	0.0	0.0	0.0	484.71	0.43	11.83	10.6	11.07
Cd46	1492.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.22	3.27	4.7
Cgnl1	2.66	62.91	0.05	0.0	0.0	0.0	0.27	0.0	0.07	7.71	7.04	7.11
Cog5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.67	20.68	20.67
Col4a3	286.67	0.0	0.0	0.0	0.04	0.0	0.09	0.0	0.0	0.16	0.16	0.29
Cpm	0.0	0.1	0.48	0.0	0.22	0.0	0.0	0.0	1.88	5.67	4.86	5.2
Crebl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.82	29.5	26.62
Cyb5rl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48	2.22	3.27
Dnttip2	1267.34	0.0	0.0	0.0	0.13	0.23	339.08	0.0	0.0	21.1	18.52	16.99
E330017L17Rik	904.3	0.0	0.0	0.0	447.06	0.0	0.0	0.0	0.0	0.0	0.12	0.51
Ecm2	1.19	0.37	0.0	0.0	0.45	0.15	0.39	0.0	0.0	4.56	4.02	5.06
Ednra	0.0	0.08	0.28	0.0	0.0	0.46	0.0	0.0	0.34	2.85	3.15	3.32
Ell	543.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.12	20.55	20.06
Ephx3	0.15	0.18	4.15	0.0	0.0	3.11	0.0	0.0	0.52	0.42	0.41	0.63
Ercc1	1589.93	0.0	0.66	0.0	0.0	0.0	689.06	0.0	0.0	24.84	30.75	27.46
Fam101b	229.56	0.0	0.0	0.0	0.0	0.0	0.0	283.05	0.17	8.81	10.47	11.04
Fam161a	266.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	2.9	3.23
Fam55d	963.05	0.0	3.71	714.22	0.28	6.71	8.77	0.0	0.15	11.05	10.3	10.74
Gkn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.92	5.7	4.65
Glt25d1	749.31	0.0	0.0	0.0	0.0	0.0	10.85	0.0	0.0	49.0	50.0	48.51
Gm19466	166.19	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.18
Gm216	649.38	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	1.89	2.22	2.04
Gm4598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.19
Gm4890	0.2	0.17	0.0	0.0	0.1	0.0	0.14	0.0	0.0	0.64	0.27	0.49
Gm5	1119.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.85	1.4
Gm7694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.05	2.63	3.26
Gm8979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.45	0.21
