	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_13	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_4	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Vip_tdTpositive_cell_13
0610010B08Rik	0.24	0.0	8.8	0.0	7.03	1.11	12.26	14.76	22.01	10.96	11.07	12.05	5.5	0.47	6.95	14.55	40.09	49.97	26.52	11.65	6.92	14.02	43.27	0.05	8.71	6.28	17.46	29.79	15.5	47.55	38.01	34.07	30.67	35.95	8.31	57.4	41.86	36.62	39.96	7.16	0.25	4.93
2810403A07Rik	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	70.37	36.72	3.68	3.79	5.85	1.26	31.43	36.76	21.09	18.46	50.78	28.68	6.82	48.68	1.36	0.11	30.81	25.75	26.39	20.22	0.12	28.51	0.0	5.2	35.19	24.96	0.13	68.35	0.75	23.16	36.85	1.36	0.0	0.0
4930474G06Rik	1.7	0.0	0.7	0.0	0.4	0.0	0.94	1.49	0.67	1.76	1.46	0.72	0.6	1.04	1.21	2.05	1.56	1.17	2.83	1.71	1.81	2.5	2.5	0.0	1.34	1.74	0.41	1.54	1.51	0.86	0.03	2.2	2.67	0.79	0.45	2.27	1.98	1.46	1.11	0.77	1.29	1.46
Ap1g1	0.0	0.0	0.0	0.0	91.91	0.0	12.46	15.61	0.0	0.05	19.78	2.41	14.79	0.08	0.0	12.94	1.3	31.68	29.11	10.29	26.81	37.63	0.71	0.0	35.93	8.97	8.55	4.13	0.53	54.41	0.0	23.32	46.22	6.47	18.42	0.0	14.31	14.49	11.08	0.0	0.0	0.0
Apba1	0.0	0.0	1.92	0.0	0.0	13.16	7.4	10.83	0.0	15.43	7.36	8.52	7.54	7.07	7.6	11.38	0.7	2.95	30.47	16.99	19.96	12.85	0.0	0.0	14.84	7.35	33.76	30.49	20.84	16.49	0.82	0.17	28.16	3.24	15.9	27.19	11.28	2.86	0.84	1.22	0.0	0.0
Aplp1	71.62	1.88	0.13	0.0	0.0	72.35	42.09	0.0	7.31	30.64	34.88	12.58	49.33	0.0	25.77	95.55	148.74	130.67	148.95	117.98	28.58	79.61	28.29	0.0	16.31	7.41	0.0	65.9	27.78	53.93	25.8	43.59	98.67	30.96	31.91	47.94	18.28	99.76	26.47	9.05	0.29	82.93
Cacna2d2	0.0	0.0	0.06	0.0	0.0	0.09	0.34	0.7	2.39	7.42	8.0	2.19	8.82	0.77	0.41	6.12	12.43	11.46	16.11	4.53	6.88	2.09	14.25	0.42	1.67	0.96	8.85	8.07	2.45	10.39	19.41	24.05	4.14	2.51	3.45	9.35	2.93	6.81	5.5	2.37	0.0	0.0
Ddx50	8.12	0.27	73.29	0.0	27.57	30.84	16.81	34.25	52.24	40.22	13.12	13.32	41.47	40.11	17.15	41.39	51.67	17.59	134.96	97.84	59.4	104.48	17.43	150.15	3.21	57.92	19.65	52.85	0.0	176.0	2.19	52.48	0.0	118.18	28.61	78.35	0.9	69.37	74.83	0.16	0.0	11.1
Dlg3	0.0	0.0	0.0	0.0	0.0	1.49	26.86	18.83	19.2	8.14	1.01	1.41	0.0	6.29	0.0	36.67	5.61	5.92	15.06	38.3	29.4	23.84	12.7	3.31	2.31	23.3	30.24	10.17	41.5	43.81	1.9	32.6	1.19	9.76	0.0	4.25	17.47	44.96	16.87	0.0	0.0	0.17
Dos	0.0	0.0	1.48	0.0	0.0	12.86	22.74	9.64	2.33	1.74	12.33	23.25	3.45	5.64	21.2	7.13	0.13	32.98	42.58	63.44	13.46	24.29	2.14	8.6	0.0	31.5	7.13	8.44	23.37	63.2	5.56	23.22	29.24	21.64	0.0	7.82	35.25	34.24	12.97	0.72	0.0	0.19
