	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
0610007P08Rik	0.0	0.0	0.0	0.0	194.93	4.77	40.26	1.24	0.0	0.0	0.0	48.79	0.0	51.49	0.0	0.0	0.0	0.0	0.0	9.69	0.0	0.0	15.39	0.0	1.82	0.68	30.32	0.08	0.0	0.0	0.0	2.99	0.0	0.0	0.0	4.51	1.85	5.16	2.76	2.93	5.55	1.47	2.89	3.86	4.77	2.81	2.79	2.94	0.1	0.0	1.07	0.0	0.0	0.0	0.0	1.23	0.0	0.0	1.94	10.93	11.71
1600002K03Rik	0.0	64.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.88	0.0	0.0	106.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	3.59	0.0	11.52	67.77	0.74	0.0	155.69	0.0	0.0	0.0	0.0	0.0	15.26	0.0	2.77	0.0	17.31	0.0	11.38	13.21	0.0	5.88	5.92	6.81	4.01	0.0	0.0	0.0	0.0	0.0	124.06	3.57	0.0	0.0	0.0	54.11	0.0	7.29	9.82
1600014C10Rik	34.61	17.62	0.24	19.32	0.0	0.16	65.86	58.42	0.0	0.0	0.0	0.0	0.88	131.62	0.0	0.0	94.72	0.09	0.0	54.64	0.0	0.63	0.0	4.76	13.26	0.05	0.95	0.0	0.1	0.19	51.87	0.0	0.0	0.0	19.24	16.91	27.8	19.42	26.03	19.97	5.09	12.76	29.96	28.08	46.06	32.95	36.11	0.0	0.0	0.09	4.28	0.0	0.1	0.0	0.0	0.0	6.28	0.08	188.83	21.99	19.59
1700030L20Rik	1.66	2.66	1.8	9.27	0.0	1.49	0.0	0.32	0.49	0.35	2.43	1.53	2.08	4.72	2.1	2.13	0.0	1.62	1.01	0.0	1.06	0.0	0.0	1.63	0.83	2.99	1.76	3.44	1.83	1.24	0.63	2.63	1.48	3.67	1.48	1.52	2.77	0.86	0.98	1.49	2.52	2.08	1.49	0.71	0.39	1.43	3.13	0.68	0.0	0.0	0.97	0.0	1.18	1.39	1.99	0.0	0.0	2.1	5.44	1.22	1.37
1700047I17Rik2	17.93	0.68	12.09	17.95	31.64	22.21	2.25	4.51	1.09	2.41	8.84	38.16	23.5	57.57	12.26	1.53	1.07	2.82	1.38	30.82	8.35	5.09	0.0	10.56	16.78	9.2	23.68	1.42	2.67	13.22	1.41	2.13	14.19	13.75	30.05	10.32	9.26	6.5	7.93	14.42	11.21	10.17	10.72	11.25	13.41	14.19	19.02	30.11	43.09	1.8	1.3	56.74	0.96	8.04	2.23	32.53	5.94	6.07	29.57	17.56	17.92
1810064F22Rik	0.52	2.34	4.66	4.02	0.89	1.51	9.3	1.22	2.13	1.28	2.77	3.36	25.31	175.57	3.73	3.36	8.24	1.33	2.96	0.64	5.97	16.32	0.0	4.99	6.84	7.74	4.75	0.62	0.59	6.57	0.6	21.82	3.77	4.76	11.21	6.84	8.67	9.04	11.3	7.47	6.28	10.47	5.45	5.45	5.23	5.5	4.58	18.26	0.44	10.9	3.96	1.61	1.02	0.9	5.35	5.86	3.15	2.36	2.33	1.53	1.63
2310036O22Rik	0.0	40.27	0.0	0.0	0.0	0.0	7.31	0.0	23.48	0.0	0.0	21.54	68.25	72.64	0.0	0.0	0.0	0.0	0.0	0.0	32.08	0.0	0.0	0.0	16.39	8.54	7.37	0.0	3.76	0.0	6.59	0.0	0.0	44.52	10.01	21.86	14.15	9.46	5.56	9.16	21.9	6.36	2.9	4.18	12.27	11.71	5.3	0.0	59.44	0.0	16.1	0.0	0.0	0.0	0.0	37.84	0.0	0.0	32.23	92.1	106.0
2400009B08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	100.27	272.4	0.0	85.54	1.29	66.38	0.0	157.64	0.0	0.0	0.0	79.59	63.07	1.81	0.5	0.0	0.36	80.66	0.0	110.86	0.0	2.0	21.21	64.11	59.96	69.74	99.58	87.14	49.48	44.46	80.19	70.79	55.43	56.82	86.06	161.18	191.3	0.0	0.0	0.0	0.0	127.21	0.0	0.0	0.0	0.0	0.0	5.53	7.61
2410137M14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.0	3.87	0.0	2.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.53	63.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	8.88	3.62	1.25	0.42	0.0	213.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.0	0.0	0.94	1.34
3230401D17Rik	170.94	121.39	174.1	0.0	0.0	0.0	0.0	142.55	0.0	0.22	140.36	192.91	0.0	430.83	205.3	0.0	0.26	0.17	227.64	464.85	0.27	149.9	0.0	0.17	86.41	94.92	77.2	0.0	197.96	83.88	128.75	0.0	164.49	151.3	149.75	133.76	189.1	104.07	115.02	109.35	205.99	97.24	95.08	161.84	147.41	124.5	120.67	387.09	252.47	80.61	115.07	391.43	123.09	0.0	0.5	0.2	459.91	3.79	0.0	22.21	23.13
