	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
1300001I01Rik	0.0	0.07	0.0	0.0	1.16	38.68	0.0	39.47	56.13	1.26	1.09	0.06	13.23	11.91	0.37	17.49	0.16	1.17	0.25	0.0	3.89	0.0
1700063D05Rik	0.37	0.0	0.0	0.0	4.8	0.0	0.0	0.0	8.43	0.0	0.0	0.0	1.07	3.76	0.58	2.92	2.6	0.0	0.68	8.12	3.26	0.0
1810026B05Rik	0.54	0.0	32.69	0.0	35.32	0.0	0.0	16.08	52.54	2.74	7.3	0.0	6.66	3.42	0.0	8.68	16.1	23.65	12.03	0.51	2.73	0.0
4732418C07Rik	0.0	36.59	0.0	0.0	3.4	2.53	6.51	22.49	104.96	38.1	0.0	16.07	47.35	0.06	81.25	18.15	44.29	119.74	28.67	55.76	60.39	0.31
4930567K20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933407C03Rik	36.1	0.0	0.0	0.0	1.76	0.0	0.87	10.36	45.44	18.08	42.12	3.99	31.41	28.43	12.96	4.9	25.62	16.48	4.12	32.41	12.15	0.0
4933438B17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0
5330434G04Rik	0.0	0.0	0.0	0.0	8.9	6.54	29.39	6.18	131.29	1.32	34.54	90.46	12.17	44.09	18.16	48.54	13.18	3.58	58.74	28.18	81.78	0.0
5830415F09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.45	106.03	0.0	0.24	3.0	0.0	0.0	0.0	42.76	0.0	0.0	0.0	0.0	41.34	0.0
9530082P21Rik	52.12	0.0	0.0	0.21	95.25	64.07	26.83	85.05	215.23	63.65	27.79	93.85	80.08	47.92	133.06	148.55	74.8	88.6	75.89	157.28	17.55	1.05
