	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89
4930511M06Rik	0.88	86.32	34.63	31.61	65.23	10.35	31.43	36.74	57.46	65.14	71.69	62.69	45.0	62.02	58.79	61.98	38.21	68.26	39.28	57.11	33.95	38.62	32.45	53.73	70.66	61.87	60.3	74.94	27.49	48.0	46.47	122.87	90.14	67.95	60.72	55.24	4.23
6030422M02Rik	0.14	44.71	18.87	24.09	41.12	0.1	27.22	27.15	36.22	46.89	67.38	33.41	30.02	33.81	27.46	31.99	22.01	56.42	49.6	40.68	22.11	22.1	25.17	47.76	36.8	33.75	43.0	34.13	26.38	42.01	20.9	86.86	61.48	34.43	45.25	55.05	0.0
Acnat1	2.28	14.52	11.07	9.33	11.44	0.31	7.88	10.4	29.58	12.53	18.9	6.09	11.16	8.56	11.39	8.71	5.84	12.09	7.95	8.89	6.37	5.73	7.62	11.5	10.24	8.64	11.26	10.45	4.55	12.88	8.34	18.73	15.5	14.2	6.57	14.24	0.0
Amy2a2	0.0	0.11	0.04	0.2	0.48	0.0	0.14	0.04	0.29	0.0	0.16	0.48	0.4	0.07	0.15	0.17	0.04	0.07	0.07	0.29	0.0	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.03	0.16	0.12	0.08	0.41	0.31	0.41	0.09	0.0
Amy2a3	0.0	0.11	0.04	0.2	0.48	0.0	0.14	0.04	0.29	0.0	0.16	0.48	0.4	0.07	0.15	0.17	0.04	0.07	0.07	0.29	0.0	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.03	0.16	0.12	0.08	0.41	0.31	0.41	0.09	0.0
Amy2a4	0.0	0.11	0.04	0.2	0.48	0.0	0.14	0.04	0.29	0.0	0.16	0.48	0.4	0.07	0.15	0.17	0.04	0.07	0.07	0.29	0.0	0.07	0.14	0.7	0.24	0.0	0.23	0.42	0.03	0.16	0.12	0.08	0.41	0.31	0.41	0.09	0.0
Arl5a	0.0	148.02	93.35	38.95	76.0	18.25	6.9	55.95	113.06	98.72	121.12	85.66	53.72	50.99	66.02	54.3	46.43	41.56	71.47	83.98	62.6	27.57	23.06	59.74	24.05	97.37	63.77	104.47	41.32	44.36	49.31	55.21	134.5	63.4	52.25	62.97	19.96
Btbd16	0.0	13.13	6.32	5.94	16.81	0.25	12.88	8.31	14.71	16.08	15.41	10.1	12.9	6.89	12.62	10.68	6.26	9.51	8.05	12.86	6.7	5.16	8.66	11.86	12.1	9.03	17.24	21.83	6.72	13.72	12.08	26.59	23.15	13.34	9.8	7.36	1.99
Ccdc82	23.03	103.91	75.08	84.85	127.95	36.0	92.0	80.89	107.12	113.54	154.57	98.35	87.86	91.69	107.3	91.4	113.78	123.6	93.61	121.03	71.93	84.17	49.58	111.15	107.16	89.95	81.9	140.78	78.44	92.89	82.74	181.17	180.04	111.25	87.1	73.49	11.18
Colec12	3.67	37.12	16.42	15.93	23.98	6.16	13.24	12.64	22.66	19.29	24.25	24.32	11.88	13.69	18.56	16.12	11.03	22.96	17.35	31.4	11.8	11.12	9.45	19.24	19.67	12.33	21.84	19.18	11.7	17.96	16.76	37.99	35.92	21.61	19.34	14.26	0.9
Eif2ak2	0.13	25.99	26.96	12.28	19.54	0.0	12.52	17.8	36.09	23.08	32.0	40.83	12.92	22.27	21.32	22.36	17.7	23.84	14.33	21.41	17.99	13.13	14.09	22.27	24.93	21.89	33.13	23.44	11.95	26.45	23.07	37.73	44.69	37.76	27.3	17.91	2.01
G730013B05Rik	0.0	11.48	7.83	3.72	9.63	0.88	13.51	4.38	8.86	12.82	13.16	9.08	8.43	4.91	8.4	7.91	1.73	7.98	7.96	8.35	2.81	4.59	5.7	13.97	6.93	7.16	12.95	17.05	3.22	9.13	6.22	22.31	11.77	7.92	7.08	7.52	1.61
Gm17821	0.1	212.92	160.63	113.76	157.06	7.38	130.69	98.61	162.92	165.02	212.53	124.93	98.73	132.78	153.12	114.83	119.55	201.28	157.05	169.39	99.13	90.35	102.89	159.33	169.64	141.05	208.64	171.82	65.24	205.46	118.04	231.88	227.68	151.92	157.67	177.04	14.67
