	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_62	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_78	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_42	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_28	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_92	Rbp4_tdTpositive_cell_94	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_8	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_37	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg2_tdTnegative_cell_7	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_58	Scnn1a.Tg3_tdTpositive_cell_96	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
6430706D22Rik	0.0	0.0	0.0	0.0	3.4	29.31	0.0	108.23	33.92	0.2	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	169.82	0.0	1.5	2.68	93.85	0.75	0.15	0.0	9.91	0.0	20.96	47.02	0.0	0.0	0.0	24.73	3.16	2.8	18.02	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	57.17	0.0	30.03	14.74	19.36	0.0	0.03	17.28	0.34	0.06	8.83	0.64	0.0	0.0	113.4	93.04	3.94	16.49	14.9	1.99	13.52	3.9	10.45	15.4	7.2
Agpat5	0.0	0.0	1.68	0.0	22.79	0.0	0.0	0.01	0.0	0.15	0.08	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.11	0.05	128.08	0.3	4.4	0.0	0.17	14.61	0.0	2.16	0.0	0.0	0.09	0.16	73.33	0.0	69.87	26.11	0.0	0.0	0.08	0.11	0.98	15.57	0.0	0.14	0.0	23.29	0.0	0.0	0.03	152.81	0.17	0.13	0.35	0.22	1.37	13.51	1.13	3.68	4.47	9.16	3.42	8.46	4.21	10.84	9.66	5.58
Anapc2	0.0	0.0	0.0	0.23	4.93	0.0	0.0	10.98	0.0	81.87	0.05	59.36	0.0	0.0	0.0	0.0	0.0	0.0	43.14	45.97	0.0	67.11	0.99	65.4	0.09	0.05	2.55	141.9	44.43	24.39	19.86	102.33	0.2	0.0	62.8	60.72	0.0	16.3	27.06	15.54	40.25	3.08	0.0	0.0	0.0	0.0	0.0	0.0	18.11	1.12	0.3	0.0	7.02	36.71	93.54	44.92	0.0	0.0	0.0	70.4	7.45	0.09	13.15	12.6	19.55	31.84	4.49	14.19	12.53	21.17	14.82
BC013529	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.28	0.0	152.98	0.0	0.0	0.0	0.0	0.0	0.0	0.28	87.26	122.14	0.11	0.07	169.98	0.0	0.0	0.0	0.0	0.0	0.0	126.96	0.0	2.47	2.14	0.0	92.99	0.0	0.0	0.0	0.0	0.0	50.52	0.0	0.0	0.0	84.99	0.0	0.0	0.07	0.0	171.65	118.65	0.0	0.0	0.0	0.0	0.0	0.27	16.23	19.4	12.37	21.06	31.76	30.08	21.24	15.73	33.1
Bbs1	5.79	8.78	10.23	4.52	6.28	6.59	5.54	8.38	5.39	8.57	2.76	16.08	10.14	5.08	5.08	6.18	7.05	6.45	3.92	4.83	11.96	15.37	4.02	31.25	7.09	14.73	9.41	5.62	6.85	9.88	20.23	4.37	3.02	7.45	7.62	7.96	4.29	8.23	6.04	5.15	8.43	3.01	7.83	4.15	8.52	13.01	6.74	5.4	5.02	4.24	4.65	3.0	10.67	8.82	7.68	5.8	3.29	5.06	3.65	13.62	15.13	5.29	10.49	10.52	8.16	11.44	10.03	9.23	9.96	9.57	11.08
Ccl27b	0.0	0.0	38.08	0.0	19.47	2.22	7.78	2.68	39.51	151.88	16.92	45.32	39.72	133.13	48.6	41.09	54.38	51.65	38.65	98.78	40.41	32.42	70.05	177.4	81.27	128.86	89.75	180.65	57.56	52.23	116.18	54.51	78.52	1.96	95.82	183.05	11.9	23.53	15.38	95.97	76.69	0.0	0.0	61.04	10.99	0.0	5.36	8.68	8.96	8.55	0.84	0.0	61.83	106.16	52.22	180.86	5.22	21.22	0.0	94.35	407.48	127.6	164.03	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
Csrp2bp	3.25	0.0	59.28	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	13.37	0.0	58.44	0.92	0.0	0.0	2.5	0.57	0.0	0.0	0.0	10.56	20.36	1.34	9.2	0.0	0.0	0.0	37.77	0.24	0.0	0.0	102.33	0.22	0.0	0.0	0.0	14.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.14	0.0	0.07	0.03	0.0	39.8	0.0	0.0	0.0	103.05	0.05	0.21	0.22	8.88	5.52	5.2	13.34	16.89	8.37	6.72	11.87
Fezf2	0.0	0.0	0.0	3.31	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	35.69	0.0	0.0	0.1	0.0	0.0	52.77	45.57	0.0	76.46	0.0	149.68	0.31	0.0	42.94	52.43	60.18	64.98	9.83	61.22	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.63	0.0	0.0	0.0	0.0	2.83	71.56	0.47	44.65	27.71	19.76	29.24	20.55	24.81	21.06	24.74	28.9
Gm13306	0.0	0.0	38.08	0.0	19.47	2.22	7.78	2.68	39.51	151.88	16.92	45.32	39.72	133.13	48.6	41.09	54.38	51.65	38.65	98.78	40.41	32.42	70.05	177.4	81.27	128.86	89.75	180.65	57.56	52.23	116.18	54.51	78.52	1.96	95.82	183.05	11.9	23.53	15.38	95.97	76.69	0.0	0.0	61.04	10.99	0.0	5.36	8.68	8.96	8.55	0.84	0.0	61.83	106.16	52.22	180.86	5.22	21.22	0.0	94.35	407.48	127.6	164.03	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
Gm2506	0.0	0.0	38.08	0.0	19.47	2.22	7.78	2.68	39.51	151.88	16.92	45.32	39.72	133.13	48.6	41.09	54.38	51.65	38.65	98.78	40.41	32.42	70.05	177.4	81.27	128.86	89.75	180.65	57.56	52.23	116.18	54.51	78.52	1.96	95.82	183.05	11.9	23.53	15.38	95.97	76.69	0.0	0.0	61.04	10.99	0.0	5.36	8.68	8.96	8.55	0.84	0.0	61.83	106.16	52.22	180.86	5.22	21.22	0.0	94.35	407.48	127.6	164.03	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
