	Ctgf_tdTpositive_cell_3	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_19	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110020A21Rik	0.0	0.0	1.25	1.62	1.35	0.86
1700084C01Rik	0.0	0.0	0.0	15.68	14.12	14.97
3110001I22Rik	0.0	0.0	0.0	2.16	2.57	1.28
4930470P17Rik	0.0	0.0	0.0	0.36	0.95	0.37
4930593C16Rik	0.0	0.0	0.0	0.71	0.0	0.18
AB124611	0.0	0.0	0.0	0.69	0.47	0.71
Aak1	0.03	0.11	37.73	77.03	72.23	78.8
Adam21	0.0	0.0	0.0	0.85	0.41	0.66
Ap2b1	0.0	1.53	9.96	168.78	170.81	177.32
Apold1	0.0	0.0	0.0	7.34	5.87	2.69
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bend7	0.0	0.0	0.0	1.54	2.37	1.77
Bmf	0.0	0.0	0.0	2.16	2.73	2.54
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Car8	0.46	0.0	0.14	5.21	4.26	5.44
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cenpa	0.0	0.0	16.9	2.32	2.88	2.16
Cep170	0.0	0.0	2.71	36.49	32.62	36.57
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clcn1	0.0	0.0	0.0	2.11	1.88	1.6
Clec4a3	0.0	0.0	0.0	1.38	0.97	1.42
Cryga	0.0	0.0	0.0	0.51	0.95	1.04
Csnk1g2	0.0	10.46	0.0	137.78	153.43	144.53
Cul9	0.0	0.0	0.0	32.03	32.62	31.68
Dip2c	0.0	0.0	12.9	33.17	32.33	34.87
Dnaic1	0.0	0.0	0.0	2.41	2.5	2.42
Efnb3	0.0	0.0	0.0	76.88	82.78	80.5
Egr4	0.0	0.0	0.0	72.14	76.36	41.36
Fam108a	0.0	0.2	0.0	185.45	211.33	202.35
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm10536	0.0	0.0	0.0	0.09	0.02	0.07
Gm10791	1.21	3.25	4.43	7.86	6.28	8.66
Gm14431	0.34	0.0	0.06	8.87	7.17	8.34
