	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51
1700025N23Rik	2.41	4.72	12.56	8.49	12.75	9.99	17.45	11.89	20.07	9.45	14.08	21.39	10.26	13.51	27.14	17.66	22.02	16.44	11.96	12.0	8.97	16.04	4.86	4.3	10.38	11.26	7.26	10.66	12.25	15.12	2.65	10.41	11.69	17.91
4930455C21Rik	145.22	4.19	105.34	30.98	24.0	81.36	22.94	59.88	61.75	22.01	95.49	47.29	53.01	58.84	81.45	46.86	98.24	48.87	66.4	63.02	62.99	31.17	12.88	26.72	58.31	16.08	16.25	130.61	60.33	72.12	4.68	11.4	1.97	71.94
Aip	0.0	0.0	325.52	67.79	118.14	291.67	203.89	156.32	263.08	53.7	329.45	165.24	225.88	103.49	387.19	161.19	202.48	349.32	245.07	169.74	165.59	258.17	129.76	0.0	387.1	77.06	0.0	44.3	135.68	118.49	1.02	226.77	125.89	259.93
Ank	0.13	0.0	53.46	68.38	46.09	1.13	83.68	227.29	88.31	49.82	50.83	114.14	98.39	119.23	219.19	84.49	135.52	55.86	89.15	234.87	137.81	116.63	83.65	17.5	136.53	62.81	30.95	128.44	33.17	72.43	55.75	72.33	51.84	122.45
Arhgap12	0.19	0.0	150.16	10.22	13.83	28.2	53.86	40.24	53.26	23.75	52.4	85.52	2.13	34.77	14.83	0.37	54.59	170.36	30.39	3.37	41.81	20.2	0.0	3.09	35.26	64.81	6.07	31.24	16.65	25.38	2.21	0.43	27.28	20.64
Ascc1	0.0	0.0	108.04	8.18	11.3	0.0	79.8	36.43	43.74	0.0	62.34	60.82	99.2	36.87	113.52	128.9	111.3	91.19	0.26	0.0	51.88	60.46	0.0	0.0	55.62	42.8	0.0	10.73	124.58	101.91	0.0	7.45	0.0	46.04
Atp2b2	3.38	5.33	403.39	156.05	202.11	269.17	235.6	301.35	304.05	217.91	336.97	382.08	207.68	353.59	301.47	226.88	229.38	143.86	279.47	221.59	247.2	280.19	75.7	65.26	267.64	129.85	53.29	363.5	121.82	259.99	20.47	359.1	354.3	251.66
Cdc42se2	0.0	0.0	159.17	40.97	0.0	28.64	55.43	44.8	44.56	0.19	86.62	75.17	30.77	14.24	98.31	102.17	111.92	150.75	95.96	49.94	70.44	177.72	0.0	0.0	26.85	137.48	42.37	81.37	3.69	2.78	1.28	1.54	110.11	94.88
Chic1	0.47	0.33	114.49	5.23	5.31	7.61	11.59	9.2	6.94	16.24	50.52	9.96	11.74	47.77	30.39	18.73	0.44	32.1	40.16	74.64	37.64	17.8	29.6	11.45	31.58	18.9	0.28	23.81	2.58	19.09	0.05	10.52	9.63	44.65
Commd7	10.34	2.72	62.2	16.38	5.64	9.23	4.57	22.11	12.38	9.62	31.47	20.13	10.01	11.28	74.57	18.24	17.71	18.11	18.37	10.65	12.8	19.12	7.95	6.4	26.67	36.32	4.28	12.53	26.58	43.6	22.32	7.92	13.41	11.36
