	Chrna2_tdTpositive_cell_51	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1110034G24Rik	17.71	0.0	81.26	0.0	0.0	0.0	255.63	16.58	15.47	0.0	96.15	0.0	37.29	0.0	9.88	24.11	18.13	34.27	16.98	14.02	50.67	44.33	41.13	60.34	0.0	0.0	366.12	0.0	0.0	271.32
1700008F21Rik	0.0	0.0	4.58	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	0.35	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0
2500004C02Rik	39.42	6.25	207.47	9.47	39.63	6.94	18.92	33.63	150.22	3.77	14.21	9.42	40.21	25.49	3.37	83.68	42.32	50.91	72.2	47.58	36.61	60.24	46.84	7.33	8.73	19.7	46.55	101.0	2.72	23.93
2610037D02Rik	0.22	0.0	6.45	0.81	1.04	0.32	0.69	0.35	1.64	0.72	1.79	0.46	1.76	2.69	0.0	0.7	0.72	1.3	0.7	1.17	0.55	0.67	0.93	1.07	2.02	0.53	0.81	0.72	1.61	0.12
2610524H06Rik	54.13	0.0	241.16	0.0	53.36	0.57	0.0	40.01	112.07	37.07	76.13	38.82	69.09	7.18	0.0	79.37	40.43	51.29	59.75	81.4	92.56	55.37	64.1	6.66	115.94	1.91	3.07	0.56	11.08	77.36
4930511M06Rik	33.19	0.88	156.95	108.55	43.02	25.64	33.0	25.39	59.89	47.76	73.94	49.85	106.14	79.64	0.0	71.44	64.95	67.57	56.44	67.12	60.41	50.82	56.93	77.48	34.02	44.3	75.14	66.04	34.39	17.43
4930525G20Rik	0.0	0.0	140.27	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	59.1	1.3	0.0	0.0	6.99	0.0	0.1	0.0	7.19	0.0	5.71	2.02	0.0	0.0	0.09	0.0	0.0	0.0	0.0
4930578E11Rik	0.0	0.0	1.93	1.36	0.45	0.11	0.0	0.48	0.2	0.33	0.45	0.62	0.67	0.0	0.18	0.0	0.19	0.15	0.0	0.43	0.31	0.17	0.21	0.15	0.13	0.0	0.42	0.21	0.0	0.34
9230110C19Rik	0.1	0.0	135.91	2.13	0.21	0.0	0.0	14.66	0.87	0.0	0.12	1.88	12.61	0.75	0.0	58.05	12.57	5.51	32.11	17.81	1.79	12.14	20.8	0.55	0.0	0.0	0.34	0.0	0.33	0.0
A330023F24Rik	5.91	0.0	120.99	10.74	0.13	9.2	2.73	12.92	0.07	7.17	1.52	4.88	20.78	10.52	4.85	13.59	19.23	10.68	14.2	12.74	17.24	9.37	10.36	1.48	2.1	2.29	0.0	79.73	10.83	11.03
AA536875	0.39	0.0	9.22	0.43	0.45	0.7	0.39	1.07	0.68	1.39	0.26	2.76	0.73	1.43	0.0	1.06	0.99	1.29	1.16	1.48	1.17	0.88	1.04	2.4	0.77	0.34	2.24	1.59	2.59	1.65
Acsm2	0.25	0.0	3.36	0.85	0.59	0.38	0.35	0.1	1.75	0.42	1.27	1.6	1.6	1.14	0.0	0.73	0.59	0.82	0.55	0.56	0.55	1.1	1.02	0.77	0.27	0.5	0.84	0.48	0.57	0.51
Afmid	0.0	0.0	42.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aldh3b1	0.0	0.0	188.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.78	0.0	0.0	8.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amy2a2	0.15	0.0	0.14	0.12	0.18	0.18	0.08	0.12	0.16	0.07	0.35	0.04	0.25	0.16	0.0	0.16	0.14	0.28	0.18	0.31	0.27	0.11	0.21	0.63	0.14	0.05	0.28	0.05	0.1	0.08
Amy2a3	0.15	0.0	0.14	0.12	0.18	0.18	0.08	0.12	0.16	0.07	0.35	0.04	0.25	0.16	0.0	0.16	0.14	0.28	0.18	0.31	0.27	0.11	0.21	0.63	0.14	0.05	0.28	0.05	0.1	0.08
Amy2a4	0.15	0.0	0.14	0.12	0.18	0.18	0.08	0.12	0.16	0.07	0.35	0.04	0.25	0.16	0.0	0.16	0.14	0.28	0.18	0.31	0.27	0.11	0.21	0.63	0.14	0.05	0.28	0.05	0.1	0.08
Ankrd44	0.0	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	1.25	4.41	0.0	0.33	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ankrd50	0.0	0.0	43.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.95	0.0	0.0	0.0	6.2	8.4	2.7	0.3	4.7	1.73	4.06	0.0	0.0	0.0	0.0	0.0	35.96	0.0
Ash2l	0.0	0.0	96.88	0.0	9.97	0.0	23.43	0.0	4.0	0.0	0.0	0.0	11.77	10.87	0.0	8.45	0.46	0.12	4.02	18.06	6.93	4.92	11.57	41.21	0.0	3.54	0.0	0.19	0.0	0.1
Bbs1	3.47	0.06	48.96	11.77	4.67	1.33	4.38	2.94	41.94	3.56	5.82	3.24	9.94	23.68	0.5	10.49	11.92	9.43	11.44	10.03	9.23	9.57	11.08	11.46	5.42	8.35	3.72	5.65	5.69	8.97
Bod1l	1.56	0.0	91.51	12.01	51.42	11.9	3.53	0.05	45.85	15.24	17.15	2.33	7.89	0.11	0.0	10.04	6.95	12.83	19.56	19.64	6.07	15.43	11.38	15.94	34.25	9.86	0.5	14.96	12.12	8.07
Bpifc	2.94	0.0	13.29	1.92	0.27	2.17	0.84	0.58	0.41	0.25	2.09	8.51	2.06	0.33	0.0	0.95	0.54	1.32	0.41	0.49	0.84	2.21	0.57	1.09	3.05	0.44	0.4	0.39	2.12	0.0
Braf	32.67	0.0	354.16	77.98	75.2	9.44	17.62	25.3	51.05	31.94	74.67	16.9	120.09	174.59	244.52	108.65	107.26	75.44	52.72	82.98	43.04	157.88	181.0	92.42	21.55	10.39	10.58	37.55	24.62	13.03
Btbd19	0.68	0.52	67.36	2.7	1.69	2.03	0.7	3.64	1.26	1.92	4.76	50.61	5.86	3.56	1.82	16.28	5.97	3.51	5.4	3.93	8.06	1.69	4.2	3.07	3.65	1.38	31.26	1.62	1.19	1.88
C330011F03	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.31	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0
Cbwd1	0.11	0.0	215.12	0.0	0.0	62.25	0.0	0.0	74.3	0.0	0.0	91.97	15.6	10.54	0.19	1.61	14.86	9.77	8.95	5.34	30.75	25.74	18.22	0.0	0.0	0.0	85.96	0.21	60.35	5.36
Cc2d1b	0.0	0.0	80.95	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	4.0	0.0	0.0	0.65	0.65	2.79	0.23	5.24	5.21	1.98	2.95	0.0	0.0	0.0	0.0	0.0	3.23	0.0
Ccne1	0.0	0.0	117.4	0.0	0.0	0.0	109.45	11.93	91.0	0.0	0.0	0.0	16.55	84.33	0.0	0.0	9.97	32.18	26.35	10.44	10.19	11.53	10.92	0.0	0.0	0.0	125.41	0.0	50.18	55.6
Cdc14b	0.92	0.0	4.85	0.0	1.05	0.53	0.74	0.22	1.35	0.64	0.65	0.24	11.42	1.92	0.0	5.31	4.13	7.57	4.27	3.16	4.41	2.66	6.46	1.61	1.26	1.63	1.56	0.79	0.3	1.27
Cox4nb	0.13	0.0	55.45	0.1	0.13	0.05	0.15	0.0	1.43	0.16	0.21	0.07	4.49	20.29	0.0	0.14	6.63	0.28	2.37	3.47	11.01	8.64	4.32	7.64	0.12	0.08	0.0	0.09	0.07	0.04
